"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","Label","minuslogqval","Color"
"1","Injured / Non-injured","Q922Q1","Q922Q1",-1.094910911,1.094910911,1.8e-09,6.26e-09,16,"Q922Q1","2-Mar","Mitochondrial amidoxime reducing component 2","MARC2_MOUSE",17,-53.18349671,0.468165033,"Injured","Non-injured","mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,peroxisome,extracellular exosome","nitrate reductase activity,molybdenum ion binding,pyridoxal phosphate binding,molybdopterin cofactor binding","nitrate metabolic process,oxidation-reduction process",NA,8.20342566678957,"Blue"
"2","Injured / Non-injured","O35857","O35857",-0.957471556,0.957471556,3.54e-09,1.03e-08,16,"O35857","Timm44","Mitochondrial import inner membrane translocase subunit TIM44","TIM44_MOUSE",15,-48.50413691,0.514958631,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,mitochondrial matrix","ATP binding,chaperone binding","protein import into mitochondrial matrix",NA,7.98716277529483,"Blue"
"3","Injured / Non-injured","Q9WVD5","Q9WVD5",-1.428311056,1.428311056,7.49e-09,1.73e-08,16,"Q9WVD5","Slc25a15","Mitochondrial ornithine transporter 1","ORNT1_MOUSE",12,-62.84343749,0.371565625,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,integral component of membrane","L-ornithine transmembrane transporter activity","mitochondrial ornithine transport,mitochondrial transport,L-ornithine transmembrane transport",NA,7.7619538968712,"Blue"
"4","Injured / Non-injured","Q9CQ92","Q9CQ92",-0.972805535,0.972805535,9.42e-09,2.08e-08,16,"Q9CQ92","Fis1","Mitochondrial fission 1 protein","FIS1_MOUSE",9,-49.04857276,0.509514272,"Injured","Non-injured","mitochondrion,peroxisome,integral component of peroxisomal membrane,endoplasmic reticulum,membrane,integral component of mitochondrial outer membrane,protein complex","receptor binding,protein complex binding","mitochondrial fission,mitophagy,release of cytochrome c from mitochondria,protein targeting to mitochondrion,positive regulation of cytosolic calcium ion concentration,mitochondrial fusion,regulation of mitochondrion organization,response to muscle activity,peroxisome fission,response to nutrient levels,negative regulation of endoplasmic reticulum calcium ion concentration,calcium-mediated signaling using intracellular calcium source,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of neuron apoptotic process,mitochondrial fragmentation involved in apoptotic process,protein homooligomerization,positive regulation of mitochondrial calcium ion concentration,mitochondrion morphogenesis,cellular response to glucose stimulus,positive regulation of mitochondrial fission,positive regulation of protein targeting to membrane,cellular response to toxic substance,cellular response to peptide,response to fluoride,cellular response to thapsigargin,response to flavonoid,response to hypobaric hypoxia,positive regulation of intrinsic apoptotic signaling pathway",NA,7.68193666503724,"Blue"
"5","Injured / Non-injured","Q8BZ09","Q8BZ09",-1.983089856,1.983089856,1.48e-08,2.85e-08,16,"Q8BZ09","Slc25a21","Mitochondrial 2-oxodicarboxylate carrier","ODC_MOUSE",5,-74.70524546,0.252947545,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,integral component of membrane","dicarboxylic acid transmembrane transporter activity","dicarboxylic acid transport,mitochondrial transport",NA,7.54515513999149,"Blue"
"6","Injured / Non-injured","Q8R0Y8","Q8R0Y8",-1.892960589,1.892960589,5.47e-08,7.91e-08,16,"Q8R0Y8","Slc25a42","Mitochondrial coenzyme A transporter SLC25A42","S2542_MOUSE",11,-73.07460507,0.269253949,"Injured","Non-injured","nucleus,mitochondrion,mitochondrial inner membrane,integral component of membrane","ATP transmembrane transporter activity,ADP transmembrane transporter activity,coenzyme A transmembrane transporter activity,adenosine-diphosphatase activity,AMP transmembrane transporter activity","mitochondrial transport,ADP transport,ATP transport,coenzyme A transmembrane transport,AMP transport",NA,7.10182351650232,"Blue"
"7","Injured / Non-injured","Q9DC61","Q9DC61",-0.891380894,0.891380894,6.13e-08,8.57e-08,16,"Q9DC61","Pmpca","Mitochondrial-processing peptidase subunit alpha","MPPA_MOUSE",17,-46.09021331,0.539097867,"Injured","Non-injured","extracellular space,mitochondrion,mitochondrial inner membrane,mitochondrial matrix","metalloendopeptidase activity,zinc ion binding","protein processing involved in protein targeting to mitochondrion",NA,7.0670191780768,"Blue"
"8","Injured / Non-injured","Q9CR62","Q9CR62",-1.437421427,1.437421427,8.07e-08,1.06e-07,16,"Q9CR62","Slc25a11","Mitochondrial 2-oxoglutarate/malate carrier protein","M2OM_MOUSE",18,-63.07733551,0.369226645,"Injured","Non-injured","nucleus,mitochondrion,mitochondrial inner membrane,integral component of membrane","RNA binding,oxoglutarate:malate antiporter activity","mitochondrial transport,alpha-ketoglutarate transport",NA,6.97469413473523,"Blue"
"9","Injured / Non-injured","P62077","P62077",-1.378647543,1.378647543,1.12e-07,1.34e-07,16,"P62077","Timm8b","Mitochondrial import inner membrane translocase subunit Tim8 B","TIM8B_MOUSE",4,-61.54208493,0.384579151,"Injured","Non-injured","extracellular space,mitochondrion,mitochondrial inner membrane,membrane","metal ion binding,metal ion transmembrane transporter activity","protein transport,metal ion transport,cation transmembrane transport",NA,6.87289520163519,"Blue"
"10","Injured / Non-injured","Q791V5","Q791V5",-0.998835727,0.998835727,1.87e-07,1.97e-07,16,"Q791V5","Mtch2","Mitochondrial carrier homolog 2","MTCH2_MOUSE",13,-49.95963308,0.500403669,"Injured","Non-injured","nucleus,mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,membrane,integral component of membrane,extracellular exosome","molecular_function","lactate metabolic process,negative regulation of mitochondrial membrane potential,hematopoietic stem cell migration,mitochondrial ATP synthesis coupled electron transport,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,negative regulation of glycolytic process,hematopoietic stem cell homeostasis,protein localization to mitochondrion,cellular response to radiation,establishment of protein localization to mitochondrial membrane involved in mitochondrial fission,hepatocyte apoptotic process,regulation of mitochondrial membrane permeability involved in apoptotic process,positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage",NA,6.70553377383841,"Blue"
