Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,P54071,P54071,-1.452752981,1.452752981,7.92E-14,1.18E-11,16,P54071,Idh2,"Isocitrate dehydrogenase [NADP], mitochondrial",IDHP_MOUSE,25,-63.46763598,0.36532364,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,peroxisome,cytosol,extracellular exosome","magnesium ion binding,isocitrate dehydrogenase activity,isocitrate dehydrogenase (NADP+) activity,NAD binding","glyoxylate cycle,tricarboxylic acid cycle,isocitrate metabolic process,2-oxoglutarate metabolic process,NADP biosynthetic process,negative regulation of glial cell proliferation,negative regulation of glial cell migration,negative regulation of matrix metallopeptidase secretion"
Injured / Non-injured,Q91WT7,Q91WT7,-2.853572329,2.853572329,4.28E-14,1.18E-11,16,Q91WT7,Akr1c14,3-alpha-hydroxysteroid dehydrogenase type 1,Q91WT7_MOUSE,18,-86.16468236,0.138353176,Injured,Non-injured,cellular_component,androsterone dehydrogenase activity,"hippocampus development,oxidation-reduction process"
Injured / Non-injured,Q80XN0,Q80XN0,-2.150425194,2.150425194,4.39E-13,4.37E-11,16,Q80XN0,Bdh1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",BDH_MOUSE,15,-77.47537792,0.225246221,Injured,Non-injured,"nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,matrix side of mitochondrial inner membrane",3-hydroxybutyrate dehydrogenase activity,oxidation-reduction process
Injured / Non-injured,D3Z7X0,D3Z7X0,-1.474513407,1.474513407,1.33E-12,6.82E-11,16,D3Z7X0,Acad12,MCG142036,D3Z7X0_MOUSE,15,-64.01452535,0.359854746,Injured,Non-injured,mitochondrion,"acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",fatty acid beta-oxidation using acyl-CoA dehydrogenase
Injured / Non-injured,O09174,O09174,-2.061305914,2.061305914,1.70E-12,6.82E-11,16,O09174,Amacr,Alpha-methylacyl-CoA racemase,AMACR_MOUSE,17,-76.04009512,0.239599049,Injured,Non-injured,"cytoplasm,mitochondrion,peroxisome,plasma membrane,intracellular membrane-bounded organelle","receptor binding,alpha-methylacyl-CoA racemase activity","fatty acid metabolic process,bile acid biosynthetic process,bile acid metabolic process,isoprenoid catabolic process"
Injured / Non-injured,P0C0S6;Q3THW5,P0C0S6;Q3THW5,1.459653954,1.459653954,2.75E-12,6.82E-11,16,P0C0S6;Q3THW5,H2afz;H2afv,Histone H2A.Z;Histone H2A.V,H2AZ_MOUSE;H2AV_MOUSE,3,175.0423839,2.750423839,Injured,Non-injured,"nucleosome,nuclear chromatin,nucleus,nuclear euchromatin,nuclear heterochromatin,extracellular exosome,Barr body;nucleosome,nuclear chromatin,nucleus,extracellular exosome","RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,DNA binding,chromatin DNA binding,nucleosomal DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity","chromatin silencing,multicellular organism development,positive regulation of transcription from RNA polymerase II promoter,cellular response to estradiol stimulus;chromatin silencing"
Injured / Non-injured,P16331,P16331,-2.384276146,2.384276146,2.26E-12,6.82E-11,16,P16331,Pah,Phenylalanine-4-hydroxylase,PH4H_MOUSE,31,-80.84591713,0.191540829,Injured,Non-injured,extracellular exosome,"phenylalanine 4-monooxygenase activity,iron ion binding","L-phenylalanine catabolic process,oxidation-reduction process"
Injured / Non-injured,Q3ULD5,Q3ULD5,-1.412502436,1.412502436,2.68E-12,6.82E-11,16,Q3ULD5,Mccc2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCB_MOUSE,27,-62.43404813,0.375659519,Injured,Non-injured,"mitochondrion,mitochondrial matrix,methylcrotonoyl-CoA carboxylase complex","ATP binding,methylcrotonoyl-CoA carboxylase activity","leucine catabolic process,coenzyme A metabolic process"
Injured / Non-injured,Q8BMD8,Q8BMD8,2.809284805,2.809284805,2.37E-12,6.82E-11,16,Q8BMD8,Slc25a24,Calcium-binding mitochondrial carrier protein SCaMC-1,SCMC1_MOUSE,7,600.9370118,7.009370118,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,integral component of membrane","ATP transmembrane transporter activity,calcium ion binding,ADP transmembrane transporter activity","mitochondrial transport,regulation of cell death,ADP transport,ATP transport,cellular response to oxidative stress,transmembrane transport,cellular response to calcium ion"
Injured / Non-injured,Q8BMS1,Q8BMS1,-0.981033618,0.981033618,1.05E-12,6.82E-11,16,Q8BMS1,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial",ECHA_MOUSE,39,-49.33833554,0.506616645,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,mitochondrial fatty acid beta-oxidation multienzyme complex,extracellular matrix,mitochondrial nucleoid","fatty-acyl-CoA binding,acetyl-CoA C-acyltransferase activity,enoyl-CoA hydratase activity,long-chain-enoyl-CoA hydratase activity,long-chain-3-hydroxyacyl-CoA dehydrogenase activity,protein complex binding,NAD binding","fatty acid beta-oxidation,response to insulin,response to drug"
