PG.ProteinGroups,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
A0A023T672,6.992893219,19.10949898,4.920039654,6.920048237,6.192250729,4.49668932,10.51860523,9.565750122
A0A023T778;P61327;Q9CQL1,31.12151909,54.08979034,39.04425049,98.98506165,34.24428177,45.02509308,62.89915848,58.30712891
A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,29.77336121,19.50299835,20.90774727,18.51691246,23.09979248,20.98485184,21.98582649,13.48824692
A0A075B5N4;A0A0G2JF28,63.29529953,30.79743576,10.43687153,221.3865967,8.740701675,18.38174629,15.84755611,36.01921844
A0A075B5N7,19.90554047,33.49545288,Filtered,51.31040955,21.87065506,8.904834747,12.33035564,28.01199913
A0A075B5P2;P01837,31.61577797,22.70166779,9.212756157,162.7524719,21.93009949,13.12746811,6.164828777,27.03556061
A0A075B5P3,30.58761597,23.51382637,11.98467731,105.4027863,25.93780327,4.374184132,12.77674007,32.8551445
A0A075B5P4;A0A0A6YWR2,41.55915833,49.86751175,104.1778717,1017.378479,34.41594696,25.00955963,30.39262009,41.84098816
A0A075B5P5;P03987;P03987-2,173.5934753,100.2096329,13.69423294,328.5962524,58.31803513,58.85044098,22.66488838,54.78619003
A0A075B5P6,562.8874512,217.9259186,186.3382568,2617.023438,392.5528564,205.1650085,152.5195465,242.0353088
A0A075B5V7,Filtered,NaN,Filtered,5.367715359,0.669109821,NaN,Filtered,2.00423789
A0A087WNM1;Q91Z67,1.246413827,NaN,1.443348169,4.383527279,2.719118357,NaN,3.661833048,3.748541355
A0A087WNN8;Q61263,Filtered,42.84158325,4.024449348,51.45690918,Filtered,5.04213047,28.87495232,15.78808403
A0A087WNP6;Q4VAA2;Q4VAA2-2,65.79647827,112.9553833,86.27531433,107.760849,68.3522644,83.85909271,109.1913757,119.7296906
A0A087WNT1;A0A087WQE6;P83940,28.34190559,36.13167191,27.80639076,25.58277893,25.58899117,19.85909843,38.71355438,26.69835091
A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,30.16617966,25.11569977,13.82871819,23.63439369,16.40341949,22.36351013,18.07110023,20.96811676
A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9,6.237590313,5.869320393,1.019189,5.374678135,0.917724133,6.212275505,8.801271439,4.226640224
A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1,17.20455742,26.20553589,18.30639267,49.26828766,24.3525238,14.40472698,31.20382881,13.74088383
A0A087WNZ5;A0A087WRP7;P0CW02,204.1564789,244.249588,153.5513916,99.98081207,88.57685089,132.9381104,111.8485718,126.7863235
A0A087WNZ7;G5E870,1.257333517,7.191085815,2.829812527,3.704814672,2.371043921,1.841162205,7.5978899,3.667212963
A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1,14.91642761,13.655159,15.24250984,Filtered,12.19671345,9.793474197,4.169121742,7.295423031
A0A087WPT7;Q6P549,19.89020348,16.83947945,5.783024788,22.33979797,8.788642883,7.670597553,17.50793457,10.31415081
A0A087WQ89,47.81822586,48.76171875,46.64095306,2.538735867,28.23689842,35.9024086,34.47502518,32.67134857
A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3,19.12449074,39.15593719,14.46651459,23.82500076,17.11008835,9.697615623,36.25997543,29.32331085
A0A087WQS0,239.8045502,315.9502563,239.5603943,114.0330658,231.7960205,222.2143555,337.047821,335.7922363
A0A087WQS2;Q9CQC6,84.07753754,199.4442749,85.50836182,193.046051,89.7979126,52.52864456,196.9132538,156.0136871
A0A087WQT6;O89110,4.136193275,5.088047028,3.098083735,10.14745522,4.237372398,4.754442215,7.580459118,8.540655136
A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,Filtered,6.326902866,Filtered,3.109526873,Filtered,NaN,9.765803337,Filtered
A0A087WRE7;Q8R0N6,113.9996719,42.30774307,128.4564667,20.67022896,136.5863037,116.7154541,20.94301987,43.17410278
A0A087WRM8;E9QM90;G3X9J4;Q148V7,5.141094685,4.440070152,5.058317661,3.046525478,3.543009043,4.828126431,7.109827995,2.7310853
A0A087WRQ4;P63166,74.52575684,107.6777191,76.30605316,188.5352478,57.71709061,68.64419556,145.3036194,131.5573273
A0A087WRY3;Q80XU3,124.7322464,169.5623932,131.9343109,61.26001358,78.91055298,75.02506256,134.5875702,110.0226059
A0A087WS96;Q8BG73,33.67528152,28.30998993,39.86566544,9.135998726,51.67404938,32.13977814,22.74549294,33.34132767
A0A087WSN6,195.8273468,490.3403625,117.813858,4229.212891,102.6003723,289.4301758,936.7559814,685.6499634
A0A087WSN7;P49138,7.873295307,10.4197998,7.828305721,13.13515282,10.95124912,1.591885567,8.806027412,6.914023399
A0A087WSP5;P42225;Q8C3V4,26.87841797,10.59531212,7.407242298,18.02159309,15.95091915,9.742121696,11.61250877,17.02429962
A0A0A0MQ68;Q60759,1389.348511,610.6204834,1442.448975,384.6558533,1446.937378,1234.508911,366.5658569,527.0368652
A0A0A0MQ79;Q3TLH4;Q3TLH4-5;S4R294;S4R2J9,2.923221111,8.877836227,6.924047947,4.905864239,5.795913696,3.298961401,6.221522808,5.801504135
A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,NaN,602.6532593,Filtered,111.0974197,3.200404406,3.129781723,646.7295532,414.1939392
A0A0A0MQ90;P97352,41.91280746,54.63248444,22.76609039,88.91494751,41.61828232,46.00108337,92.13064575,91.82618713
A0A0A0MQ97;G3X9C2,292.3960266,15.21393776,205.2485809,69.94595337,243.2606506,134.1745911,23.10314178,12.19656849
A0A0A0MQA3;A0A0R4J0X5;P07758;Q00896,804.2016602,574.2697754,786.4060059,5912.137695,861.9491577,608.0737915,946.8778076,599.0032349
A0A0A0MQA5;P68368,2988.932373,4315.273926,3040.18457,3918.743164,3187.42041,2626.275391,3886.392578,3115.330322
A0A0A0MQC7;A2A5Y6;P10637,146.7485046,64.37348175,207.8139648,Filtered,138.294281,111.1920853,54.81276321,76.20810699
A0A0A0MQF6;P16858,8502.226563,11084.14648,8886.397461,7560.234863,8849.592773,8049.45166,7941.888672,7589.871582
A0A0A0MQG9;A2AQZ5;A2AQZ7;D6RI61;D6RIQ3;Q9DB26,35.24518204,25.45164299,45.06105042,14.39642048,42.1598053,32.12976456,22.37875748,15.52999687
A0A0A0MQN4;Q9D906;S4R2D5,8.669250488,20.88771248,7.256216526,30.93658066,5.670665741,9.769964218,34.41901779,27.38038635
A0A0A6YVR9;P09925,28.83388329,5.867294788,44.69021225,5.431557178,19.31551743,5.7752738,7.772700787,7.19126606
A0A0A6YVT1;A0A0A6YXN9;A0A0A6YY75;Q64735;Q64735-2,22.9998951,25.43848419,29.2938385,44.72729492,25.43782806,19.41680336,21.22612953,15.88990688
A0A0A6YVU8;Q9JKV1,212.6304779,111.3708649,87.94197845,124.0929718,103.8000793,147.2640381,197.8982239,98.93786621
