PG.ProteinGroups,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
A0A023T778;G3UZW7;P61327;Q9CQL1,46.8809166,117.0547714,35.19432831,183.0701294,28.12534523,89.49356079,172.4061279,127.6683121
A0A075B5P2;P01837,24.22355843,19.13763809,10.08414555,151.1304321,19.55646133,7.943388939,7.566860676,22.59257507
A0A075B5P3,23.80627441,32.4021759,15.0511694,135.6856689,33.11536026,7.555202007,15.0039072,46.53636932
A0A075B5P4;A0A0A6YWR2,47.78733063,70.3371582,126.9983292,1363.787231,41.27133179,31.33686447,44.34910202,53.85894394
A0A075B5P5;P03987;P03987-2,43.86257935,50.32746506,9.296195984,129.0629425,16.95831299,8.404089928,19.17292213,23.08270645
A0A075B5P6;A0A075B6A0;P01872;P01872-2,578.7878418,235.6249084,199.2038269,2860.183594,386.5062866,219.6431732,169.6926575,231.4227448
A0A087WNP6;Q4VAA2;Q4VAA2-2,31.36606979,34.67153931,20.21710777,39.82308578,19.96372032,19.80105019,25.39668274,34.48582458
A0A087WNT1;A0A087WQE6;P83940,45.90006638,67.27515411,38.24206543,47.52160645,60.67727661,39.22504044,85.00291443,61.11753845
A0A087WNW3;A0A087WP14;A0A087WP48;A0A087WP85;A0A087WPW5;A0A087WPX0;A0A087WQ25;A0A087WQD0;A0A087WQF8;A0A087WQG4;A0A087WQI3;A0A087WQQ5;A0A087WRS1;A0A087WS04;A0A087WS23;A0A087WS29;F8VQC7,26.61457253,2.971308231,12.45321083,30.3666687,16.40146446,10.527421,5.264497757,4.883110523
A0A087WPF9;A0A087WQS2;Q9CQC6,36.57327271,107.2376099,40.61743164,66.71737671,59.10420227,24.13935471,103.1511383,85.69307709
A0A087WPL1;F7C957;Q8R1G6,28.44215393,62.0775795,34.0837822,37.71019745,27.91061783,39.51553345,64.45806122,63.11470795
A0A087WPY7;A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,Filtered,75.94130707,9.683869362,9.032554626,Filtered,Filtered,145.2076874,12.54085541
A0A087WQ89,63.21255875,79.14867401,57.87812805,6.091992378,38.33258057,46.97000504,48.15562439,65.08869934
A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6,225.5939789,349.7609253,231.0787048,129.2587433,215.9344635,212.2532959,400.2403564,348.1105347
A0A087WR20;P49935,129.5965881,178.3837891,137.3456116,109.4855347,127.8647156,159.5234528,196.7928925,172.8843384
A0A087WR50;P11276;Q3UHL6,139.5079041,375.4377136,79.8842926,3171.933105,73.43310547,203.2306976,753.0494385,487.9927063
A0A087WRE7;Q8R0N6,315.7400818,139.0230408,321.0315247,53.24962997,356.829834,301.5620422,62.35293579,130.5818024
A0A087WRY3;Q80XU3,119.2080231,174.5149384,121.3541718,106.2480164,68.67079163,80.08501434,161.4551239,128.3456879
A0A087WSP5;P42225;Q8C3V4;Q99K94,18.54064178,40.35305405,16.4565506,26.00044823,16.13431931,16.20220566,76.77206421,50.18662262
A0A0A0MQ68;Q60759,1239.522339,581.5147095,1242.013916,355.2668152,1262.885132,1020.289734,325.4637146,493.3423767
A0A0A0MQ76;Q6DFW4,21.01007462,53.67440414,12.45724392,76.82307434,15.75092411,21.75797462,65.21274567,47.18406296
A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,NaN,25.71365356,NaN,4.641998291,0.086187236,0.15168263,29.42937279,16.80778885
A0A0A0MQ97;G3X9C2,293.7668152,12.45523167,219.715744,59.51136017,236.2420807,136.0646057,18.83371735,9.713152885
A0A0A0MQA3;P07758,705.06427,518.5664063,667.8245239,5674.058594,741.4645386,578.5166016,835.0078735,519.0683594
A0A0A0MQA5;P68368,2855.200195,4375.45459,3012.690186,3875.662354,3106.423096,2569.663086,4020.575439,3177.548828
A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,177.803299,152.4714661,280.2420959,5.379118919,204.5722046,130.5621338,83.65148163,99.63362885
A0A0A0MQN4;Q9D906;S4R2D5,8.527655602,29.08834648,12.2330122,40.89974213,5.726866722,9.274753571,47.14846039,23.33983994
A0A0A6YVV8;A0A0A6YWB0;A0A0A6YXE3;A0A0A6YXP3;G3X9Q0;Q9JKP5,52.52859116,106.725502,32.70926285,122.1322784,41.39946365,66.37046814,148.4255981,117.1095963
A0A0A6YWH2;Q9EQX4,69.48175049,98.27958679,39.98650742,17.22996902,72.93762207,40.50058365,78.95334625,46.03013611
A0A0A6YWU2;A0A0A6YY47;E9Q589;E9QB01;P13595;P13595-2;P13595-3;P13595-4,NaN,18.03839302,8.447865486,53.63182068,2.783206463,19.65554047,16.3646946,14.61750698
A0A0A6YX18;Q8BVE3,960.3737793,575.4551392,967.2966919,395.1542053,1117.929199,946.1932983,499.657196,510.2958984
A0A0A6YX73;Q8K1M3,84.3489151,94.21265411,87.90087891,74.16343689,78.97763062,73.77522278,92.06721497,94.1930542
A0A0A6YXL6;A0A0A6YXX3;E9Q3Y4;Q9ESE1;Q9ESE1-2;Q9ESE1-3,110.0293808,84.48784637,105.2723465,47.53091431,106.5515366,104.3848877,90.40602112,85.11290741
A0A0B4J1I0,961.1790771,370.2737427,287.5052185,2158.496094,235.2983246,121.3818054,42.35618591,122.1940918
A0A0G2JDH9;A0A0G2JE50;A0A0R4J0B0;G3X9J8;G5E8G5;O54990;O54990-2;O54990-3;O54990-4;O54990-5;O54990-6;Q8CDK8;Q8R056,19.30620575,27.35891151,25.07648087,28.08813858,13.90184975,18.79207802,29.75077629,23.01316261
