Significantly Down-regulated protein groups: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,
897 Significantly down-regulated protein groups (log2(FC) <= -0.58 & q-value <= 0.01) ,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
UniProtIds,Genes,ProteinDescriptions,ProteinNames,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# Unique Total Peptides,% Change,Ratio,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
E9PYF4,Lmo7,Protein Lmo7,E9PYF4_MOUSE,-0.858128976,0.858128976,0.009847885,0.002100671,10,-44.83324507,0.551667549,"cell-cell adherens junction,focal adhesion,apical plasma membrane","ubiquitin-protein transferase activity,protein C-terminus binding,actinin binding,metal ion binding","protein ubiquitination,regulation of signaling,regulation of cell adhesion,cell-cell adhesion",
P15327,Bpgm,Bisphosphoglycerate mutase,PMGE_MOUSE,-1.197608179,1.197608179,0.009744429,0.002081106,9,-56.40024838,0.435997516,"cytosol,extracellular exosome","bisphosphoglycerate mutase activity,hydrolase activity,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity","gluconeogenesis,glycolytic process,regulation of pentose-phosphate shunt",
Q8BHA3;Q8BHA3-2,Dtd2,Probable D-tyrosyl-tRNA(Tyr) deacylase 2;Isoform 2 of Probable D-tyrosyl-tRNA(Tyr) deacylase 2,DTD2_MOUSE,-0.977234887,0.977234887,0.009361718,0.002005813,2,-49.20476355,0.507952364,cytoplasm;,"aminoacyl-tRNA editing activity,D-tyrosyl-tRNA(Tyr) deacylase activity;","tRNA metabolic process,regulation of translational fidelity;",
Q8CDA1;Q8CDA1-2,Inpp5f,Phosphatidylinositide phosphatase SAC2;Isoform 2 of Phosphatidylinositide phosphatase SAC2,SAC2_MOUSE,-0.626759521,0.626759521,0.009307563,0.001995331,3,-35.23705581,0.647629442,"cytoplasm,early endosome,axon,dendrite,neuronal cell body,clathrin-coated endocytic vesicle,recycling endosome,clathrin-coated pit;","protein binding,inositol monophosphate 1-phosphatase activity,phosphatidylinositol phosphate 5-phosphatase activity,phosphatidylinositol phosphate 4-phosphatase activity,protein homodimerization activity,inositol monophosphate 3-phosphatase activity,inositol monophosphate 4-phosphatase activity;","positive regulation of receptor recycling,adult locomotory behavior,cardiac muscle hypertrophy in response to stress,phosphatidylinositol catabolic process,negative regulation of peptidyl-serine phosphorylation,negative regulation of tyrosine phosphorylation of STAT protein,phosphatidylinositol dephosphorylation,phosphatidylinositol-mediated signaling,negative regulation of axon regeneration,regulation of protein kinase B signaling,clathrin-dependent endocytosis,regulation of cell motility,regulation of endocytic recycling;",
E9QA46;Q9QXY9,Pex3,Peroxisomal biogenesis factor 3,E9QA46_MOUSE;PEX3_MOUSE,-1.034063921,1.034063921,0.009304437,0.001995331,2,-51.16673725,0.488332628,";nucleoplasm,peroxisome,peroxisomal membrane,integral component of peroxisomal membrane,endoplasmic reticulum,cytosol,integral component of plasma membrane,membrane,protein-lipid complex,protein complex",";lipid binding,protein dimerization activity",";peroxisome organization,peroxisome membrane biogenesis,protein import into peroxisome membrane",
Q9CXD6;Q9CXD6-3,Mcur1,Mitochondrial calcium uniporter regulator 1;Isoform 3 of Mitochondrial calcium uniporter regulator 1,MCUR1_MOUSE,-0.588678049,0.588678049,0.008838003,0.001910531,7,-33.50480724,0.664951928,integral component of mitochondrial inner membrane;,molecular_function;,"mitochondrial calcium ion transport,calcium ion transmembrane import into mitochondrion,positive regulation of mitochondrial calcium ion concentration,calcium ion import;",
E9PXB0;Q8K1N1,Pnpla8,Calcium-independent phospholipase A2-gamma,E9PXB0_MOUSE;PLPL8_MOUSE,-1.546801471,1.546801471,0.008808699,0.001904971,4,-65.77319504,0.34226805,";Golgi membrane,intracellular,peroxisome,peroxisomal membrane,endoplasmic reticulum membrane,membrane,integral component of membrane,perinuclear region of cytoplasm",";lysophospholipase activity,calcium-independent phospholipase A2 activity",";prostaglandin biosynthetic process,fatty acid metabolic process,cell death,arachidonic acid metabolic process,phosphatidylcholine catabolic process,linoleic acid metabolic process,phosphatidylethanolamine catabolic process,arachidonic acid secretion",
Q9CQ06,Mrpl24,"39S ribosomal protein L24, mitochondrial",RM24_MOUSE,-0.892410486,0.892410486,0.008715208,0.001888591,2,-46.12867277,0.538713272,"mitochondrion,mitochondrial large ribosomal subunit",structural constituent of ribosome,translation,
Q3U8Y1;Q9DCA2,Mrps11,"28S ribosomal protein S11, mitochondrial;28S ribosomal protein S11, mitochondrial",Q3U8Y1_MOUSE;RT11_MOUSE,-0.750951279,0.750951279,0.008439245,0.001831027,2,-40.57883809,0.594211619,";mitochondrion,mitochondrial small ribosomal subunit",";RNA binding,structural constituent of ribosome,mRNA 5'-UTR binding,small ribosomal subunit rRNA binding",";ribosomal small subunit assembly,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translation,mitochondrial translation",
A2ADH1;F6TBV1;F6WHL0;Q9CQY5;Q9CQY5-2;Q9CQY5-3,Magt1,Magnesium transporter protein 1;Magnesium transporter protein 1 (Fragment);Magnesium transporter protein 1 (Fragment);Magnesium transporter protein 1;Isoform 2 of Magnesium transporter protein 1;Isoform 3 of Magnesium transporter protein 1,A2ADH1_MOUSE;F6TBV1_MOUSE;F6WHL0_MOUSE;MAGT1_MOUSE;MAGT1_MOUSE;MAGT1_MOUSE,-0.919483602,0.919483602,0.008232565,0.001789103,3,-47.13017715,0.528698228,";;;endoplasmic reticulum,plasma membrane,oligosaccharyltransferase complex,membrane,integral component of membrane;;",";;;magnesium ion transmembrane transporter activity,dolichyl-diphosphooligosaccharide-protein glycotransferase activity;;",";;;magnesium ion transport,protein N-linked glycosylation via asparagine,cognition,magnesium ion transmembrane transport;;",
