Significantly Altered Protein Groups: No Diet Injured vs. Healthy Kidney Lysates,,,,,,,,,,,,,,,,,,,,
"2,226 significantly altered protein groups (|log2(FC)| ³ 0.58 & q-value ² 0.01)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Injured / Non-injured,Q8BWY3,Q8BWY3,0.580035035,0.580035035,5.70E-08,8.10E-08,16,Q8BWY3,Etf1,Eukaryotic peptide chain release factor subunit 1,ERF1_MOUSE,19,49.48855507,1.494885551,Injured,Non-injured,cytoplasm,"RNA binding,translation release factor activity,sequence-specific mRNA binding","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,protein methylation,viral process",
Injured / Non-injured,A2AQR0;Q64521,A2AQR0;Q64521,-0.580160639,0.580160639,0.007777932,0.001704928,16,A2AQR0;Q64521,Gpd2,"Glycerol-3-phosphate dehydrogenase;Glycerol-3-phosphate dehydrogenase, mitochondrial",A2AQR0_MOUSE;GPDM_MOUSE,36,-33.11107054,0.668889295,Injured,Non-injured,";mitochondrion,mitochondrial inner membrane,glycerol-3-phosphate dehydrogenase complex",";calcium ion binding,sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity",";glycerol-3-phosphate metabolic process,gluconeogenesis,glycerol catabolic process,multicellular organism growth,camera-type eye development,oxidation-reduction process",
Injured / Non-injured,Q61187,Q61187,0.580189171,0.580189171,3.14E-05,1.33E-05,16,Q61187,Tsg101,Tumor susceptibility gene 101 protein,TS101_MOUSE,3,49.50452711,1.495045271,Injured,Non-injured,"ESCRT I complex,nucleus,nucleolus,cytoplasm,endosome,early endosome,late endosome,microtubule organizing center,cytosol,plasma membrane,midbody,early endosome membrane,late endosome membrane,extracellular exosome","transcription corepressor activity,protein binding,ligand-dependent nuclear receptor transcription coactivator activity,ubiquitin protein ligase binding,protein complex binding,protein homodimerization activity,ubiquitin binding,virion binding,calcium-dependent protein binding","regulation of cell growth,protein monoubiquitination,extracellular transport,cell cycle arrest,negative regulation of epidermal growth factor-activated receptor activity,negative regulation of cell proliferation,endosome to lysosome transport,protein transport,cell differentiation,keratinocyte differentiation,negative regulation of epidermal growth factor receptor signaling pathway,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,regulation of MAP kinase activity,negative regulation of transcription, DNA-templated,viral budding,positive regulation of viral process,cell division,positive regulation of viral release from host cell,positive regulation of exosomal secretion,regulation of extracellular exosome assembly,regulation of viral budding via host ESCRT complex,positive regulation of viral budding via host ESCRT complex,exosomal secretion,positive regulation of ubiquitin-dependent endocytosis",
Injured / Non-injured,E9QNW6;Q8VDG7,E9QNW6;Q8VDG7,-0.580206762,0.580206762,0.000301874,9.35E-05,16,E9QNW6;Q8VDG7,Pafah2,"Platelet-activating factor acetylhydrolase 2, cytoplasmic;Platelet-activating factor acetylhydrolase 2, cytoplasmic",E9QNW6_MOUSE;PAFA2_MOUSE,4,-33.11320894,0.668867911,Injured,Non-injured,;cytoplasm,;1-alkyl-2-acetylglycerophosphocholine esterase activity,;lipid catabolic process,
Injured / Non-injured,P62748,P62748,0.580398348,0.580398348,0.002047508,0.000511637,16,P62748,Hpcal1,Hippocalcin-like protein 1,HPCL1_MOUSE,5,49.5262054,1.495262054,Injured,Non-injured,"membrane,extracellular exosome","calcium ion binding,protein binding",biological_process,
Injured / Non-injured,P06281,P06281,-0.581176534,0.581176534,0.035552938,0.006759887,16,P06281,Ren1,Renin-1,RENI1_MOUSE,8,-33.15815478,0.668418452,Injured,Non-injured,"extracellular space,intracellular,cytoplasm,membrane,apical part of cell","endopeptidase activity,aspartic-type endopeptidase activity,receptor binding,insulin-like growth factor receptor binding,peptidase activity","kidney development,mesonephros development,angiotensin maturation,regulation of blood volume by renin-angiotensin,renin-angiotensin regulation of aldosterone production,proteolysis,male gonad development,hormone-mediated signaling pathway,response to organic substance,response to lipopolysaccharide,cellular response to drug,response to immobilization stress,drinking behavior,regulation of MAPK cascade,cell maturation,beta-amyloid metabolic process,response to cAMP,response to cGMP,protein catabolic process",
Injured / Non-injured,A0A0J9YTU3;A0A0J9YUF8;A0A0J9YUR2;A0A0J9YV86;Q5SXY1;Q5SXY1-2;Q5SXY1-3,A0A0J9YTU3;A0A0J9YUF8;A0A0J9YUR2;A0A0J9YV86;Q5SXY1;Q5SXY1-2;Q5SXY1-3,0.581521986,0.581521986,0.042903872,0.008039753,11,A0A0J9YTU3;A0A0J9YUF8;A0A0J9YUR2;A0A0J9YV86;Q5SXY1;Q5SXY1-2;Q5SXY1-3,Specc1,Cytospin-B;Cytospin-B;Cytospin-B;Cytospin-B;Cytospin-B;Isoform 2 of Cytospin-B;Isoform 4 of Cytospin-B,A0A0J9YTU3_MOUSE;A0A0J9YUF8_MOUSE;A0A0J9YUR2_MOUSE;A0A0J9YV86_MOUSE;CYTSB_MOUSE;CYTSB_MOUSE;CYTSB_MOUSE,2,49.64270873,1.496427087,Injured,Non-injured,";;;;nucleus,membrane;;",;;;;molecular_function;;,;;;;;;,
Injured / Non-injured,O88487;Q3TPJ8,O88487;Q3TPJ8,0.582926784,0.582926784,4.62E-05,1.85E-05,16,O88487;Q3TPJ8,Dync1i2,Cytoplasmic dynein 1 intermediate chain 2,DC1I2_MOUSE;Q3TPJ8_MOUSE,18,49.78849155,1.497884915,Injured,Non-injured,"cytoplasm,cytoplasmic dynein complex,microtubule,vesicle;","protein binding,dynein light chain binding,dynein heavy chain binding,ATP-dependent microtubule motor activity, plus-end-directed;","transport along microtubule,positive regulation of ATP-dependent microtubule motor activity, plus-end-directed;",
Injured / Non-injured,Q8VDG5,Q8VDG5,-0.583595258,0.583595258,6.06E-07,5.20E-07,16,Q8VDG5,Ppcs,Phosphopantothenate--cysteine ligase,PPCS_MOUSE,9,-33.27012335,0.667298767,Injured,Non-injured,extracellular exosome,phosphopantothenate--cysteine ligase activity,coenzyme A biosynthetic process,
Injured / Non-injured,Q9DCH4,Q9DCH4,0.583609423,0.583609423,0.002832411,0.000681521,16,Q9DCH4,Eif3f,Eukaryotic translation initiation factor 3 subunit F,EIF3F_MOUSE,11,49.85938365,1.498593837,Injured,Non-injured,"eukaryotic translation initiation factor 3 complex,membrane,eukaryotic translation initiation factor 3 complex, eIF3m","thiol-dependent ubiquitin-specific protease activity,protein binding,translation initiation factor binding,translation initiation factor activity","translational initiation,protein deubiquitination,IRES-dependent viral translational initiation",
Injured / Non-injured,Q3TVK3;Q9Z2W0,Q3TVK3;Q9Z2W0,0.583628679,0.583628679,6.63E-05,2.52E-05,16,Q3TVK3;Q9Z2W0,Dnpep,Aspartyl aminopeptidase,Q3TVK3_MOUSE;DNPEP_MOUSE,12,49.86138383,1.498613838,Injured,Non-injured,";extracellular region,nucleus,cytoplasm,cytosol,blood microparticle",";zinc ion binding,identical protein binding,metalloaminopeptidase activity",";proteolysis,peptide metabolic process",
Injured / Non-injured,Q6ZWZ7;Q9CPR4,Q6ZWZ7;Q9CPR4,0.584595386,0.584595386,3.25E-05,1.37E-05,16,Q6ZWZ7;Q9CPR4,Rpl17,60S ribosomal protein L17,Q6ZWZ7_MOUSE;RL17_MOUSE,12,49.96183516,1.499618352,Injured,Non-injured,";nucleus,cytosolic large ribosomal subunit",";RNA binding,structural constituent of ribosome,protein binding",;translation,
