Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,P47911,P47911,0.849695735,0.849695735,1.15E-12,5.00E-11,16,P47911,Rpl6,60S ribosomal protein L6,RL6_MOUSE,9,80.21208167,1.802120817,Injured,Non-injured,"nucleus,nucleolus,cytoplasm,focal adhesion,membrane,cytosolic large ribosomal subunit,cytoplasmic ribonucleoprotein granule","RNA binding,structural constituent of ribosome,cadherin binding","ribosomal large subunit assembly,cytoplasmic translation"
Injured / Non-injured,Q9D0K2,Q9D0K2,-1.47591287,1.47591287,6.81E-13,5.00E-11,16,Q9D0K2,Oxct1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",SCOT1_MOUSE,20,-64.04941554,0.359505845,Injured,Non-injured,"nucleoplasm,mitochondrion,mitochondrial matrix","3-oxoacid CoA-transferase activity,protein homodimerization activity","brain development,heart development,response to nutrient,response to hormone,response to activity,positive regulation of insulin secretion involved in cellular response to glucose stimulus,ketone catabolic process,response to drug,response to starvation,response to ethanol,cellular ketone body metabolic process,ketone body catabolic process,adipose tissue development"
Injured / Non-injured,Q9DBL7,Q9DBL7,-1.33140888,1.33140888,1.17E-12,5.00E-11,16,Q9DBL7,Coasy,Bifunctional coenzyme A synthase,COASY_MOUSE,13,-60.26200134,0.397379987,Injured,Non-injured,"mitochondrial matrix,extracellular exosome","dephospho-CoA kinase activity,pantetheine-phosphate adenylyltransferase activity,ATP binding","coenzyme A biosynthetic process,phosphorylation"
Injured / Non-injured,Q9CQ65,Q9CQ65,0.917612008,0.917612008,2.16E-12,6.93E-11,16,Q9CQ65,Mtap,S-methyl-5'-thioadenosine phosphorylase,MTAP_MOUSE,4,88.89859976,1.888985998,Injured,Non-injured,"nucleus,cytosol,extracellular exosome",S-methyl-5-thioadenosine phosphorylase activity,"purine ribonucleoside salvage,L-methionine biosynthetic process from methylthioadenosine,methylation,response to testosterone"
Injured / Non-injured,P40936,P40936,-1.768308135,1.768308135,4.45E-12,1.14E-10,16,P40936,Inmt,Indolethylamine N-methyltransferase,INMT_MOUSE,10,-70.64472118,0.293552788,Injured,Non-injured,cytosol,"thioether S-methyltransferase activity,amine N-methyltransferase activity,dimethyl selenide methyltransferase activity,Requires Ontology","selenium compound metabolic process,amine metabolic process,response to toxic substance,methylation"
Injured / Non-injured,Q3UNZ8,Q3UNZ8,-1.462437704,1.462437704,6.11E-12,1.30E-10,16,Q3UNZ8,NaN,Quinone oxidoreductase-like protein 2,QORL2_MOUSE,12,-63.71205418,0.362879458,Injured,Non-injured,mitochondrion,oxidoreductase activity,oxidation-reduction process
Injured / Non-injured,Q91VT4,Q91VT4,-1.200605199,1.200605199,1.11E-11,2.03E-10,16,Q91VT4,Cbr4,Carbonyl reductase family member 4,CBR4_MOUSE,5,-56.49072745,0.435092726,Injured,Non-injured,"mitochondrion,mitochondrial matrix,oxidoreductase complex","NAD(P)H dehydrogenase (quinone) activity,NADPH dehydrogenase (quinone) activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,quinone binding,NADPH binding","fatty acid biosynthetic process,daunorubicin metabolic process,doxorubicin metabolic process,protein homotetramerization,protein heterotetramerization,oxidation-reduction process"
Injured / Non-injured,P45952,P45952,-1.55034381,1.55034381,2.20E-11,3.52E-10,16,P45952,Acadm,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM_MOUSE,24,-65.85713117,0.341428688,Injured,Non-injured,"nucleus,mitochondrion,mitochondrial matrix,nuclear speck,axon,mitochondrial membrane,extracellular exosome","acyl-CoA dehydrogenase activity,identical protein binding,flavin adenine dinucleotide binding,medium-chain-acyl-CoA dehydrogenase activity","liver development,glycogen biosynthetic process,organic acid metabolic process,regulation of gluconeogenesis,fatty acid beta-oxidation,heart development,response to cold,carnitine metabolic process,post-embryonic development,carnitine metabolic process, CoA-linked,fatty acid beta-oxidation using acyl-CoA dehydrogenase,response to starvation,carnitine biosynthetic process,medium-chain fatty acid metabolic process,medium-chain fatty acid catabolic process,cardiac muscle cell differentiation,oxidation-reduction process"
Injured / Non-injured,P50171;P50171-2,P50171;P50171-2,-1.305283032,1.305283032,3.58E-11,4.68E-10,16,P50171;P50171-2,Hsd17b8,Estradiol 17-beta-dehydrogenase 8;Isoform Long of Estradiol 17-beta-dehydrogenase 8,DHB8_MOUSE,8,-59.53582834,0.404641717,Injured,Non-injured,"mitochondrion,mitochondrial envelope,mitochondrial matrix,plasma membrane,membrane;","3-hydroxyacyl-CoA dehydrogenase activity,estradiol 17-beta-dehydrogenase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,testosterone dehydrogenase (NAD+) activity,NADH binding;","fatty acid biosynthetic process,estrogen biosynthetic process,androgen metabolic process,estrogen metabolic process,protein heterotetramerization,oxidation-reduction process;"
Injured / Non-injured,P97315,P97315,1.228812328,1.228812328,3.66E-11,4.68E-10,16,P97315,Csrp1,Cysteine and glycine-rich protein 1,CSRP1_MOUSE,7,134.3739663,2.343739663,Injured,Non-injured,"nucleus,nucleoplasm,focal adhesion,actin cytoskeleton,extracellular exosome","RNA binding,protein binding,metal ion binding","response to metal ion,actin cytoskeleton organization,platelet aggregation"
