PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
A0A023T672;Q9CWZ3;Q9CWZ3-2,9.493627548,5.324326992,6.447982788,9.719011307,6.663455963,7.366161823,2.806374073,Filtered
A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,9.891663551,2.342843533,13.75368118,4.969698429,9.030175209,9.794355392,6.466436386,Filtered
A0A075B5N4;A0A0G2JF28;A0A140T8M3;A0A140T8P7,21.02416611,7.693648338,5.211335182,115.5587006,10.56170082,23.36657333,8.592469215,Filtered
A0A075B5P2;P01837,14.01507568,3.828045368,6.738384724,67.28937531,11.56260681,18.19416428,1.221005797,Filtered
A0A075B5P3,25.70025826,14.62640572,16.8968029,128.5915985,31.25358582,31.45733452,9.050480843,Filtered
A0A075B5P4;A0A0A6YWR2,15.48869514,44.44662094,21.00863266,300.4258423,13.16110516,20.61942673,5.453177929,Filtered
A0A075B5P5;P03987;P03987-2,59.37922668,87.20362854,13.58884907,142.5682068,24.84127617,27.817976,11.50113487,Filtered
A0A075B5P6;A0A075B6A0,151.14711,87.46284485,57.95792389,717.1408081,113.286087,84.46322632,62.90224075,Filtered
A0A075B5V1;A0A075B5V6;P06330,4.811222076,2.270090818,3.389809608,32.22061157,4.266319275,7.436722755,1.186585665,Filtered
A0A087WNM1;Q91Z67,8.16699791,3.398664474,12.59748077,27.4245224,6.748196125,9.656906128,12.72021484,Filtered
A0A087WNN8;Q61263,9.690893173,17.43682289,2.472587109,50.67442703,8.65955925,9.527151108,15.63983345,Filtered
A0A087WNP6;Q4VAA2;Q4VAA2-2,29.37708282,59.97727585,32.10426712,54.39278412,29.71429634,38.65699768,34.22302628,Filtered
A0A087WNT1;A0A087WQE6;P83940,8.53427887,9.046349525,11.45544338,10.94481659,11.00287628,9.988444328,9.012025833,Filtered
A0A087WNU1;A0A087WPM0;Q3UQA7,Filtered,2.101387262,2.281093359,4.071958065,Filtered,NaN,Filtered,Filtered
A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,14.75491047,4.10558033,10.71071339,14.81288147,8.524456024,18.05486488,9.349058151,Filtered
A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1,2.324350357,2.10981679,3.894744873,6.939129353,5.760311127,10.13892651,6.949843407,Filtered
A0A087WNZ5;A0A087WRP7;P0CW02,70.10553741,42.37586212,56.91492081,39.44195557,32.29294205,55.40225983,45.10218048,Filtered
A0A087WP14;A0A087WP85;A0A087WPX0;A0A087WQQ5;A0A087WS29;F8VQC7,6.540201664,8.510677338,7.884639263,14.3941555,12.48304939,10.69985962,4.78497982,Filtered
A0A087WPH5;Q8VC60,40.31274414,21.86897087,20.60876465,12.30965519,24.4270668,9.192976952,14.47311306,Filtered
A0A087WPL5;E9QNN1,82.18586731,155.7223358,67.82717896,148.6418152,75.26543427,144.9059601,66.1129837,220302
A0A087WPT7;Q6P549,Filtered,2.956269979,Filtered,1.865165114,2.17036891,0.821400046,Filtered,Filtered
A0A087WQ89,24.90478706,13.15632534,20.68877029,Filtered,27.30408669,25.17561913,19.85888672,Filtered
A0A087WQA0;F8WI22;Q8K019;Q8K019-2;Q8K019-3,4.891718388,16.17347908,4.243695736,9.894412041,4.177031517,7.904230118,10.14193153,Filtered
A0A087WQH8,8.556800842,4.448387623,12.15739536,6.442227364,5.706214428,8.017938614,11.45570278,Filtered
A0A087WQS0,51.76464081,101.0048065,57.94769669,31.89422989,50.26839828,77.37479401,54.43432236,Filtered
A0A087WQS2;Q9CQC6,41.32320786,190.3247223,38.19578171,87.10053253,46.3544693,84.31109619,39.18400574,Filtered
A0A087WQT6;O89110,7.405887604,14.09723282,10.55158806,20.21563339,3.819262505,13.38153744,6.460123062,Filtered
A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,Filtered,106.7122421,42.10448837,6.243742466,Filtered,15.45521641,Filtered,Filtered
A0A087WRE7;Q8R0N6,43.59066391,20.18985939,40.05860138,9.004393578,44.2864418,15.68205261,40.82600021,Filtered
A0A087WRM8;A0A087WSS1;E9QM90;G3X9J4;Q148V7;Q148V7-2,5.245268822,4.502060413,3.35491395,3.02367425,1.599456668,3.885633945,3.091263056,Filtered
A0A087WS54;Q8R0F6;Q8R0F6-2,3.559515953,Filtered,Filtered,10.82584286,2.517424583,8.168274879,1.32187283,Filtered
A0A087WS96;Q8BG73,17.46856499,2.004805088,18.39496613,6.000382423,15.28852558,8.24168396,10.92434216,Filtered
A0A087WSN6,64.5345993,99.74645233,42.62550354,1082.893677,36.50048447,196.6345215,84.13040161,Filtered
A0A087WSN7;P49138,6.054888725,16.1333046,5.002426624,13.09398937,7.8170681,29.43027878,13.77045155,Filtered
A0A087WSP5;P42225;Q8C3V4,9.498030663,15.14646244,11.5995121,25.83817673,12.5144186,29.43398094,11.61233711,Filtered
A0A0A0MQ68;Q60759,385.0220947,218.4050446,398.721405,133.4588928,403.9156799,154.8235474,346.274231,Filtered
A0A0A0MQ70;Q5SWT3,18.60399246,4.267747402,23.11821556,2.338372231,16.49906921,3.662564754,13.32688904,Filtered
A0A0A0MQ79;Q3TLH4;Q3TLH4-5;S4R294;S4R2J9,1.459210038,3.076472044,Filtered,6.159846783,3.350901365,3.516237974,2.950767517,Filtered
A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,Filtered,216.5330658,8.408922195,43.555233,9.849056244,143.5123596,1.621785998,Filtered
A0A0A0MQ90;P97352,25.32491493,37.65791321,15.73961449,51.25280762,14.4669075,38.07647324,24.65525246,Filtered
A0A0A0MQ97;G3X9C2,106.7629318,4.017823219,82.82176208,23.25523758,86.73908997,6.867162228,48.38917923,Filtered
A0A0A0MQA5;P68368,1013.95282,1399.533936,1114.828613,1370.537842,1071.203125,1093.679077,999.8779907,984.1373901
A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,52.97141266,58.98312759,76.59626007,4.372654915,53.4420166,39.35985184,38.91699219,Filtered
A0A0A0MQE0;A0A0A0MQM6;A0A0R4J1Z4;E9Q6Z8;F8VQL7;H3BJT4;H3BKB7;I1E4X2;P25425;P25425-10;P25425-11;P25425-12;P25425-2;P25425-3;P25425-4;P25425-5;P25425-6;P25425-7;P25425-8;P25425-9;P31362;Q00196;Q00196-2;Q00196-3;Q00196-4;Q00196-5;Q00196-6;Q00196-7;Q3U5D1,Filtered,NaN,Filtered,4.304049492,NaN,6.776736259,3.527556658,Filtered
A0A0A0MQM0;P63242,342.5867615,299.505249,314.8551331,466.725708,352.6002502,443.3256836,322.4002075,Filtered
A0A0A0MQN8;H3BIX4;P97300;P97300-1;P97300-3;Z4YLB7,26.86530685,24.82534027,27.46663284,39.6399498,19.43704224,29.80051422,21.41858482,Filtered
A0A0A6YVR9;P09925,8.758790016,4.955742359,7.551115513,6.864962578,6.915328979,9.147524834,8.036170959,Filtered
A0A0A6YVS2;Q921L3,62.76438141,61.87892532,46.39899826,56.04204178,40.39918518,37.18018341,32.05146408,Filtered
A0A0A6YVU8;Q9JKV1,24.0745945,41.7600975,27.03113556,48.21303177,33.5256424,50.96850967,33.70612335,Filtered
A0A0A6YW06;A0A0A6YXC8;E9QKQ9;E9QKR1;E9QLZ9;J3QNM3;Q03173;Q03173-3;Q03173-4;Q03173-5;Q03173-6,32.04437256,10.27077198,12.92965794,4.000213623,10.17952633,2.327527046,21.57488441,Filtered
A0A0A6YW28;P35123,6.455985546,7.554656982,6.755505562,13.00600719,6.95190382,9.241357803,7.451562881,Filtered
A0A0A6YWH2;Q9EQX4,33.34252548,75.18641663,32.6337471,17.43752861,35.9087677,28.21564865,11.7137785,Filtered
A0A0A6YX18;Q8BVE3,173.9276886,97.09075165,197.9529877,91.51598358,194.663208,113.2545929,182.1486511,Filtered
A0A0A6YX50;P51175,28.97785378,18.55889702,18.15065765,19.71729469,14.14787388,12.97635651,18.98109627,Filtered
A0A0A6YX73;Q8K1M3,37.82967377,58.19668198,35.88051987,24.50388527,41.73590469,50.31507874,37.45452499,Filtered
A0A0A6YXH3;A2A8Z1;A2A8Z1-2;E9PXZ2;E9Q6C1;F6UHR6;Q5FWX7,12.43472672,5.121963501,11.74701405,10.91564178,11.52514839,9.93598175,9.100399017,Filtered
A0A0A6YXL6;E9Q3Y4,29.59265518,31.59737587,34.36962128,19.62762451,39.70460129,24.33857155,34.44387054,Filtered
A0A0A6YY47;E9Q589;P13595;P13595-2;P13595-3,Filtered,11.03658772,Filtered,19.12463379,0.864324272,11.25677013,Filtered,Filtered
A0A0A6YY53;F6TQW2,Filtered,NaN,Filtered,4.477295399,NaN,1.45289731,1.516139984,Filtered
A0A0B4J1E2;Q9CSN1,7.088931084,10.34418774,8.340964317,9.380417824,8.516921997,10.6437788,5.586080551,Filtered
A0A0G2JDH9;A0A0G2JE50;A0A0R4J0B0;G3X9J8;G5E8G5;O54990;O54990-2;O54990-3;O54990-4;O54990-5;O54990-6;Q8CDK8;Q8R056,8.080800056,23.09181595,7.288705826,14.36927509,10.11859512,12.11871529,7.01859808,Filtered
A0A0G2JDV6;A0A0H2UH17;Q80X50;Q80X50-2;Q80X50-3;Q80X50-4;Q80X50-5,9.929836273,5.458310604,10.95442009,21.29067612,7.692055702,23.24635506,10.05480862,Filtered
A0A0G2JDW7;Q6ZWU9,35.04114532,23.88869476,20.9687233,44.52208328,20.53917885,33.85914993,17.50545883,Filtered
A0A0G2JDZ9;E9Q804;E9QKG6;Q99NH0;Q99NH0-2;Q99NH0-3,Filtered,1.032810211,Filtered,Filtered,2.035135508,1.802964449,2.29782033,Filtered
A0A0G2JE32;A0A0G2JGL0;P61079;P62838,70.20903778,100.1953735,59.32100296,129.7969513,67.9023819,104.0905304,73.03264618,Filtered
A0A0G2JE99;P01843,NaN,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered
A0A0G2JEA5;Q920E5,NaN,1.744508028,1,0.681947112,NaN,NaN,NaN,Filtered
A0A0G2JEC4;Q9JK48;Q9JK48-2,12.94312477,32.72420502,12.62956619,22.30764771,8.615026474,25.69910812,9.049437523,Filtered
A0A0G2JEK2;P63254,60.10122299,48.33563232,29.68346786,174.5557556,44.46762466,84.36607361,78.77061462,Filtered
A0A0G2JEP0;Q61584;Q61584-2;Q61584-3;Q61584-4;Q61584-5;Q61584-6;Q61584-7,19.40184975,22.43680382,17.9449234,27.44521141,23.40018654,26.49884987,18.04615974,Filtered
A0A0G2JEP4;A0A0G2JFV5;A0A0R4J169;E9QN52;Q91WK0;Q91WK0-2,NaN,8.53489399,5.826652527,8.31143856,5.351821423,4.777840614,2.638576269,Filtered
A0A0G2JER9;O54946;O54946-2,15.94787979,10.2323885,Filtered,4.38591671,2.022829771,9.848485947,2.352464676,Filtered
A0A0G2JFJ6;Q7TPD0,NaN,0.669251978,Filtered,1.809669375,NaN,1,NaN,Filtered
A0A0G2JFT8;Q9D394-2,22.86122131,20.91448975,28.1509552,13.83172989,26.458395,13.19542408,22.96881104,Filtered
A0A0G2JGD2;P07091,70.22540283,28.45590973,14.77388382,244.1397705,25.19437981,45.67633438,132.433197,Filtered
A0A0G2JGI9;F8VPN4,6.911699295,2.553799868,6.631215572,9.674081802,4.232900143,2.226234674,4.529101372,Filtered
A0A0G2JGL8;Q99PU8;Q99PU8-2;Q99PU8-3,4.846114635,2.967814922,2.332256317,5.790975094,3.381121159,2.498031378,7.213586807,Filtered
A0A0G2JGQ4;P54729,NaN,5.233703613,3.519569159,3.74428153,1.140179634,4.08997488,3.691168547,Filtered
A0A0G2JGQ6;Q80VB6;Q9JLM8;Q9JLM8-2,16.53287315,6.806776524,Filtered,20.79265976,Filtered,16.57173729,9.604151726,Filtered
A0A0G2JGS4;E9Q1T1;E9Q1V9;E9Q1W0;Q6PHZ2;Q6PHZ2-2;Q6PHZ2-4;Q6PHZ2-5,9.442671776,12.72149467,14.60594177,29.03140068,10.89034271,32.20221329,14.92931843,Filtered
A0A0G2JGT5;P63073,54.56609344,100.4313354,48.68586349,57.73038101,33.76582336,48.7792778,34.62979889,Filtered
A0A0G2JGW9;Q3TUE1,25.5570507,91.27522278,28.61192322,55.13944244,27.20256615,48.81164932,30.51894379,Filtered
A0A0G2JGX4;Q6PIC6;Q8VCE0,209.2881622,154.8174133,191.3530273,129.5833588,104.9325562,41.21422195,95.42559052,Filtered
A0A0J9YTS4;D3YXN7;Q8BJU2,7.118343353,1.210026026,9.163713455,5.509141922,5.498875141,4.992211819,5.373922348,Filtered
A0A0J9YTY0;A0A0J9YUL3;Q8C1B7;Q8C1B7-2;Q8C1B7-3,46.45747757,197.9005585,44.87590408,158.9539948,57.83597946,125.781662,54.86601257,Filtered
A0A0J9YU62;A0A0J9YUM4;O88712;O88712-2,17.9616909,25.50294876,18.86940575,36.95748138,20.03578186,35.32434464,15.06741333,Filtered
A0A0J9YU79,453.392334,198.2634583,547.1827393,33.09315109,447.2217407,236.2606049,479.7490845,Filtered
A0A0J9YUD5;B9EJ54,35.40960312,44.08737564,51.6016922,82.43565369,65.55351257,43.74214935,63.16790009,Filtered
A0A0J9YUZ4;P63158,184.4533539,345.5305786,186.7572174,348.2599487,197.7063599,347.8288574,204.8931427,Filtered
A0A0J9YV90;Q8BHJ5,14.88563728,18.85017395,9.584318161,13.31447315,8.825304985,3.975740433,6.810361862,Filtered
A0A0J9YVE6;A0A0J9YVJ0;B5THE2,6.309641838,2.226488829,12.07400703,8.10360527,9.258369446,2.944112539,5.604473114,Filtered
A0A0M3HEP9;A0A0M3HEQ0;A0A0U1RPC6;A0A0U1RPV8;A0A0U1RQA4;J3QMN4;J3QMQ8;Q9JLT4;Q9JLT4-2;Q9JLT4-3;Q9JLT4-4,28.19254684,14.05892563,19.05544853,18.33666229,13.47399902,16.30529785,17.63121796,Filtered
A0A0N4SUH8;Q9QZ23,76.61103058,54.99208069,54.50734329,42.96479416,67.81002808,57.31538773,56.22007751,Filtered
A0A0N4SUJ2;A0A0N4SUN3;A0A0N4SVX9;E9PXU9;Q9ESD7-2;Q9ESD7-3,11.27472401,10.85590076,13.6434927,16.90572548,8.185807228,15.75020695,11.01026821,Filtered
A0A0N4SV05;A0A0N4SVH3;A0A0R4J0U2;Q0VGB7,3.656397343,7.240982533,7.116891384,3.595513582,2.576549768,3.65295887,5.734483242,Filtered
A0A0N4SV66;P22752;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,298.209137,131.036026,170.9971161,791.713501,176.0980072,644.7409058,473.1586609,Filtered
A0A0N4SVA6;P70295;Q3U3K9,1.668725133,NaN,6.407566071,1.531811118,Filtered,16.91109467,3.480909348,Filtered
A0A0N4SVB8;Q9CQW2,57.08537674,167.4048309,56.60728455,87.19400787,60.8715477,63.30067825,52.87095642,Filtered
A0A0N4SVC2;E9QP00;Q6PFR5,11.43889904,9.583772659,5.876197815,24.61586189,2.593014479,21.29434967,6.893002033,Filtered
A0A0N4SVL0;A0A0R4J112;A2AMI2;Q80XI3;Q80XI3-2;Q80XI3-3;Q80XI3-4;Z4YKC4,9.074255943,3.355969906,6.223795891,7.408687115,6.178920269,5.974984646,5.506197453,Filtered
A0A0N4SVL9;Q9CQR6,18.48921013,10.45205212,15.07684326,34.50171661,9.426978111,17.34903717,10.83281994,Filtered
A0A0N4SVQ1;Q62425,1295.411011,343.81427,1018.382874,398.6851196,792.3620605,481.8069763,961.953064,799.7564697
