PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
A0A023T672;A0A0G2JEA9;A0A0G2JFX7;Q9CWZ3;Q9CWZ3-2,10.08456707,4.069344521,5.824515343,17.70090675,8.738887787,16.85592079,5.320631981,Filtered
A0A075B5P2;P01837,12.92472172,15.50653934,5.313984871,53.91675949,7.567374229,16.45371819,2.844300032,Filtered
A0A075B5P3,18.02138138,13.5411253,12.8072567,110.5607605,26.38997459,35.81365585,7.207229137,Filtered
A0A075B5P5;P03987;P03987-2,42.9811821,23.70540428,5.852281094,102.9424133,10.66590881,19.50572014,8.588619232,Filtered
A0A075B5P6;A0A075B6A0,123.7055969,78.07953644,45.30498123,607.803894,94.86752319,68.59643555,56.37158966,Filtered
A0A075B5V1;A0A075B5V6;P06330,1.465672612,2.229840279,3.762650251,31.10443115,7.957052708,7.233948708,Filtered,Filtered
A0A087WNP6;Q4VAA2;Q4VAA2-2,11.0399971,29.29159927,12.3266983,25.2657814,13.16421127,15.36310196,11.69776058,Filtered
A0A087WNT1;A0A087WPE4;A0A087WQE6;P83940,74.31632233,18.07721329,73.66656494,72.29667664,83.94835663,90.14035797,68.63461304,Filtered
A0A087WNZ5;A0A087WRP7;P0CW02,26.50466156,30.98040962,29.43773079,29.33541489,23.73531723,30.4762764,25.43401527,Filtered
A0A087WP81;Q9WUP7;Q9WUP7-2,15.70825291,16.71212578,11.36467266,17.76294518,11.46474838,14.37561607,5.496514797,Filtered
