Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
RBM8,RNA-binding protein 8A,A0A023T672,,,,1.10E-17,3,3,1,4,3,3,4,3,3,3,1,4,3,3,4,3,6.992893219,19.10949898,4.920039654,6.920048237,6.192250729,4.49668932,10.51860523,9.565750122
Magohb;Magoh;Magohb,Mago nashi protein;Protein mago nashi homolog;Protein mago nashi homolog 2,A0A023T778;P61327;Q9CQL1,";nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome",";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",;RNA binding;RNA binding,4.55E-19,2,5,4,7,3,3,6,5,2,5,4,7,3,3,6,5,31.12151909,54.08979034,39.04425049,98.98506165,34.24428177,45.02509308,62.89915848,58.30712891
Cask,Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK,A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",3.49E-16,6,6,9,5,8,7,5,7,6,6,9,5,8,7,5,7,29.77336121,19.50299835,20.90774727,18.51691246,23.09979248,20.98485184,21.98582649,13.48824692
Igkv8-27,Protein Igkv8-27;Protein Igkv8-27 (Fragment),A0A075B5N4;A0A0G2JF28,;extracellular space,";immunoglobulin production,immune response",;,6.62E-25,2,2,2,3,1,3,2,2,2,2,2,3,1,3,2,2,63.29529953,30.79743576,10.43687153,221.3865967,8.740701675,18.38174629,15.84755611,36.01921844
Igkv6-13,Protein Igkv6-13,A0A075B5N7,,,,1.83E-21,2,3,Filtered,3,3,1,3,3,2,3,Filtered,3,3,1,3,3,19.90554047,33.49545288,Filtered,51.31040955,21.87065506,8.904834747,12.33035564,28.01199913
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",6.44E-31,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,31.61577797,22.70166779,9.212756157,162.7524719,21.93009949,13.12746811,6.164828777,27.03556061
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,,,,5.81E-34,4,3,2,4,3,2,3,4,4,3,2,4,3,2,3,4,30.58761597,23.51382637,11.98467731,105.4027863,25.93780327,4.374184132,12.77674007,32.8551445
Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4;A0A0A6YWR2,;,;,;,1.06E-29,3,3,4,8,3,3,5,4,3,3,4,8,3,3,5,4,41.55915833,49.86751175,104.1778717,1017.378479,34.41594696,25.00955963,30.39262009,41.84098816
Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",4.76E-27,4,5,2,5,3,4,2,4,4,5,2,5,3,4,2,4,173.5934753,100.2096329,13.69423294,328.5962524,58.31803513,58.85044098,22.66488838,54.78619003
Ighm,Ig mu chain C region (Fragment),A0A075B5P6,,,,5.31E-54,23,19,19,25,21,18,20,19,23,19,19,25,21,18,20,19,562.8874512,217.9259186,186.3382568,2617.023438,392.5528564,205.1650085,152.5195465,242.0353088
Ighv1-43,Protein Ighv1-43,A0A075B5V7,,,,1.82E-05,Filtered,1,Filtered,2,1,1,Filtered,1,Filtered,0,Filtered,2,1,0,Filtered,1,Filtered,NaN,Filtered,5.367715359,0.669109821,NaN,Filtered,2.00423789
Srgap2,SLIT-ROBO Rho GTPase-activating protein 2,A0A087WNM1;Q91Z67,";nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",";lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";GTPase activator activity,protein homodimerization activity,Rac GTPase binding",2.34E-10,2,1,1,1,1,1,3,2,2,0,1,1,1,0,3,2,1.246413827,NaN,1.443348169,4.383527279,2.719118357,NaN,3.661833048,3.748541355
Soat1,Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8;Q61263,";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",9.03E-38,Filtered,2,2,2,Filtered,2,2,2,Filtered,2,2,2,Filtered,2,2,2,Filtered,42.84158325,4.024449348,51.45690918,Filtered,5.04213047,28.87495232,15.78808403
Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,6.20E-26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.79647827,112.9553833,86.27531433,107.760849,68.3522644,83.85909271,109.1913757,119.7296906
Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",1.96E-30,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,28.34190559,36.13167191,27.80639076,25.58277893,25.58899117,19.85909843,38.71355438,26.69835091
Agfg1,Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;",";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;",";;;DNA binding,GTPase activator activity,metal ion binding;;",3.39E-20,6,7,5,5,5,6,7,7,6,7,5,5,5,6,7,7,30.16617966,25.11569977,13.82871819,23.63439369,16.40341949,22.36351013,18.07110023,20.96811676
