PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
RBM8,RNA-binding protein 8A,A0A023T672,A0A023T672_MOUSE,,,,1.74E-08,3,3,1,4,2,3,2,Filtered,3,3,1,4,2,3,2,Filtered,1.882847548,4.752064228,1.23231566,4.12655592,5.014042854,3.097845793,1.247137785,Filtered
Magohb;Magoh;Magohb,Mago nashi protein;Protein mago nashi homolog;Protein mago nashi homolog 2,A0A023T778;P61327;Q9CQL1,A0A023T778_MOUSE;MGN_MOUSE;MGN2_MOUSE,";nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome",";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",;RNA binding;RNA binding,8.23E-08,3,4,3,5,4,6,3,Filtered,3,4,3,5,4,6,3,Filtered,22.20680237,8.337704659,15.00935936,30.92778397,12.39141369,25.76676941,13.56988049,Filtered
Cask,Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK,A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE,";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",2.59E-11,6,6,4,6,5,5,5,Filtered,6,6,4,6,5,5,5,Filtered,27.55983925,14.23116207,26.80739021,16.64137268,25.69702911,15.36268616,19.29180717,Filtered
Igkv8-27,Protein Igkv8-27;Protein Igkv8-27 (Fragment),A0A075B5N4;A0A0G2JF28,A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE,;extracellular space,";immunoglobulin production,immune response",;,3.36E-07,2,2,1,3,2,3,1,Filtered,2,2,1,3,2,3,1,Filtered,23.68460083,9.261851311,6.459160328,111.1769333,10.11779594,26.83140373,8.031707764,Filtered
Igkv6-13,Protein Igkv6-13,A0A075B5N7,A0A075B5N7_MOUSE,,,,4.11E-05,3,2,1,2,2,3,Filtered,Filtered,3,2,1,2,2,3,Filtered,Filtered,9.366714478,3.762362957,1.71036768,25.63107109,10.52449894,11.54352093,Filtered,Filtered
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",5.97E-11,2,2,2,3,4,3,1,Filtered,2,2,2,3,4,3,1,Filtered,23.31585884,25.27043724,8.148508072,117.0657883,10.62496567,18.02711105,9.868448257,Filtered
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,1.29E-16,4,3,1,5,4,3,1,Filtered,4,3,1,5,4,3,1,Filtered,15.87424183,11.64448547,8.747066498,83.64450073,14.99797153,31.23551369,5.786972046,Filtered
Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4;A0A0A6YWR2,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,;,;,;,2.99E-13,3,3,2,8,2,3,2,Filtered,3,3,2,8,2,3,2,Filtered,12.94521236,24.13329315,26.92856026,339.500885,13.05815697,22.63059616,6.430680275,Filtered
Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",0.000292195,3,4,Filtered,4,Filtered,3,Filtered,Filtered,3,4,Filtered,4,Filtered,3,Filtered,Filtered,24.51761055,21.75288773,Filtered,22.42198753,Filtered,8.575040817,Filtered,Filtered
Ighm,Ig mu chain C region (Fragment),A0A075B5P6,A0A075B5P6_MOUSE,,,,4.17E-14,18,16,14,25,16,17,15,Filtered,18,16,14,25,16,17,15,Filtered,122.3076782,82.97718048,50.08670044,546.8296509,93.59770203,62.83600235,54.21772003,Filtered
