PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",8.63E-27,3,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,15.19126415,15.0847559,7.905699253,15.10778904,5.342751503,10.61516476,69.82652283,14.31967735
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,1.27E-31,3,2,3,3,2,3,3,2,3,2,3,3,2,3,3,2,24.23116493,56.35069656,12.11600113,57.19639587,19.76279831,19.1726265,155.1498566,32.06124496
Ighm,Ig mu chain C region (Fragment);Ig mu chain C region (Fragment);Ig mu chain C region;Isoform 2 of Ig mu chain C region,A0A075B5P6;A0A075B6A0;P01872;P01872-2,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,";;extracellular space,cytosol,plasma membrane,external side of plasma membrane,cell surface,membrane,integral component of membrane,B cell receptor complex,immunoglobulin complex, circulating,perinuclear region of cytoplasm,blood microparticle;",";;activation of MAPK activity,B cell affinity maturation,humoral immune response mediated by circulating immunoglobulin,regulation of immunoglobulin production,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antigen processing and presentation,regulation of cell morphogenesis,positive regulation of B cell proliferation,positive regulation of MAPK cascade,early endosome to late endosome transport,innate immune response,positive regulation of endocytosis,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of immune response,defense response to Gram-negative bacterium,B cell receptor signaling pathway,positive regulation of B cell activation;",";;antigen binding,transmembrane signaling receptor activity,protein binding,immunoglobulin receptor binding,identical protein binding;",3.82E-49,13,13,14,12,13,12,14,13,13,13,14,12,13,12,14,13,192.6775665,93.11521149,66.67324829,102.9451904,88.69017792,65.15211487,1005.349976,148.826416
Bzw1,Basic leucine zipper and W2 domain-containing protein 1 (Fragment);Basic leucine zipper and W2 domain-containing protein 1;Basic leucine zipper and W2 domain-containing protein 1,A0A087WPF9;A0A087WQS2;Q9CQC6,A0A087WPF9_MOUSE;A0A087WQS2_MOUSE;BZW1_MOUSE,";;cytoplasm,membrane",";;transcription, DNA-templated,regulation of transcription, DNA-templated",";;RNA binding,cadherin binding",1.21E-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30.70726013,67.81803131,25.66708946,65.73638916,15.72063255,67.79747772,52.61301804,19.05698776
Dhx9,ATP-dependent RNA helicase A,A0A087WPL5;E9QNN1,A0A087WPL5_MOUSE;E9QNN1_MOUSE,;,;,;,1.77E-50,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,12,102.6583328,267.9659119,113.8253326,237.6320343,107.153038,357.9431152,262.0568542,114.9938583
Nop58,Nucleolar protein 58 (Fragment);Nucleolar protein 58,A0A087WQ46;Q6DFW4,A0A087WQ46_MOUSE;NOP58_MOUSE,";fibrillar center,nucleus,nucleolus,small nucleolar ribonucleoprotein complex,cytosol,Cajal body,membrane,box C/D snoRNP complex,small-subunit processome,pre-snoRNP complex",";rRNA modification,snoRNA localization",";TFIID-class transcription factor binding,RNA binding,snoRNA binding,ATPase binding",1.60E-39,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,29.30823326,21.03391075,15.76887512,30.89704323,21.29158401,36.98126602,27.42704391,13.13557148
Tns1,Protein Tns1,A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6,A0A087WQM0_MOUSE;A0A087WQS0_MOUSE;A0A1D5RM59_MOUSE;E9Q0S6_MOUSE,";;;intracellular,focal adhesion,cell-substrate junction",";;;cell-substrate junction assembly,fibroblast migration,intracellular signal transduction",";;;RNA binding,actin binding",2.36E-56,17,17,16,16,16,17,15,16,17,17,16,16,16,17,15,16,82.90907288,124.1440201,88.64176941,130.6574707,85.91376495,127.3102341,37.40195084,70.51889801
Ctsh,Pro-cathepsin H (Fragment);Pro-cathepsin H,A0A087WR20;P49935,A0A087WR20_MOUSE;CATH_MOUSE,";extracellular space,lysosome,cytosol,cytoplasmic ribonucleoprotein granule,intracellular membrane-bounded organelle,extracellular exosome,alveolar lamellar body",";metanephros development,T cell mediated cytotoxicity,immune response-regulating signaling pathway,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of cell proliferation,positive regulation of gene expression,positive regulation of epithelial cell migration,neuropeptide catabolic process,bradykinin catabolic process,positive regulation of peptidase activity,positive regulation of cell migration,zymogen activation,protein destabilization,response to retinoic acid,membrane protein proteolysis,negative regulation of apoptotic process,surfactant homeostasis,positive regulation of angiogenesis,proteolysis involved in cellular protein catabolic process,dichotomous subdivision of terminal units involved in lung branching,ERK1 and ERK2 cascade,cellular response to thyroid hormone stimulus,positive regulation of apoptotic signaling pathway",";endopeptidase activity,aminopeptidase activity,cysteine-type endopeptidase activity,serine-type endopeptidase activity,peptidase activity,cysteine-type peptidase activity,cysteine-type endopeptidase activator activity involved in apoptotic process,peptidase activator activity involved in apoptotic process,HLA-A specific activating MHC class I receptor activity,thyroid hormone binding",4.08E-42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,56.11639404,66.61461639,57.96214676,54.91427231,49.69979858,68.21401978,29.39917946,47.03290558
Fn1,Fibronectin,A0A087WR50;P11276,A0A087WR50_MOUSE;FINC_MOUSE,";fibrinogen complex,proteinaceous extracellular matrix,basement membrane,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,extracellular exosome,blood microparticle",";angiogenesis,regulation of protein phosphorylation,acute-phase response,cell-substrate junction assembly,cell adhesion,cell-matrix adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,interaction with symbiont,interaction with other organism via secreted substance involved in symbiotic interaction,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion",";protease binding,receptor binding,integrin binding,protein binding,protein C-terminus binding,heparin binding,peptidase activator activity,enzyme binding,identical protein binding,chaperone binding,disordered domain specific binding",3.30E-56,75,81,62,84,77,85,85,59,75,81,62,84,77,85,85,59,100.0912857,235.7969971,57.30779648,325.7347107,124.7242584,480.7332764,1830.793335,54.81097794
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",1.09E-71,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,42.48736572,21.57305145,42.98605347,19.2045784,38.81796646,6.220640182,8.465630531,52.01243973
Uchl5,"Ubiquitin carboxyl-terminal esterase L5, isoform CRA_a (Fragment);Ubiquitin carboxyl-terminal hydrolase isozyme L5;Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5",A0A087WRL3;Q9WUP7;Q9WUP7-2,A0A087WRL3_MOUSE;UCHL5_MOUSE;UCHL5_MOUSE,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,Ino80 complex,cytosolic proteasome complex;",";DNA repair,DNA recombination,transcription, DNA-templated,regulation of transcription, DNA-templated,ubiquitin-dependent protein catabolic process,negative regulation of endopeptidase activity,protein deubiquitination,lateral ventricle development,midbrain development,forebrain morphogenesis,regulation of proteasomal protein catabolic process;",";RNA binding,thiol-dependent ubiquitin-specific protease activity,endopeptidase inhibitor activity,proteasome binding;",1.17E-49,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,8.384290695,29.47769356,15.92943287,21.89525032,12.86634064,26.67826462,17.13363647,16.77092743
Col6a3,Protein Col6a3,A0A087WS16;E9PWQ3;J3QQ16,A0A087WS16_MOUSE;E9PWQ3_MOUSE;J3QQ16_MOUSE,";proteinaceous extracellular matrix,collagen trimer,extracellular space,extracellular matrix,sarcolemma,extracellular exosome,extracellular vesicle;",;negative regulation of endopeptidase activity;,;serine-type endopeptidase inhibitor activity;,1.59E-54,37,38,37,38,35,38,38,26,37,38,37,38,35,38,38,26,81.31465149,117.8973694,80.90436554,107.5669556,78.33511353,123.5893784,417.3745117,29.99125481
Eef1b2;Eef1b,Elongation factor 1-beta,A0A087WS46;O70251,A0A087WS46_MOUSE;EF1B_MOUSE,";cytoplasm,eukaryotic translation elongation factor 1 complex,endoplasmic reticulum",";translational elongation,response to ethanol",";translation elongation factor activity,protein binding",4.16E-50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,69.83747864,111.6431274,56.12123871,126.5847626,72.16151428,146.1549988,134.5708923,68.39328003
Sh3bgrl2,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96;Q8BG73,A0A087WS96_MOUSE;SH3L2_MOUSE,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",;biological_process,";protein binding,SH3 domain binding",1.45E-55,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30.41000748,40.29101944,25.06614494,24.84362984,19.50009155,27.19226837,17.13309097,24.44506264
Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68;Q60759,A0A0A0MQ68_MOUSE;GCDH_MOUSE,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",3.08E-48,13,13,13,13,13,13,12,13,13,13,13,13,13,13,12,13,479.5157471,275.8138733,507.4862366,241.5733337,449.1643066,161.4532318,187.4068146,567.9641724
Havcr1,Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE,";;cell surface,integral component of membrane;",;;positive regulation of mast cell activation;,";;phosphatidylserine binding,protein binding;",1.86E-57,2,8,Filtered,8,3,8,7,4,2,8,Filtered,8,3,8,7,4,3.316427231,20.16752052,Filtered,71.76869965,2.904550552,116.8929291,23.42600822,2.070017815
Nccrp1,F-box only protein 50,A0A0A0MQ97;G3X9C2,A0A0A0MQ97_MOUSE;FBX50_MOUSE,";cytoplasm,extracellular exosome",;positive regulation of cell proliferation,;molecular_function,1.45E-42,4,3,4,1,3,4,3,4,4,3,4,1,3,4,3,4,85.87059784,11.02661324,49.18315887,5.572762966,44.61753082,5.295294285,20.74692917,41.99449921
Serpina1a,Alpha-1-antitrypsin 1-1,A0A0A0MQA3;P07758,A0A0A0MQA3_MOUSE;A1AT1_MOUSE,";extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome",";protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone",";protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding",6.24E-50,19,19,20,20,19,20,21,19,19,19,20,20,19,20,21,19,1112.96228,872.7346191,952.2250366,1266.244263,1042.51001,1514.131836,10256.18555,1005.294556
Tuba4a,Tubulin alpha chain (Fragment);Tubulin alpha-4A chain,A0A0A0MQA5;P68368,A0A0A0MQA5_MOUSE;TBA4A_MOUSE,";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";cytoskeleton organization,microtubule-based process",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",3.43E-58,36,36,36,36,35,36,36,36,36,36,36,36,35,36,36,36,1627.084595,2315.005859,1626.824707,1869.858521,1415.470703,2511.143799,2394.082031,1703.64563
Mapt,Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau;Isoform Tau-A of Microtubule-associated protein tau;Isoform Tau-D of Microtubule-associated protein tau;Isoform Tau-E of Microtubule-associated protein tau,A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,A0A0A0MQC7_MOUSE;A2A5Y6_MOUSE;B1AQW2_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE,";;;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane;;;",";;;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus;;;",";;;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding;;;",1.25E-25,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,136.7288208,145.8344116,130.273407,139.7974701,122.3429871,124.1190186,111.3535995,111.0737686
