Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-Injured,Q91WT7,Q91WT7,-2.77683538,2.77683538,6.55E-14,2.32E-11,16,Q91WT7,Akr1c14,3-alpha-hydroxysteroid dehydrogenase type 1,Q91WT7_MOUSE,14,-85.40885889,0.145911411,Injured,Non-Injured,cellular_component,androsterone dehydrogenase activity,"hippocampus development,oxidation-reduction process"
Injured / Non-Injured,Q71RI9;Q71RI9-2,Q71RI9;Q71RI9-2,-2.342614647,2.342614647,1.79E-11,3.17E-09,16,Q71RI9;Q71RI9-2,Kyat3,Kynurenine--oxoglutarate transaminase 3;Isoform 2 of Kynurenine--oxoglutarate transaminase 3,KAT3_MOUSE,6,-80.28473028,0.197152697,Injured,Non-Injured,mitochondrion;,"RNA binding,kynurenine-oxoglutarate transaminase activity,pyridoxal phosphate binding,protein homodimerization activity,kynurenine-glyoxylate transaminase activity,cysteine-S-conjugate beta-lyase activity;","2-oxoglutarate metabolic process,cellular amino acid metabolic process,biosynthetic process,kynurenine metabolic process,L-kynurenine metabolic process;"
Injured / Non-Injured,Q99JW2,Q99JW2,-2.469765404,2.469765404,9.74E-11,1.15E-08,16,Q99JW2,Acy1,Aminoacylase-1,ACY1_MOUSE,16,-81.94794985,0.180520501,Injured,Non-Injured,"cytoplasm,extracellular exosome","aminoacylase activity,metallopeptidase activity,identical protein binding,metal ion binding","proteolysis,cellular amino acid metabolic process"
Injured / Non-Injured,Q9DC50,Q9DC50,-2.341478929,2.341478929,1.97E-10,1.75E-08,16,Q9DC50,Crot,Peroxisomal carnitine O-octanoyltransferase,OCTC_MOUSE,30,-80.26920392,0.197307961,Injured,Non-Injured,"mitochondrion,peroxisome,intracellular membrane-bounded organelle","receptor binding,carnitine O-octanoyltransferase activity","generation of precursor metabolites and energy,fatty acid metabolic process,fatty acid beta-oxidation,carnitine metabolic process,fatty acid transport,coenzyme A metabolic process,medium-chain fatty acid metabolic process"
Injured / Non-Injured,Q9DBE0,Q9DBE0,-2.407312518,2.407312518,2.68E-10,1.90E-08,16,Q9DBE0,Csad,Cysteine sulfinic acid decarboxylase,CSAD_MOUSE,12,-81.14933294,0.188506671,Injured,Non-Injured,cellular_component,"sulfinoalanine decarboxylase activity,carboxy-lyase activity,pyridoxal phosphate binding","L-cysteine catabolic process to taurine,taurine metabolic process,taurine biosynthetic process"
Injured / Non-Injured,Q80XN0,Q80XN0,-2.154190889,2.154190889,4.94E-10,2.92E-08,16,Q80XN0,Bdh1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",BDH_MOUSE,15,-77.53409459,0.224659054,Injured,Non-Injured,"nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,matrix side of mitochondrial inner membrane",3-hydroxybutyrate dehydrogenase activity,oxidation-reduction process
Injured / Non-Injured,Q3UNX5,Q3UNX5,-2.062700565,2.062700565,7.48E-10,3.31E-08,16,Q3UNX5,Acsm3,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",ACSM3_MOUSE,22,-76.06324593,0.239367541,Injured,Non-Injured,"mitochondrion,mitochondrial matrix","acyl-CoA ligase activity,fatty-acyl-CoA synthase activity,ATP binding,fatty acid ligase activity,metal ion binding,butyrate-CoA ligase activity","fatty acid biosynthetic process,fatty acid beta-oxidation,acyl-CoA metabolic process"
Injured / Non-Injured,Q9QXN5,Q9QXN5,-2.393470978,2.393470978,6.60E-10,3.31E-08,16,Q9QXN5,Miox,Inositol oxygenase,MIOX_MOUSE,6,-80.96760503,0.19032395,Injured,Non-Injured,"cytoplasm,inclusion body,extracellular exosome","aldo-keto reductase (NADP) activity,ferric iron binding,oxidoreductase activity,oxidoreductase activity, acting on NAD(P)H,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,inositol oxygenase activity","inositol catabolic process,oxidation-reduction process"
Injured / Non-Injured,Q60825;Q9D2V6,Q60825;Q9D2V6,-2.449276568,2.449276568,1.02E-09,4.01E-08,16,Q60825;Q9D2V6,Slc34a1,Sodium-dependent phosphate transport protein 2A,NPT2A_MOUSE;Q9D2V6_MOUSE,8,-81.68974953,0.183102505,Injured,Non-Injured,"cytoplasm,plasma membrane,brush border,integral component of membrane,basolateral plasma membrane,apical plasma membrane,vesicle;","sodium:phosphate symporter activity,protein binding,sodium-dependent phosphate transmembrane transporter activity;","phosphate ion transport,response to lead ion,cellular phosphate ion homeostasis,phosphate ion transmembrane transport,sodium ion transmembrane transport,sodium-dependent phosphate transport,response to cadmium ion,response to mercury ion,bone remodeling,phosphate ion homeostasis;"
Injured / Non-Injured,Q9QXD1,Q9QXD1,-2.052665122,2.052665122,1.18E-09,4.17E-08,16,Q9QXD1,Acox2,Peroxisomal acyl-coenzyme A oxidase 2,ACOX2_MOUSE,11,-75.89616048,0.241038395,Injured,Non-Injured,"mitochondrion,peroxisome,intracellular membrane-bounded organelle","acyl-CoA dehydrogenase activity,acyl-CoA oxidase activity,receptor binding,3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity,protein homodimerization activity,flavin adenine dinucleotide binding,FAD binding","positive regulation of cell death,fatty acid beta-oxidation using acyl-CoA dehydrogenase,fatty acid beta-oxidation using acyl-CoA oxidase,positive regulation of response to oxidative stress"
