"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"1","","","rbm8","","RNA-binding protein 8A","A0A023T672_MOUSE",4.34e-43,"A0A023T672",3,4,4,3,5,5,5,5,63.36673737,26.39681244,72.90931702,46.56872177
"2",";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",";nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome","magohb;magoh;magohb",";RNA binding;RNA binding","Mago nashi protein;Protein mago nashi homolog;Protein mago nashi homolog 2","A0A023T778_MOUSE;MGN_MOUSE;MGN2_MOUSE",1.82e-18,"A0A023T778;P61327;Q9CQL1",5,7,7,5,7,7,7,7,187.0379028,320.9343567,248.1172333,202.8690796
"3",";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;","cask",";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;","Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK","A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE",1.21e-20,"A0A067XG53;O70589;O70589-3;O70589-4;O70589-5",6,4,6,6,7,7,7,7,121.1643753,70.67912292,75.48658752,77.45050049
"4","","","igkv6-13","","Protein Igkv6-13","A0A075B5N7_MOUSE",7.76e-21,"A0A075B5N7",3,3,3,3,3,3,3,3,98.94135284,145.0491486,27.36318588,83.17932129
"5",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle","igkc;",";antigen binding,immunoglobulin receptor binding","Protein Igkc (Fragment);Ig kappa chain C region","A0A075B5P2_MOUSE;IGKC_MOUSE",8.38e-15,"A0A075B5P2;P01837",4,4,4,4,4,4,4,4,84.18406677,879.6086426,49.95313263,126.4975586
"6","","","ighg2b","","Protein Ighg2b (Fragment)","A0A075B5P3_MOUSE",2.08e-15,"A0A075B5P3",3,4,3,4,5,5,5,5,98.45510864,578.3704834,90.03807068,220.1133881
"7",";",";","ighg1",";","Ig gamma-1 chain C region secreted form (Fragment)","A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE",3.15e-21,"A0A075B5P4;A0A0A6YWR2",4,7,4,4,7,7,7,7,169.1212616,3641.818359,129.2142181,186.7359009
"8",";;",";extracellular region,plasma membrane,integral component of membrane;","ighg3;;",";antigen binding,immunoglobulin receptor binding;","Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region","A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE",3.12e-42,"A0A075B5P5;P03987;P03987-2",4,5,3,3,5,5,5,5,301.25177,1071.920288,134.8019409,203.6544189
"9","","","ighm","","Ig mu chain C region (Fragment)","A0A075B5P6_MOUSE",1.6e-33,"A0A075B5P6",18,25,20,19,9,9,9,9,1070.773193,10996.16406,733.3535156,979.7210083
"10",";;lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";;nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle","srgap2",";;GTPase activator activity,protein homodimerization activity,Rac GTPase binding","SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2 (Fragment);SLIT-ROBO Rho GTPase-activating protein 2","A0A087WNM1_MOUSE;A0A087WRV4_MOUSE;SRGP2_MOUSE",0.000529032,"A0A087WNM1;A0A087WRV4;Q91Z67",1,2,2,1,2,2,2,2,2.405052423,17.30180931,6.001986504,4.233034134
"11",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane","soat1",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity","Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1","A0A087WNN8_MOUSE;SOAT1_MOUSE",3.02e-41,"A0A087WNN8;Q61263",2,2,2,2,2,2,2,2,33.2098999,78.42874146,62.8345108,27.28969955
"12",";biological_process;",";cytoplasm,nucleus;","cdv3",";molecular_function;","Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3","A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE",3.78e-31,"A0A087WNP6;Q4VAA2;Q4VAA2-2",4,4,4,4,4,4,4,4,379.9425659,351.4897156,366.0438843,389.7449036
"13",";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;elongin complex","tceb1",";;protein binding,ubiquitin-protein transferase activity","Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1","A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE",5.73e-44,"A0A087WNT1;A0A087WQE6;P83940",5,5,5,5,5,5,5,5,237.815033,235.2024841,312.6824646,228.1620178
"14",";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;",";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;","agfg1",";;;DNA binding,GTPase activator activity,metal ion binding;;","Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1","A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE",4.6e-22,"A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3",7,5,6,7,7,7,7,7,96.41960144,65.56793976,104.4739761,91.66104126
"15",";;;;;;microtubule-based movement;;;;",";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;","ktn1",";;;;;;kinesin binding;;;;","Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin","A0A087WNW3_MOUSE;A0A087WQ25_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;F8VQC7_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE",1.87e-34,"A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9",7,7,8,5,7,7,7,7,41.42604446,38.48361206,50.73450851,25.95371246
