PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
RBM8;Rbm8a;Rbm8a,RNA-binding protein 8A;RNA-binding protein 8A;Isoform 2 of RNA-binding protein 8A,A0A023T672;Q9CWZ3;Q9CWZ3-2,A0A023T672_MOUSE;RBM8A_MOUSE;RBM8A_MOUSE,";nucleus,cytoplasm,nuclear speck,dendrite,exon-exon junction complex,neuronal cell body,catalytic step 2 spliceosome;",";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,RNA splicing,mRNA transport;",";RNA binding,mRNA binding;",3.831478784393906E-05,3,4,3,3,2,4,2,Filtered,3,4,3,3,2,4,2,Filtered,9.493627548217773,5.324326992034912,6.4479827880859375,9.719011306762695,6.663455963134766,7.366161823272705,2.8063740730285645,Filtered
Cask,Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK,A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE,";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",9.131138114186914E-18,3,2,3,2,3,3,3,Filtered,3,2,3,2,3,3,3,Filtered,9.891663551330566,2.342843532562256,13.753681182861328,4.969698429107666,9.03017520904541,9.794355392456055,6.466436386108398,Filtered
Igkv8-27;Igkv8-27;Igkv8-30;Igkv8-21,Protein Igkv8-27;Protein Igkv8-27 (Fragment);Protein Igkv8-30 (Fragment);Protein Igkv8-21 (Fragment),A0A075B5N4;A0A0G2JF28;A0A140T8M3;A0A140T8P7,A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE;A0A140T8M3_MOUSE;A0A140T8P7_MOUSE,;extracellular space;;,";immunoglobulin production,immune response;;",;;;,2.2902006747864883E-10,2,2,1,2,2,2,2,Filtered,2,2,1,2,2,2,2,Filtered,21.024166107177734,7.693648338317871,5.211335182189941,115.55870056152344,10.561700820922852,23.366573333740234,8.592469215393066,Filtered
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",2.4444197885003498E-18,3,5,2,5,4,4,2,Filtered,3,5,2,5,4,4,2,Filtered,14.01507568359375,3.82804536819458,6.73838472366333,67.28937530517578,11.562606811523438,18.194164276123047,1.2210057973861694,Filtered
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,3.135234689639061E-32,6,5,4,7,5,6,4,Filtered,6,5,4,7,5,6,4,Filtered,25.700258255004883,14.626405715942383,16.89680290222168,128.5915985107422,31.253585815429688,31.457334518432617,9.050480842590332,Filtered
Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4;A0A0A6YWR2,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,;,;,;,1.453896494166722E-20,6,5,6,8,2,4,5,Filtered,6,5,6,8,2,4,5,Filtered,15.48869514465332,44.44662094116211,21.00863265991211,300.42584228515625,13.161105155944824,20.619426727294922,5.4531779289245605,Filtered
Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",9.048794774973598E-11,5,5,4,6,4,5,5,Filtered,5,5,4,6,4,5,5,Filtered,59.37922668457031,87.20362854003906,13.588849067687988,142.56820678710938,24.841276168823242,27.817975997924805,11.501134872436523,Filtered
Ighm,Ig mu chain C region (Fragment),A0A075B5P6;A0A075B6A0,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE,;,;,;,2.4246111219860383E-28,19,18,15,21,18,17,15,Filtered,19,18,15,21,18,17,15,Filtered,151.14710998535156,87.46284484863281,57.957923889160156,717.1408081054688,113.28608703613281,84.46322631835938,62.90224075317383,Filtered
Ighv1-31;Ighv1-42;,Protein Ighv1-31;Protein Ighv1-42;Ig heavy chain V region AC38 205.12,A0A075B5V1;A0A075B5V6;P06330,A0A075B5V1_MOUSE;A0A075B5V6_MOUSE;HVM51_MOUSE,;;,;;,;;antigen binding,5.7704230893068856E-08,1,2,1,2,2,2,1,Filtered,1,2,1,2,2,2,1,Filtered,4.811222076416016,2.2700908184051514,3.3898096084594727,32.220611572265625,4.266319274902344,7.436722755432129,1.1865856647491455,Filtered
Srgap2,SLIT-ROBO Rho GTPase-activating protein 2,A0A087WNM1;Q91Z67,A0A087WNM1_MOUSE;SRGP2_MOUSE,";nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",";lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";GTPase activator activity,protein homodimerization activity,Rac GTPase binding",0.0005733325448490513,1,2,2,1,1,2,2,Filtered,1,2,2,1,1,2,2,Filtered,8.166997909545898,3.3986644744873047,12.597480773925781,27.424522399902344,6.748196125030518,9.656906127929688,12.72021484375,Filtered
