Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,P97823,P97823,-1.407930142,1.407930142,9.05E-11,2.80E-08,14,P97823,Lypla1,Acyl-protein thioesterase 1,LYPA1_MOUSE,9,-62.31480251,0.376851975,Injured,Non-injured,"mitochondrion,cytosol,extracellular exosome","palmitoyl-(protein) hydrolase activity,lipase activity,carboxylic ester hydrolase activity","protein depalmitoylation,fatty acid metabolic process,negative regulation of Golgi to plasma membrane protein transport"
Injured / Non-injured,Q99JW2,Q99JW2,-2.25197718,2.25197718,1.17E-10,2.80E-08,14,Q99JW2,Acy1,Aminoacylase-1,ACY1_MOUSE,19,-79.00638061,0.209936194,Injured,Non-injured,"cytoplasm,extracellular exosome","aminoacylase activity,metallopeptidase activity,identical protein binding,metal ion binding","proteolysis,cellular amino acid metabolic process"
Injured / Non-injured,Q99MR8,Q99MR8,-1.560234813,1.560234813,6.98E-11,2.80E-08,14,Q99MR8,Mccc1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCA_MOUSE,35,-66.09041139,0.339095886,Injured,Non-injured,"3-methylcrotonyl-CoA carboxylase complex, mitochondrial,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,methylcrotonoyl-CoA carboxylase complex","biotin carboxylase activity,ATP binding,metal ion binding,methylcrotonoyl-CoA carboxylase activity",leucine catabolic process
Injured / Non-injured,Q9QXN5,Q9QXN5,-2.171559506,2.171559506,1.71E-10,3.07E-08,14,Q9QXN5,Miox,Inositol oxygenase,MIOX_MOUSE,11,-77.80294024,0.221970598,Injured,Non-injured,"cytoplasm,inclusion body,extracellular exosome","aldo-keto reductase (NADP) activity,ferric iron binding,oxidoreductase activity,oxidoreductase activity, acting on NAD(P)H,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,inositol oxygenase activity","inositol catabolic process,oxidation-reduction process"
Injured / Non-injured,Q91WT7,Q91WT7,-2.265771487,2.265771487,2.82E-10,4.05E-08,14,Q91WT7,Akr1c14,3-alpha-hydroxysteroid dehydrogenase type 1,Q91WT7_MOUSE,19,-79.2061542,0.207938458,Injured,Non-injured,cellular_component,androsterone dehydrogenase activity,"hippocampus development,oxidation-reduction process"
Injured / Non-injured,Q99NB1,Q99NB1,-1.756950782,1.756950782,4.62E-10,5.53E-08,14,Q99NB1,Acss1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",ACS2L_MOUSE,26,-70.4127151,0.295872849,Injured,Non-injured,"mitochondrion,mitochondrial matrix","acetate-CoA ligase activity,ATP binding,AMP binding","acetyl-CoA biosynthetic process,acetate biosynthetic process,acetyl-CoA biosynthetic process from acetate,propionate biosynthetic process"
Injured / Non-injured,E9Q1D5;Q62219;Q62219-10;Q62219-2;Q62219-3;Q62219-4;Q62219-5;Q62219-7;Q62219-9,E9Q1D5;Q62219;Q62219-10;Q62219-2;Q62219-3;Q62219-4;Q62219-5;Q62219-7;Q62219-9,2.051927753,2.051927753,2.40E-09,1.90E-07,14,E9Q1D5;Q62219;Q62219-10;Q62219-2;Q62219-3;Q62219-4;Q62219-5;Q62219-7;Q62219-9,Tgfb1i1,Transforming growth factor beta-1-induced transcript 1 protein;Transforming growth factor beta-1-induced transcript 1 protein;Isoform 10 of Transforming growth factor beta-1-induced transcript 1 protein;Isoform 2 of Transforming growth factor beta-1-induced transcript 1 protein;Isoform 3 of Transforming growth factor beta-1-induced transcript 1 protein;Isoform 4 of Transforming growth factor beta-1-induced transcript 1 protein;Isoform 5 of Transforming growth factor beta-1-induced transcript 1 protein;Isoform 7 of Transforming growth factor beta-1-induced transcript 1 protein;Isoform 9 of Transforming growth factor beta-1-induced transcript 1 protein,E9Q1D5_MOUSE;TGFI1_MOUSE;TGFI1_MOUSE;TGFI1_MOUSE;TGFI1_MOUSE;TGFI1_MOUSE;TGFI1_MOUSE;TGFI1_MOUSE;TGFI1_MOUSE,6,314.6596746,4.146596746,Injured,Non-injured,";intracellular,cytoplasm,cytoskeleton,focal adhesion,nuclear matrix,extracellular matrix;;;;;;;",";transcription coactivator activity,protein binding,metal ion binding,Roundabout binding,androgen receptor binding,I-SMAD binding;;;;;;;",";response to heat,positive regulation of epithelial to mesenchymal transition,Wnt signaling pathway,morphogenesis of embryonic epithelium,positive regulation of transforming growth factor beta receptor signaling pathway,negative regulation of transforming growth factor beta receptor signaling pathway,ubiquitin-dependent SMAD protein catabolic process,epithelial cell differentiation,cell fate commitment,negative regulation of fat cell differentiation,positive regulation of transcription, DNA-templated;;;;;;;"
Injured / Non-injured,E9QAZ2;Q9CZM2,E9QAZ2;Q9CZM2,0.609346119,0.609346119,2.10E-09,1.90E-07,14,E9QAZ2;Q9CZM2,Gm10020;Rpl15,Ribosomal protein L15;60S ribosomal protein L15,E9QAZ2_MOUSE;RL15_MOUSE,12,52.55676106,1.525567611,Injured,Non-injured,"nucleus,cytosolic large ribosomal subunit,A band,extracellular exosome;nucleus,membrane,cytosolic large ribosomal subunit,extracellular exosome","RNA binding,structural constituent of ribosome,cadherin binding;RNA binding,structural constituent of ribosome,cadherin binding","cytoplasmic translation,response to ethanol;cytoplasmic translation"
Injured / Non-injured,P09671,P09671,-0.76470952,0.76470952,3.17E-09,1.90E-07,16,P09671,Sod2,"Superoxide dismutase [Mn], mitochondrial",SODM_MOUSE,11,-41.14281373,0.588571863,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,mitochondrial matrix,mitochondrial nucleoid,myelin sheath,extracellular exosome","DNA binding,superoxide dismutase activity,protein binding,oxidoreductase activity,oxygen binding,enzyme binding,manganese ion binding,identical protein binding","response to reactive oxygen species,response to superoxide,age-dependent response to oxidative stress,age-dependent response to reactive oxygen species,response to hypoxia,release of cytochrome c from mitochondria,liver development,detection of oxygen,vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure,regulation of transcription from RNA polymerase II promoter,glutathione metabolic process,superoxide metabolic process,response to oxidative stress,mitochondrion organization,heart development,locomotory behavior,regulation of blood pressure,negative regulation of cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,intrinsic apoptotic signaling pathway in response to oxidative stress,apoptotic mitochondrial changes,response to cold,post-embryonic development,response to manganese ion,response to zinc ion,response to selenium ion,response to gamma radiation,response to activity,removal of superoxide radicals,respiratory electron transport chain,hemopoiesis,positive regulation of cell migration,oxygen homeostasis,response to lipopolysaccharide,response to L-ascorbic acid,response to silicon dioxide,response to isolation stress,response to immobilization stress,vasodilation,response to drug,response to hydrogen peroxide,superoxide anion generation,negative regulation of neuron apoptotic process,positive regulation of nitric oxide biosynthetic process,negative regulation of fat cell differentiation,response to cadmium ion,negative regulation of fibroblast proliferation,neuron development,response to axon injury,erythrophore differentiation,hydrogen peroxide biosynthetic process,regulation of catalytic activity,protein homotetramerization,response to electrical stimulus,regulation of mitochondrial membrane potential,iron ion homeostasis,response to hyperoxia,response to magnetism,cellular response to ethanol,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,sensory perception of sound"
Injured / Non-injured,P52503,P52503,-1.156431742,1.156431742,2.70E-09,1.90E-07,14,P52503,Ndufs6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUS6_MOUSE,9,-55.13792493,0.448620751,Injured,Non-injured,"mitochondrion,mitochondrial respiratory chain complex I",molecular_function,"mitochondrial electron transport, NADH to ubiquinone,fatty acid metabolic process,muscle contraction,multicellular organism aging,respiratory electron transport chain,multicellular organism growth,reproductive system development,mitochondrion morphogenesis,cardiovascular system development"
Injured / Non-injured,P59708,P59708,1.028631852,1.028631852,3.08E-09,1.90E-07,14,P59708,Sf3b6,Splicing factor 3B subunit 6,SF3B6_MOUSE,3,104.0088661,2.040088661,Injured,Non-injured,"nucleus,U2-type spliceosomal complex,U2 snRNP,U12-type spliceosomal complex,precatalytic spliceosome,catalytic step 2 spliceosome",RNA binding,"mRNA splicing, via spliceosome,blastocyst formation"
Injured / Non-injured,Q99LB2,Q99LB2,-1.204150564,1.204150564,2.63E-09,1.90E-07,16,Q99LB2,Dhrs4,Dehydrogenase/reductase SDR family member 4,DHRS4_MOUSE,15,-56.59751847,0.434024815,Injured,Non-injured,"nucleus,mitochondrion,peroxisome,peroxisomal membrane,extracellular exosome","3-keto sterol reductase activity,retinal dehydrogenase activity,carbonyl reductase (NADPH) activity,receptor binding,oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor,alcohol dehydrogenase [NAD(P)+] activity","alcohol metabolic process,steroid metabolic process,cellular ketone metabolic process,retinal metabolic process,protein tetramerization,oxidation-reduction process"
Injured / Non-injured,P62889,P62889,0.911731778,0.911731778,4.25E-09,2.19E-07,14,P62889,Rpl30,60S ribosomal protein L30,RL30_MOUSE,7,88.1302416,1.881302416,Injured,Non-injured,"nucleus,focal adhesion,membrane,cytosolic large ribosomal subunit,extracellular matrix,extracellular exosome","RNA binding,structural constituent of ribosome","cytoplasmic translation,killing of cells of other organism,defense response to Gram-negative bacterium,Requires Ontology"
Injured / Non-injured,Q8C7H1,Q8C7H1,-1.304517581,1.304517581,4.28E-09,2.19E-07,14,Q8C7H1,Mmaa,"Methylmalonic aciduria type A homolog, mitochondrial",MMAA_MOUSE,3,-59.51435355,0.404856465,Injured,Non-injured,"cellular_component,mitochondrion","molecular_function,GTPase activity,GTP binding","biological_process,cobalamin biosynthetic process"
Injured / Non-injured,B1AU25;Q9Z0X1,B1AU25;Q9Z0X1,-0.897893513,0.897893513,5.61E-09,2.54E-07,14,B1AU25;Q9Z0X1,Aifm1,"Apoptosis-inducing factor 1, mitochondrial;Apoptosis-inducing factor 1, mitochondrial",B1AU25_MOUSE;AIFM1_MOUSE,24,-46.33302461,0.536669754,Injured,Non-injured,";nucleus,cytoplasm,mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,mitochondrial intermembrane space,cytosol,perinuclear region of cytoplasm",";DNA binding,electron-transferring-flavoprotein dehydrogenase activity,protein binding,NAD(P)H oxidase activity,oxidoreductase activity, acting on NAD(P)H,protein dimerization activity,FAD binding",";response to ischemia,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,response to oxidative stress,apoptotic mitochondrial changes,response to toxic substance,positive regulation of cell death,respiratory electron transport chain,neuron differentiation,mitochondrial respiratory chain complex I assembly,positive regulation of apoptotic process,positive regulation of neuron apoptotic process,neuron apoptotic process,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,cellular response to hydrogen peroxide,cellular response to estradiol stimulus,cellular response to nitric oxide,cellular response to oxygen-glucose deprivation,response to L-glutamate,regulation of apoptotic DNA fragmentation,cellular response to aldosterone"
Injured / Non-injured,P62897,P62897,-1.41908863,1.41908863,6.31E-09,2.54E-07,14,P62897,Cycs,"Cytochrome c, somatic",CYC_MOUSE,13,-62.60515341,0.373948466,Injured,Non-injured,"nucleus,mitochondrion,mitochondrial intermembrane space,cytosol,myelin sheath,respiratory chain","heme binding,electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity,metal ion binding","mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial electron transport, cytochrome c to oxygen,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,hydrogen peroxide metabolic process"
Injured / Non-injured,Q3UNX5,Q3UNX5,-1.589735725,1.589735725,6.39E-09,2.54E-07,16,Q3UNX5,Acsm3,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",ACSM3_MOUSE,32,-66.77676933,0.332232307,Injured,Non-injured,"mitochondrion,mitochondrial matrix","acyl-CoA ligase activity,fatty-acyl-CoA synthase activity,ATP binding,fatty acid ligase activity,metal ion binding,butyrate-CoA ligase activity","fatty acid biosynthetic process,fatty acid beta-oxidation,acyl-CoA metabolic process"
Injured / Non-injured,Q71RI9;Q71RI9-2,Q71RI9;Q71RI9-2,-1.925636762,1.925636762,6.72E-09,2.54E-07,14,Q71RI9;Q71RI9-2,Kyat3,Kynurenine--oxoglutarate transaminase 3;Isoform 2 of Kynurenine--oxoglutarate transaminase 3,KAT3_MOUSE,14,-73.67759457,0.263224054,Injured,Non-injured,mitochondrion;,"RNA binding,kynurenine-oxoglutarate transaminase activity,pyridoxal phosphate binding,protein homodimerization activity,kynurenine-glyoxylate transaminase activity,cysteine-S-conjugate beta-lyase activity;","2-oxoglutarate metabolic process,cellular amino acid metabolic process,biosynthetic process,kynurenine metabolic process,L-kynurenine metabolic process;"
