Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,A0A075B5P4;A0A0A6YWR2,A0A075B5P4;A0A0A6YWR2,3.144448673,3.144448673,0.014995416,0.024177003,6,A0A075B5P4;A0A0A6YWR2,Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,7,784.2465428,8.842465428,Injured,Non-injured,;,;,;
Injured / Non-injured,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6;Q4VAA2;Q4VAA2-2,0.702072097,0.702072097,0.025667855,0.024177003,6,A0A087WNP6;Q4VAA2;Q4VAA2-2,Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,5,62.68396939,1.626839694,Injured,Non-injured,";cytoplasm,nucleus;",;molecular_function;,;biological_process;
Injured / Non-injured,A0A087WPL5;E9QNN1,A0A087WPL5;E9QNN1,9.565247301,9.565247301,0.021486218,0.024177003,8,A0A087WPL5;E9QNN1,Dhx9,ATP-dependent RNA helicase A,A0A087WPL5_MOUSE;E9QNN1_MOUSE,38,75657.62545,757.5762545,Injured,Non-injured,;,;,;
Injured / Non-injured,A0A087WQA0;F8WI22;Q8K019;Q8K019-2;Q8K019-3,A0A087WQA0;F8WI22;Q8K019;Q8K019-2;Q8K019-3,0.949531671,0.949531671,0.01177112,0.024177003,6,A0A087WQA0;F8WI22;Q8K019;Q8K019-2;Q8K019-3,Bclaf1,Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1,A0A087WQA0_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE,4,93.1245633,1.931245633,Injured,Non-injured,";;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",";;DNA binding,RNA binding,protein binding;;",";;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;"
Injured / Non-injured,A0A087WQS2;Q9CQC6,A0A087WQS2;Q9CQC6,1.547007666,1.547007666,0.02511292,0.024177003,6,A0A087WQS2;Q9CQC6,Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2_MOUSE;BZW1_MOUSE,17,192.2104285,2.922104285,Injured,Non-injured,";cytoplasm,membrane",";RNA binding,cadherin binding",";transcription, DNA-templated,regulation of transcription, DNA-templated"
Injured / Non-injured,A0A087WRE7;Q8R0N6,A0A087WRE7;Q8R0N6,-1.495924209,1.495924209,0.011990361,0.024177003,6,A0A087WRE7;Q8R0N6,Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7_MOUSE;HOT_MOUSE,16,-64.54463653,0.354553635,Injured,Non-injured,";mitochondrion,cytosol",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",";molecular hydrogen transport,oxidation-reduction process"
Injured / Non-injured,A0A087WSN6,A0A087WSN6,3.013164682,3.013164682,0.017445825,0.024177003,6,A0A087WSN6,Fn1,Fibronectin,A0A087WSN6_MOUSE,88,707.3334579,8.073334579,Injured,Non-injured,,,
Injured / Non-injured,A0A087WSN7;P49138,A0A087WSN7;P49138,1.260500084,1.260500084,0.023755458,0.024177003,6,A0A087WSN7;P49138,Mapkapk2,MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2,A0A087WSN7_MOUSE;MAPK2_MOUSE,3,139.5787721,2.395787721,Injured,Non-injured,";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome",";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding",";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization"
Injured / Non-injured,A0A0A0MQ68;Q60759,A0A0A0MQ68;Q60759,-1.183030199,1.183030199,0.012510266,0.024177003,6,A0A0A0MQ68;Q60759,Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68_MOUSE;GCDH_MOUSE,12,-55.95745323,0.440425468,Injured,Non-injured,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase"
Injured / Non-injured,A0A0A6YX18;Q8BVE3,A0A0A6YX18;Q8BVE3,-0.895449833,0.895449833,0.011038643,0.024177003,6,A0A0A6YX18;Q8BVE3,Atp6v1h,V-type proton ATPase subunit H,A0A0A6YX18_MOUSE;VATH_MOUSE,19,-46.24204485,0.537579552,Injured,Non-injured,";vacuolar proton-transporting V-type ATPase, V1 domain,lysosomal membrane,extracellular exosome",";proton-transporting ATPase activity, rotational mechanism",";endocytosis,vacuolar acidification,ATP hydrolysis coupled proton transport"
