Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,A0A0R4J094,A0A0R4J094,-1.338156793,1.338156793,0.000389167,0.00800966,8,A0A0R4J094,Fahd2a,Fumarylacetoacetate hydrolase domain-containing protein 2A,A0A0R4J094_MOUSE,7,-60.44743377,0.395525662,Injured,Non-injured,,,
Injured / Non-injured,A2AL12;Q8BG05,A2AL12;Q8BG05,1.226596086,1.226596086,0.000250411,0.00800966,8,A2AL12;Q8BG05,Hnrnpa3,Heterogeneous nuclear ribonucleoprotein A3,A2AL12_MOUSE;ROA3_MOUSE,22,134.0142017,2.340142017,Injured,Non-injured,;spliceosomal complex,;RNA binding,";mRNA processing,RNA splicing"
Injured / Non-injured,A2CEL1;A9R9W0;P11588,A2CEL1;A9R9W0;P11588,3.684058531,3.684058531,0.00053016,0.00800966,8,A2CEL1;A9R9W0;P11588,Mup1;Mup15;Mup1,Major urinary protein 1;Major urinary protein 17;Major urinary protein 1,A2CEL1_MOUSE;A9R9W0_MOUSE;MUP1_MOUSE,5,1185.32254,12.8532254,Injured,Non-injured,";cellular_component,extracellular region;extracellular space,nucleus,cytosol",";molecular_function,transporter activity,pheromone binding,small molecule binding;insulin-activated receptor activity,pheromone activity,transporter activity,pheromone binding,small molecule binding",";transport,biological_process;energy reserve metabolic process,transport,insulin receptor signaling pathway,aerobic respiration,cellular response to starvation,positive regulation of gene expression,negative regulation of lipid storage,positive regulation of glucose metabolic process,heat generation,response to stilbenoid,glucose homeostasis,locomotor rhythm,negative regulation of gluconeogenesis,positive regulation of lipid metabolic process,negative regulation of transcription, DNA-templated,negative regulation of lipid biosynthetic process,positive regulation of protein kinase B signaling,negative regulation of insulin secretion involved in cellular response to glucose stimulus,mitochondrion morphogenesis,cellular response to food,cellular response to testosterone stimulus,cellular response to lipid"
Injured / Non-injured,B5X0G2,B5X0G2,3.80460947,3.80460947,0.000389965,0.00800966,8,B5X0G2,Mup17,Major urinary protein 17,MUP17_MOUSE,20,1297.33833,13.9733833,Injured,Non-injured,"cellular_component,extracellular region","molecular_function,transporter activity,pheromone binding,small molecule binding","transport,biological_process"
Injured / Non-injured,B7ZNL3,B7ZNL3,1.485471417,1.485471417,0.000257996,0.00800966,8,B7ZNL3,Tpm1,Tpm1 protein,B7ZNL3_MOUSE,15,180.0086543,2.800086543,Injured,Non-injured,,,
Injured / Non-injured,B8JI96,B8JI96,4.062260359,4.062260359,0.000345116,0.00800966,8,B8JI96,Mup14,Protein Mup14 (Fragment),B8JI96_MOUSE,4,1570.560538,16.70560538,Injured,Non-injured,,,
Injured / Non-injured,G3UY93;Q9Z1Q9,G3UY93;Q9Z1Q9,1.3075421,1.3075421,0.000295121,0.00800966,8,G3UY93;Q9Z1Q9,Vars,Valine--tRNA ligase (Fragment);Valine--tRNA ligase,G3UY93_MOUSE;SYVC_MOUSE,12,147.519485,2.47519485,Injured,Non-injured,";mitochondrion,cytosol",";aminoacyl-tRNA editing activity,valine-tRNA ligase activity,ATP binding",";valyl-tRNA aminoacylation,regulation of translational fidelity"
Injured / Non-injured,O35639,O35639,3.01364075,3.01364075,0.000264557,0.00800966,8,O35639,Anxa3,Annexin A3,ANXA3_MOUSE,22,707.5999101,8.075999101,Injured,Non-injured,"cytoplasm,cytosol,plasma membrane,membrane,axon,dendrite,phagocytic vesicle membrane,specific granule,neuronal cell body,extracellular exosome","calcium ion binding,calcium-dependent phospholipid binding,phospholipase A2 inhibitor activity,calcium-dependent protein binding","phagocytosis,positive regulation of endothelial cell migration,hippocampus development,animal organ regeneration,defense response to bacterium,negative regulation of catalytic activity,neutrophil degranulation,positive regulation of angiogenesis,positive regulation of DNA metabolic process,positive regulation of sequence-specific DNA binding transcription factor activity,response to glucocorticoid,response to growth factor"
Injured / Non-injured,O88569,O88569,0.695115245,0.695115245,0.00036348,0.00800966,8,O88569,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,ROA2_MOUSE,23,61.90137573,1.619013757,Injured,Non-injured,"nucleus,nucleoplasm,spliceosomal complex,cytoplasm,membrane,intracellular ribonucleoprotein complex,extracellular exosome,catalytic step 2 spliceosome","RNA binding,mRNA 3'-UTR binding,miRNA binding,single-stranded telomeric DNA binding,pre-mRNA intronic binding,N6-methyladenosine-containing RNA binding","negative regulation of transcription from RNA polymerase II promoter,mRNA splicing, via spliceosome,mRNA processing,mRNA export from nucleus,primary miRNA processing,negative regulation of mRNA splicing, via spliceosome,RNA transport,miRNA transport"
Injured / Non-injured,P10126,P10126,0.571119978,0.571119978,0.000536421,0.00800966,8,P10126,Eef1a1,Elongation factor 1-alpha 1,EF1A1_MOUSE,23,48.5676468,1.485676468,Injured,Non-injured,"extracellular space,nucleus,nucleolus,cytoplasm,cytosol,plasma membrane,membrane,cortical actin cytoskeleton,ruffle membrane,myelin sheath,extracellular exosome","tRNA binding,RNA binding,mRNA binding,translation elongation factor activity,GTPase activity,protein binding,GTP binding,drug binding,protein kinase binding","translational elongation,aging,positive regulation of cell death,positive regulation of neuron projection development,cellular response to drug,protein homooligomerization,cellular response to epidermal growth factor stimulus,negative regulation of reactive oxygen species biosynthetic process,cellular response to nerve growth factor stimulus"
