"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity","X.2..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.3..22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity","X.4..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.5..22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity","X.6..22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity","X.7..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.8..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"1","clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp2;clasp1;clasp1;clasp2;clasp1;clasp2;clasp1;clasp1;clasp2","CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP associating protein 2;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1;CLIP-associating protein 2","A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1","A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9Q8N5_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;F7DCH5_MOUSE;J3QP81_MOUSE;Q08EB6_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE;CLAP2_MOUSE",";;;;;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;;condensed chromosome kinetochore,spindle pole,Golgi apparatus,trans-Golgi network,microtubule organizing center,cytosol,microtubule,cytoplasmic microtubule,plasma membrane,cell cortex,membrane,cell leading edge,ruffle membrane,axonal growth cone,basal cortex,cortical microtubule plus-end,kinetochore,focal adhesion,mitotic spindle",";;;;;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;;microtubule cytoskeleton organization,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,establishment or maintenance of cell polarity,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,cell migration,regulation of axon extension,microtubule organizing center organization,regulation of microtubule polymerization or depolymerization,regulation of microtubule polymerization,regulation of microtubule-based process,regulation of actin cytoskeleton organization,microtubule anchoring,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of exocytosis,cell division,meiotic cell cycle,negative regulation of stress fiber assembly,negative regulation of focal adhesion assembly,protein localization to plasma membrane,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis",";;;;;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;;dystroglycan binding,protein binding,microtubule binding,microtubule plus-end binding,actin filament binding,protein tyrosine kinase binding",6.30134323729983e-24,"1","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","17.204557418823242","26.205535888671875","18.306392669677734","49.268287658691406","24.352523803710938","14.4047269821167","31.203828811645508","13.740883827209473"
"2","inppl1","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2","A0A087WPT7;Q6P549","A0A087WPT7_MOUSE;SHIP2_MOUSE",";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium",";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding",3.18903329662326e-05,"2","3","1","3","1","2","4","4","2","3","1","3","1","2","4","4","19.89020347595215","16.839479446411133","5.783024787902832","22.339797973632812","8.788642883300781","7.670597553253174","17.5079345703125","10.3141508102417"
"3","2310035c23rik;2310035c23rik;2310035c23rik;kiaa1468","Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468","A0A087WRM8;E9QM90;G3X9J4;Q148V7","A0A087WRM8_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE",";;;cellular_component",";;;biological_process",";;;molecular_function",5.26495663878729e-23,"3","3","3","2","3","3","3","3","3","3","3","2","3","3","3","3","5.14109468460083","4.440070152282715","5.0583176612854","3.046525478363037","3.543009042739868","4.828126430511475","7.109827995300293","2.7310853004455566"
"4","sumo1","Small ubiquitin-related modifier 1","A0A087WRQ4;P63166","A0A087WRQ4_MOUSE;SUMO1_MOUSE",";heterochromatin,fibrillar center,XY body,nucleus,nucleoplasm,nucleolus,cytosol,plasma membrane,nuclear body,PML body,nuclear speck,dendrite,SUMO activating enzyme complex,nuclear membrane,synapse,nuclear stress granule,voltage-gated potassium channel complex",";regulation of transcription, DNA-templated,protein sumoylation,PML body organization,positive regulation of protein complex assembly,regulation of protein stability,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to heat,negative regulation of DNA binding,negative regulation of sequence-specific DNA binding transcription factor activity,negative regulation of action potential,negative regulation of transcription, DNA-templated,protein stabilization,palate development,cellular response to cadmium ion,regulation of cardiac muscle cell contraction,protein localization to nuclear pore,positive regulation of calcium-transporting ATPase activity,negative regulation of delayed rectifier potassium channel activity,regulation of calcium ion transmembrane transport",";transcription corepressor binding,RNA binding,protein binding,protein C-terminus binding,transcription factor binding,potassium channel regulator activity,SUMO transferase activity,enzyme binding,protein binding, bridging,protein tag,ubiquitin protein ligase binding,glucocorticoid receptor binding,small protein activating enzyme binding",3.53256046707344e-07,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","74.5257568359375","107.67771911621094","76.3060531616211","188.53524780273438","57.71709060668945","68.64419555664062","145.30361938476562","131.5573272705078"
"5","serpina1a;serpina1c;serpina1a;serpina1c","Alpha-1-antitrypsin 1-1;Alpha-1-antitrypsin 1-3;Alpha-1-antitrypsin 1-1;Alpha-1-antitrypsin 1-3","A0A0A0MQA3;A0A0R4J0X5;P07758;Q00896","A0A0A0MQA3_MOUSE;A0A0R4J0X5_MOUSE;A1AT1_MOUSE;A1AT3_MOUSE",";;extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome;extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome",";;protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone;negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone",";;protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding;protease binding,serine-type endopeptidase inhibitor activity,identical protein binding",1.06905210804155e-46,"11","10","9","12","10","12","11","12","11","10","9","12","10","12","11","12","804.20166015625","574.269775390625","786.406005859375","5912.1376953125","861.9491577148438","608.0737915039062","946.8778076171875","599.0032348632812"
"6","phyhd1","Phytanoyl-CoA dioxygenase domain-containing protein 1 (Fragment);Phytanoyl-CoA dioxygenase domain-containing protein 1 (Fragment);Phytanoyl-CoA dioxygenase domain-containing protein 1;Phytanoyl-CoA dioxygenase domain-containing protein 1;Phytanoyl-CoA dioxygenase domain-containing protein 1;Phytanoyl-CoA dioxygenase domain-containing protein 1","A0A0A0MQG9;A2AQZ5;A2AQZ7;D6RI61;D6RIQ3;Q9DB26","A0A0A0MQG9_MOUSE;A2AQZ5_MOUSE;A2AQZ7_MOUSE;D6RI61_MOUSE;D6RIQ3_MOUSE;PHYD1_MOUSE",";;;;;cellular_component",";;;;;biological_process,oxidation-reduction process",";;;;;molecular_function,metal ion binding,dioxygenase activity",5.21162821056884e-25,"2","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","35.245182037353516","25.451642990112305","45.06105041503906","14.3964204788208","42.15980529785156","32.129764556884766","22.37875747680664","15.529996871948242"
"7","map4k4;map4k4;map4k4;map4k4;tnik;map4k4;map4k4;tnik;tnik;tnik;tnik;tnik;tnik;map4k4;mink1;map4k4;mink1;tnik;tnik;map4k4;mink1;mink1;mink1;mink1;mink1","Mitogen-activated protein kinase kinase kinase kinase 4 (Fragment);Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Tnik protein;Map4k4 protein;Map4k4 protein;TRAF2 and NCK interacting kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1 (Fragment);Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;Traf2 and NCK-interacting protein kinase;Isoform 2 of Traf2 and NCK-interacting protein kinase;Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;Misshapen-like kinase 1;Misshapen-like kinase 1;Isoform 1 of Misshapen-like kinase 1;Isoform 3 of Misshapen-like kinase 1","A0A0A6YVZ8;A0A0A6YW53;A0A0A6YWM8;A0A0A6YWR8;B2RQ80;B2RUE8;B7ZNR9;B9EKN8;E0CXD6;E0CY98;E0CZD7;E0CZF8;E9PUL9;E9PVG7;F7AMS7;F8VPL5;G3X9G2;P83510;P83510-2;P97820;Q5SXG1;Q5SXG3;Q9JM52;Q9JM52-2;Q9JM52-3","A0A0A6YVZ8_MOUSE;A0A0A6YW53_MOUSE;A0A0A6YWM8_MOUSE;A0A0A6YWR8_MOUSE;B2RQ80_MOUSE;B2RUE8_MOUSE;B7ZNR9_MOUSE;B9EKN8_MOUSE;E0CXD6_MOUSE;E0CY98_MOUSE;E0CZD7_MOUSE;E0CZF8_MOUSE;E9PUL9_MOUSE;E9PVG7_MOUSE;F7AMS7_MOUSE;F8VPL5_MOUSE;G3X9G2_MOUSE;TNIK_MOUSE;TNIK_MOUSE;M4K4_MOUSE;Q5SXG1_MOUSE;Q5SXG3_MOUSE;MINK1_MOUSE;MINK1_MOUSE;MINK1_MOUSE",";;;;;;;;;;;;;;;;;nucleus,nucleoplasm,cytoplasm,cytosol,cytoskeleton,apical plasma membrane,perinuclear region of cytoplasm,recycling endosome,extracellular exosome;;cytoplasm;;;cytoplasm,Golgi apparatus,postsynaptic density,cell junction,axon,dendrite,postsynaptic membrane,extracellular exosome;;",";;;;;;;;;;;;;;;;;activation of MAPKKK activity,positive regulation of protein phosphorylation,protein phosphorylation,cytoskeleton organization,activation of JNKK activity,regulation of mitotic cell cycle,Wnt signaling pathway,microvillus assembly,stress-activated protein kinase signaling cascade,actin cytoskeleton reorganization,intracellular signal transduction,regulation of apoptotic process,protein autophosphorylation,neuron projection morphogenesis,regulation of dendrite morphogenesis,protein localization to plasma membrane;;MAPK cascade,activation of MAPKKK activity,protein phosphorylation,response to stress,regulation of mitotic cell cycle,stress-activated protein kinase signaling cascade,intracellular signal transduction,regulation of apoptotic process,negative regulation of apoptotic process,regulation of JNK cascade,neuron projection morphogenesis;;;MAPK cascade,activation of MAPKKK activity,regulation of cell-matrix adhesion,protein phosphorylation,response to stress,chemical synaptic transmission,multicellular organism development,regulation of mitotic cell cycle,regulation of cell-cell adhesion,regulation of cell migration,stress-activated protein kinase signaling cascade,actin cytoskeleton reorganization,intracellular signal transduction,regulation of apoptotic process,negative thymic T cell selection,positive regulation of JNK cascade,protein autophosphorylation,neuron projection morphogenesis,dendrite morphogenesis,regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity;;",";;;;;;;;;;;;;;;;;protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity;;creatine kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity;;;protein serine/threonine kinase activity,ATP binding,MAP kinase kinase kinase kinase activity;;",1.05912851529435e-07,"1","1","1","1","1","1","2","2","1","1","1","1","1","1","2","2","32.16023635864258","56.65726089477539","33.82284164428711","86.40350341796875","27.924694061279297","44.73774337768555","76.1001968383789","64.77153778076172"
"8","stx6","Syntaxin-6;Syntaxin-6;Isoform 2 of Syntaxin-6","A0A0A6YXG0;Q9JKK1;Q9JKK1-2","A0A0A6YXG0_MOUSE;STX6_MOUSE;STX6_MOUSE",";nucleoplasm,early endosome,Golgi apparatus,trans-Golgi network,cytosol,membrane,integral component of membrane,integral component of synaptic vesicle membrane,SNARE complex,trans-Golgi network membrane,terminal bouton,phagocytic vesicle,perinuclear region of cytoplasm,recycling endosome;",";intracellular protein transport,vesicle fusion,endosome organization,endocytic recycling,regulation of protein localization,retrograde transport, endosome to Golgi,Golgi vesicle transport,vesicle docking,Golgi ribbon formation,regulation of cellular protein localization;",";SNARE binding,SNAP receptor activity,protein binding,syntaxin binding;",2.22847781947011e-16,"1","1","1","1","1","2","1","2","1","1","1","1","1","2","1","2","8.722895622253418","15.815943717956543","8.432299613952637","7.6852545738220215","7.629321098327637","17.541820526123047","6.452608585357666","13.277894973754883"
"9","rabggtb","Geranylgeranyl transferase type-2 subunit beta (Fragment);Geranylgeranyl transferase type-2 subunit beta;Geranylgeranyl transferase type-2 subunit beta;Geranylgeranyl transferase type-2 subunit beta (Fragment);Geranylgeranyl transferase type-2 subunit beta;Geranylgeranyl transferase type-2 subunit beta;Geranylgeranyl transferase type-2 subunit beta;Geranylgeranyl transferase type-2 subunit beta","A0A0G2JDK3;A0A0G2JF29;A0A0G2JG79;A0A0G2JGU4;P53612;Q3TVF4;Q6PFA1;Q9JIF6","A0A0G2JDK3_MOUSE;A0A0G2JF29_MOUSE;A0A0G2JG79_MOUSE;A0A0G2JGU4_MOUSE;PGTB2_MOUSE;Q3TVF4_MOUSE;Q6PFA1_MOUSE;Q9JIF6_MOUSE",";;;;Rab-protein geranylgeranyltransferase complex;;;",";;;;protein geranylgeranylation;;;",";;;;Rab geranylgeranyltransferase activity,protein binding,zinc ion binding,Rab GTPase binding;;;",1.47208602181608e-13,"1","2","2","1","1","2","2","2","1","2","2","1","1","2","2","2","25.00905990600586","42.62530517578125","31.763349533081055","12.961917877197266","27.36534881591797","23.014081954956055","27.03725814819336","24.24591636657715"
"10","iglc1;","Protein Iglc1 (Fragment);Ig lambda-1 chain C region","A0A0G2JE99;P01843","A0A0G2JE99_MOUSE;LAC1_MOUSE","external side of plasma membrane,B cell receptor complex,immunoglobulin complex, circulating,blood microparticle;plasma membrane","phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation;","antigen binding,protein binding,immunoglobulin receptor binding;antigen binding",0.00098939753979708,"1","Filtered","Filtered","2","1","Filtered","Filtered","Filtered","1","Filtered","Filtered","2","1","Filtered","Filtered","Filtered","3.495725393295288","Filtered","Filtered","5.957152843475342","5.431074142456055","Filtered","Filtered","Filtered"
