Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,Q99NB1,Q99NB1,-1.903778324,1.903778324,8.24E-14,1.30E-11,16,Q99NB1,Acss1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",ACS2L_MOUSE,17,-73.27574424,0.267242558,Injured,Non-injured,"mitochondrion,mitochondrial matrix","acetate-CoA ligase activity,ATP binding,AMP binding","acetyl-CoA biosynthetic process,acetate biosynthetic process,acetyl-CoA biosynthetic process from acetate,propionate biosynthetic process"
Injured / Non-injured,A2AL12;Q8BG05,A2AL12;Q8BG05,1.198103658,1.198103658,1.28E-12,1.00E-10,16,A2AL12;Q8BG05,Hnrnpa3,Heterogeneous nuclear ribonucleoprotein A3,A2AL12_MOUSE;ROA3_MOUSE,22,129.4378894,2.294378894,Injured,Non-injured,;spliceosomal complex,;RNA binding,";mRNA processing,RNA splicing"
Injured / Non-injured,Q99MR8,Q99MR8,-1.593830129,1.593830129,1.90E-12,1.00E-10,16,Q99MR8,Mccc1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCA_MOUSE,23,-66.87092401,0.33129076,Injured,Non-injured,"3-methylcrotonyl-CoA carboxylase complex, mitochondrial,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,methylcrotonoyl-CoA carboxylase complex","biotin carboxylase activity,ATP binding,metal ion binding,methylcrotonoyl-CoA carboxylase activity",leucine catabolic process
Injured / Non-injured,Q9D0K2,Q9D0K2,-1.518594187,1.518594187,4.00E-12,1.58E-10,16,Q9D0K2,Oxct1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",SCOT1_MOUSE,20,-65.0974146,0.349025854,Injured,Non-injured,"nucleoplasm,mitochondrion,mitochondrial matrix","3-oxoacid CoA-transferase activity,protein homodimerization activity","brain development,heart development,response to nutrient,response to hormone,response to activity,positive regulation of insulin secretion involved in cellular response to glucose stimulus,ketone catabolic process,response to drug,response to starvation,response to ethanol,cellular ketone body metabolic process,ketone body catabolic process,adipose tissue development"
Injured / Non-injured,P17426;P17426-2,P17426;P17426-2,0.553095989,0.553095989,6.30E-12,1.99E-10,16,P17426;P17426-2,Ap2a1,AP-2 complex subunit alpha-1;Isoform B of AP-2 complex subunit alpha-1,AP2A1_MOUSE,6,46.72309623,1.467230962,Injured,Non-injured,"clathrin-coated pit,membrane,basolateral plasma membrane,apical plasma membrane,membrane coat,clathrin adaptor complex,secretory granule,filopodium tip;","protein binding,protein C-terminus binding,protein transporter activity,protein kinase binding,protein complex binding,low-density lipoprotein particle receptor binding;","intracellular protein transport,endocytosis,vesicle-mediated transport,negative regulation of hyaluronan biosynthetic process;"
Injured / Non-injured,O09174,O09174,-1.849062904,1.849062904,1.71E-11,3.50E-10,16,O09174,Amacr,Alpha-methylacyl-CoA racemase,AMACR_MOUSE,12,-72.24273944,0.277572606,Injured,Non-injured,"cytoplasm,mitochondrion,peroxisome,plasma membrane,intracellular membrane-bounded organelle","receptor binding,alpha-methylacyl-CoA racemase activity","fatty acid metabolic process,bile acid biosynthetic process,bile acid metabolic process,isoprenoid catabolic process"
Injured / Non-injured,P40936,P40936,-1.909718876,1.909718876,1.77E-11,3.50E-10,16,P40936,Inmt,Indolethylamine N-methyltransferase,INMT_MOUSE,10,-73.38555985,0.266144402,Injured,Non-injured,cytosol,"thioether S-methyltransferase activity,amine N-methyltransferase activity,dimethyl selenide methyltransferase activity,Requires Ontology","selenium compound metabolic process,amine metabolic process,response to toxic substance,methylation"
Injured / Non-injured,Q6ZWZ6,Q6ZWZ6,0.887302213,0.887302213,1.39E-11,3.50E-10,16,Q6ZWZ6,Rps12-ps3,40S ribosomal protein S12,Q6ZWZ6_MOUSE,6,84.97139896,1.84971399,Injured,Non-injured,,,
Injured / Non-injured,P16331,P16331,-2.065639917,2.065639917,2.16E-11,3.79E-10,16,P16331,Pah,Phenylalanine-4-hydroxylase,PH4H_MOUSE,20,-76.11196511,0.238880349,Injured,Non-injured,extracellular exosome,"phenylalanine 4-monooxygenase activity,iron ion binding","L-phenylalanine catabolic process,oxidation-reduction process"
Injured / Non-injured,P45952,P45952,-1.516309796,1.516309796,4.74E-11,5.76E-10,16,P45952,Acadm,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM_MOUSE,21,-65.04210539,0.349578946,Injured,Non-injured,"nucleus,mitochondrion,mitochondrial matrix,nuclear speck,axon,mitochondrial membrane,extracellular exosome","acyl-CoA dehydrogenase activity,identical protein binding,flavin adenine dinucleotide binding,medium-chain-acyl-CoA dehydrogenase activity","liver development,glycogen biosynthetic process,organic acid metabolic process,regulation of gluconeogenesis,fatty acid beta-oxidation,heart development,response to cold,carnitine metabolic process,post-embryonic development,carnitine metabolic process, CoA-linked,fatty acid beta-oxidation using acyl-CoA dehydrogenase,response to starvation,carnitine biosynthetic process,medium-chain fatty acid metabolic process,medium-chain fatty acid catabolic process,cardiac muscle cell differentiation,oxidation-reduction process"
