Category,Use.For,Protein,Accession,Entry.name,Protein.names.x,Type,Notes,assignment
3,All EVs as purity control,,NA,,Putative 60S ribosomal protein L37a-like protein (Ribosomal protein L37a pseudogene 8),protein and protein/nucleic acid aggregates,,
2,All EVs,,NA,,Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene),with lipid or membrane protein-binding ability,Annexins,
5,Functional component of EVs: need to determine the mode of association with EVs,COL6A6,Q8C6K9,CO6A6_MOUSE,Collagen alpha-6(VI) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL6A5 COL29A1 VWA4,A6H584,CO6A5_MOUSE,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4),,,
2,All EVs,SDCBP,O08992,SDCB1_MOUSE,Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1),with lipid or membrane protein-binding ability,syntenin,LYSOSOME
1,All EVs,ADAM10,O35598,ADA10_MOUSE,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),non-tissue specific,,unknown
1,All EVs,ITGB1BP1 ICAP1,O35671,ITBP1_MOUSE,Integrin beta-1-binding protein 1 (Integrin cytoplasmic domain-associated protein 1) (ICAP-1),non-tissue specific,Integrins,unknown
3,All EVs as purity control,MRPS12 RPMS12 RPSM12,O35680,RT12_MOUSE,"28S ribosomal protein S12, mitochondrial (MRP-S12) (S12mt) (MT-RPS12) (Mitochondrial small ribosomal subunit protein uS12m)",protein and protein/nucleic acid aggregates,,unknown
2,All EVs,CHMP2a,Q9DB34,CHM2A_MOUSE,Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1),with lipid or membrane protein-binding ability,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",ACTN4,P57780,ACTN4_MOUSE,Alpha-actinin-4 (Non-muscle alpha-actinin 4),others,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,CD5L,Q9QWK4,CD5L_MOUSE,CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha),adhesion and extracellular matrix proteins,,
3,All EVs as purity control,MRPS14,Q9CR88,RT14_MOUSE,"28S ribosomal protein S14, mitochondrial (MRP-S14) (S14mt) (Mitochondrial small ribosomal subunit protein uS14m)",protein and protein/nucleic acid aggregates,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC12 H2BFT HIRIP1 HIST1H2BK,Q8CGP1,H2B1K_MOUSE,Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1),nucleus,Histones,NUCLEUS-CHROMATIN
