"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"1",";immunoglobulin production,immune response",";extracellular space","igkv8-27",";","Protein Igkv8-27;Protein Igkv8-27 (Fragment)","A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE",2.59e-29,"A0A075B5N4;A0A0G2JF28",2,3,2,2,3,3,3,3,86.50935364,553.3496704,55.46112442,92.71918488
"2","","","ighv1-43","","Protein Ighv1-43","A0A075B5V7_MOUSE",4.74e-09,"A0A075B5V7",1,2,1,1,2,2,2,2,8.341444016,104.3438721,5.144411564,25.79293251
"3","biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","cellular_component;;;nucleus;cellular_component,nucleus","gm4064;rbmy1a1;gm21693;rbmy1a1;rbmy1b","molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding","Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B","A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE",3.88e-30,"A0A087WR82;B2RWR6;J3QK27;O35698;Q60990",3,1,3,1,3,3,3,3,39.13591766,13.27880859,78.89461517,6.763772011
"4",";regulation of transcription, DNA-templated,protein sumoylation,PML body organization,positive regulation of protein complex assembly,regulation of protein stability,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to heat,negative regulation of DNA binding,negative regulation of sequence-specific DNA binding transcription factor activity,negative regulation of action potential,negative regulation of transcription, DNA-templated,protein stabilization,palate development,cellular response to cadmium ion,regulation of cardiac muscle cell contraction,protein localization to nuclear pore,positive regulation of calcium-transporting ATPase activity,negative regulation of delayed rectifier potassium channel activity,regulation of calcium ion transmembrane transport",";heterochromatin,fibrillar center,XY body,nucleus,nucleoplasm,nucleolus,cytosol,plasma membrane,nuclear body,PML body,nuclear speck,dendrite,SUMO activating enzyme complex,nuclear membrane,synapse,nuclear stress granule,voltage-gated potassium channel complex","sumo1",";transcription corepressor binding,RNA binding,protein binding,protein C-terminus binding,transcription factor binding,potassium channel regulator activity,SUMO transferase activity,enzyme binding,protein binding, bridging,protein tag,ubiquitin protein ligase binding,glucocorticoid receptor binding,small protein activating enzyme binding","Small ubiquitin-related modifier 1","A0A087WRQ4_MOUSE;SUMO1_MOUSE",9.06e-12,"A0A087WRQ4;P63166",1,1,2,1,2,2,2,2,125.4560699,208.2151794,176.787735,152.0680542
"5","phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation;","external side of plasma membrane,B cell receptor complex,immunoglobulin complex, circulating,blood microparticle;plasma membrane","iglc1;","antigen binding,protein binding,immunoglobulin receptor binding;antigen binding","Protein Iglc1 (Fragment);Ig lambda-1 chain C region","A0A0G2JE99_MOUSE;LAC1_MOUSE",0.000880701,"A0A0G2JE99;P01843",2,2,0,0,2,2,2,2,3.64879632,11.32514,2,2.779204369
"6",";;;lipid catabolic process,N-acylethanolamine metabolic process",";;;","abhd4",";;;lysophospholipase activity","Protein ABHD4 (Fragment);Protein ABHD4;Protein ABHD4;Protein ABHD4","A0A0G2JEC8_MOUSE;Q3U7M5_MOUSE;Q8C0M2_MOUSE;ABHD4_MOUSE",0.004533246,"A0A0G2JEC8;Q3U7M5;Q8C0M2;Q8VD66",1,0,2,1,2,2,2,2,9.714176178,12.93204594,10.70101929,10.68547153
"7",";exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),nuclear-transcribed mRNA catabolic process,positive regulation of cell growth,nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5',U1 snRNA 3'-end processing,U4 snRNA 3'-end processing,U5 snRNA 3'-end processing,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,positive regulation of transcription from RNA polymerase II promoter,nuclear mRNA surveillance,nuclear polyadenylation-dependent rRNA catabolic process,nuclear polyadenylation-dependent tRNA catabolic process,nuclear polyadenylation-dependent mRNA catabolic process",";nuclear exosome (RNase complex),cytoplasmic exosome (RNase complex),exosome (RNase complex),nuclear chromosome,nucleus,nucleoplasm,nucleolus,cytoplasm,extracellular exosome","exosc9",";RNA polymerase II activating transcription factor binding,RNA binding,exonuclease activity,AU-rich element binding","Exosome complex component RRP45 (Fragment);Exosome complex component RRP45","A0A0G2JFV9_MOUSE;EXOS9_MOUSE",1.24e-12,"A0A0G2JFV9;Q9JHI7",2,1,2,1,2,2,2,2,16.99770164,11.78902149,20.33151054,20.44389915
"8",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation;phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation;",";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle;plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle;","iglc3;iglc2;iglc3;iglc2",";antigen binding,immunoglobulin receptor binding;antigen binding,immunoglobulin receptor binding;","Ig lambda-3 chain C region (Fragment);Ig lambda-2 chain C region;Ig lambda-3 chain C region;Ig lambda-2 chain C region (Fragment)","A0A0G2JGQ8_MOUSE;LAC2_MOUSE;LAC3_MOUSE;Q99JC1_MOUSE",1.05e-15,"A0A0G2JGQ8;P01844;P01845;Q99JC1",0,2,0,0,2,2,2,2,3.891288757,20.83613396,2.754839897,5.769098282
"9",";cellular sodium ion homeostasis,memory,adult locomotory behavior,visual learning,potassium ion import,establishment or maintenance of transmembrane electrochemical gradient,cerebral cortex development,cellular potassium ion homeostasis,ionotropic glutamate receptor signaling pathway,sodium ion export from cell,response to drug,cardiac muscle contraction,cellular response to retinoic acid,regulation of cardiac muscle cell membrane potential,ATP hydrolysis coupled transmembrane transport,cellular response to thyroid hormone stimulus,cellular response to beta-amyloid,neuron projection maintenance;",";nucleus,cytoplasm,endoplasmic reticulum,Golgi apparatus,plasma membrane,sodium:potassium-exchanging ATPase complex,axon,sarcolemma,neuronal cell body,myelin sheath,dendritic spine neck,dendritic spine head,synapse,extracellular vesicle;","atp1a3",";beta-amyloid binding,sodium:potassium-exchanging ATPase activity,ATP binding,D1 dopamine receptor binding,heparan sulfate proteoglycan binding,metal ion binding,chaperone binding,sodium:potassium-exchanging ATPase activity involved in regulation of cardiac muscle cell membrane potential;","Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha-3;Sodium/potassium-transporting ATPase subunit alpha","A0A0G2JGX4_MOUSE;AT1A3_MOUSE;Q8VCE0_MOUSE",0.000352058,"A0A0G2JGX4;Q6PIC6;Q8VCE0",2,1,2,1,2,2,2,2,168.4888916,871.831604,115.0171509,247.8870087
"10",";;;;;;",";;;;nucleus,membrane;;","specc1",";;;;molecular_function;;","Cytospin-B;Cytospin-B;Cytospin-B;Cytospin-B;Cytospin-B;Isoform 2 of Cytospin-B;Isoform 4 of Cytospin-B","A0A0J9YTU3_MOUSE;A0A0J9YUF8_MOUSE;A0A0J9YUR2_MOUSE;A0A0J9YV86_MOUSE;CYTSB_MOUSE;CYTSB_MOUSE;CYTSB_MOUSE",6.99e-47,"A0A0J9YTU3;A0A0J9YUF8;A0A0J9YUR2;A0A0J9YV86;Q5SXY1;Q5SXY1-2;Q5SXY1-3",2,1,2,2,2,2,2,2,22.01736641,5.965799332,8.652633667,9.367889404
