PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
5.64E-29,Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",3,3,2,3,2,1,3,3,3,3,3,3,3,3,3,3,16.82375908,17.25177002,7.037099838,145.6372986,25.35891342,10.79570389,8.277254105,15.35746002
8.13E-14,Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,28.04580498,47.9810524,15.8097887,331.2112427,37.77899551,4.009893894,7.272206783,46.17053986
3.44E-19,Ighg1,"Ig gamma-1 chain C region secreted form (Fragment);Ig gamma-1 chain C region secreted form (Fragment);Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region, membrane-bound form",A0A075B5P4;A0A0A6YWR2;P01868;P01869,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE;IGHG1_MOUSE;IGH1M_MOUSE,";;;extracellular space,external side of plasma membrane,integral component of membrane,immunoglobulin complex, circulating,blood microparticle",";;;antibody-dependent cellular cytotoxicity,positive regulation of type IIa hypersensitivity,positive regulation of type I hypersensitivity,humoral immune response mediated by circulating immunoglobulin,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antibacterial humoral response,defense response to bacterium,innate immune response,positive regulation of phagocytosis,positive regulation of immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";;;antigen binding,immunoglobulin receptor binding",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42.15864182,60.68151093,108.067894,1583.107056,32.84648895,11.3314085,30.26736832,41.9441452
3.08E-25,Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",4,4,3,4,4,1,2,3,4,4,4,4,4,4,4,4,86.3733139,79.09442902,15.27043438,204.229187,21.89616203,10.03495216,11.143363,15.29714394
5.01E-50,Ighm,Ig mu chain C region (Fragment);Ig mu chain C region (Fragment);Ig mu chain C region;Isoform 2 of Ig mu chain C region,A0A075B5P6;A0A075B6A0;P01872;P01872-2,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,";;extracellular space,cytosol,plasma membrane,external side of plasma membrane,cell surface,membrane,integral component of membrane,B cell receptor complex,immunoglobulin complex, circulating,perinuclear region of cytoplasm,blood microparticle;",";;activation of MAPK activity,B cell affinity maturation,humoral immune response mediated by circulating immunoglobulin,regulation of immunoglobulin production,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antigen processing and presentation,regulation of cell morphogenesis,positive regulation of B cell proliferation,positive regulation of MAPK cascade,early endosome to late endosome transport,innate immune response,positive regulation of endocytosis,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of immune response,defense response to Gram-negative bacterium,B cell receptor signaling pathway,positive regulation of B cell activation;",";;antigen binding,transmembrane signaling receptor activity,protein binding,immunoglobulin receptor binding,identical protein binding;",17,15,15,18,17,15,15,14,18,18,18,18,18,18,18,18,448.8288879,165.7626801,116.0536652,2776.906006,313.4966431,159.1302643,134.2975159,175.0419006
2.97E-08,Soat1,Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8;Q61263,A0A087WNN8_MOUSE;SOAT1_MOUSE,";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",1,2,1,2,1,0,2,1,2,2,2,2,2,2,2,2,6.189331532,13.45829105,6.466093063,28.17563629,4.711856365,8.550821304,21.79689598,6.517037868
1.44E-15,Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4.215903759,27.78223038,11.26283836,26.32281303,12.14922523,19.53653526,27.50294304,29.95581818
6.78E-49,Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24.62307358,46.55669785,35.47735977,49.11646652,37.78778076,30.68642044,90.71645355,56.73383331
9.25E-15,Ly6c1;Ly6c1;Ly6c1;Ly6c2,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1;Lymphocyte antigen 6C2,A0A087WNZ5;A0A087WRP7;P0CW02;P0CW03,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE;LY6C2_MOUSE,";;external side of plasma membrane,anchored component of membrane;plasma membrane,anchored component of membrane",;;;,;;;,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49.18990707,68.42948914,31.74376106,26.45573997,15.00164413,18.86737823,24.33652496,31.08073616
3.41E-35,Pdlim2,PDZ and LIM domain protein 2;PDZ and LIM domain protein 2 (Fragment);PDZ and LIM domain protein 2,A0A087WPL1;F7C957;Q8R1G6,A0A087WPL1_MOUSE;F7C957_MOUSE;PDLI2_MOUSE,";;stress fiber,cortical actin cytoskeleton,extracellular exosome",;;,";;filamin binding,myosin heavy chain binding,metal ion binding,muscle alpha-actinin binding",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21.72320557,41.35783386,22.39455414,14.46566296,18.93891144,27.02689171,48.01792526,50.11283112
