PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.UniProtIds,PG.BiologicalProcess,PG.CellularComponent,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2_MOUSE;IGKC_MOUSE,A0A075B5P2;P01837,";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";antigen binding,immunoglobulin receptor binding",0,2,3,2,3,3,3,1,0,3,3,3,3,3,3,3,3,10.9847173690796,11.6870641708374,4.83416891098022,69.6535263061523,7.65947866439819,15.5528755187988,4.37934017181396,2.81856894493103
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3_MOUSE,A0A075B5P3,,,,0,4,4,2,5,4,4,2,0,5,5,5,5,5,5,5,5,9.31615352630615,11.1980981826782,7.56212520599365,71.5998992919922,13.5310163497925,14.7650022506714,6.94978952407837,5.95783424377441
Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,A0A075B5P4;A0A0A6YWR2,;,;,;,0,1,0,0,2,1,1,1,0,2,2,2,2,2,2,2,2,2.33001494407654,1.76359355449677,1.78022277355194,19.0404644012451,1.59709966182709,1.77994406223297,1.49460029602051,1.26269972324371
Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,A0A075B5P5;P03987;P03987-2,;;,";extracellular region,plasma membrane,integral component of membrane;",";antigen binding,immunoglobulin receptor binding;",0,1,2,1,2,2,2,1,0,2,2,2,2,2,2,2,2,21.4829349517822,27.6639766693115,8.10271167755127,65.6853942871094,5.84544992446899,10.9380464553833,4.24873781204224,1.69204938411713
Ighm,Ig mu chain C region (Fragment);Ig mu chain C region (Fragment);Ig mu chain C region;Isoform 2 of Ig mu chain C region,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,A0A075B5P6;A0A075B6A0;P01872;P01872-2,";;activation of MAPK activity,B cell affinity maturation,humoral immune response mediated by circulating immunoglobulin,regulation of immunoglobulin production,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antigen processing and presentation,regulation of cell morphogenesis,positive regulation of B cell proliferation,positive regulation of MAPK cascade,early endosome to late endosome transport,innate immune response,positive regulation of endocytosis,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of immune response,defense response to Gram-negative bacterium,B cell receptor signaling pathway,positive regulation of B cell activation;",";;extracellular space,cytosol,plasma membrane,external side of plasma membrane,cell surface,membrane,integral component of membrane,B cell receptor complex,immunoglobulin complex, circulating,perinuclear region of cytoplasm,blood microparticle;",";;antigen binding,transmembrane signaling receptor activity,protein binding,immunoglobulin receptor binding,identical protein binding;",0,14,14,11,15,13,13,12,0,15,15,15,15,15,15,15,15,106.671577453613,49.5059204101563,36.045337677002,551.422180175781,68.1778182983398,60.814998626709,42.8561897277832,7.85708999633789
Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,A0A087WNZ5;A0A087WRP7;P0CW02,;;,";;external side of plasma membrane,anchored component of membrane",;;,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,29.4396514892578,27.4636936187744,22.1008453369141,18.7323532104492,10.8255681991577,26.1876258850098,17.3995914459229,2.33265590667725
Nop58,Nucleolar protein 58 (Fragment);Nucleolar protein 58,A0A087WP00_MOUSE;NOP58_MOUSE,A0A087WP00;Q6DFW4,";rRNA modification,snoRNA localization",";fibrillar center,nucleus,nucleolus,small nucleolar ribonucleoprotein complex,cytosol,Cajal body,membrane,box C/D snoRNP complex,small-subunit processome,pre-snoRNP complex",";TFIID-class transcription factor binding,RNA binding,snoRNA binding,ATPase binding",0,2,3,1,2,2,2,1,0,3,3,3,3,3,3,3,3,9.25819396972656,13.2089748382568,4.98573112487793,14.8381042480469,6.12779998779297,11.7271757125854,6.23675394058228,4.48713827133179
Bzw1,Basic leucine zipper and W2 domain-containing protein 1 (Fragment);Basic leucine zipper and W2 domain-containing protein 1;Basic leucine zipper and W2 domain-containing protein 1,A0A087WPF9_MOUSE;A0A087WQS2_MOUSE;BZW1_MOUSE,A0A087WPF9;A0A087WQS2;Q9CQC6,";;transcription, DNA-templated,regulation of transcription, DNA-templated",";;cytoplasm,membrane",";;RNA binding,cadherin binding",0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,9.24529266357422,42.5431785583496,12.6758260726929,30.5301246643066,6.58403921127319,23.3529987335205,8.09814834594727,3.2168185710907
Pdlim2,PDZ and LIM domain protein 2;PDZ and LIM domain protein 2 (Fragment);PDZ and LIM domain protein 2,A0A087WPL1_MOUSE;F7C957_MOUSE;PDLI2_MOUSE,A0A087WPL1;F7C957;Q8R1G6,;;,";;stress fiber,cortical actin cytoskeleton,extracellular exosome",";;filamin binding,myosin heavy chain binding,metal ion binding,muscle alpha-actinin binding",0,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,6.51031970977783,14.1402559280396,3.73792576789856,8.7541618347168,4.71298217773438,11.1283760070801,2.05314421653748,1.71376979351044
Dhx9,ATP-dependent RNA helicase A,A0A087WPL5_MOUSE;E9QNN1_MOUSE,A0A087WPL5;E9QNN1,;,;,;,0,18,20,17,20,18,20,18,0,20,20,20,20,20,20,20,20,52.9356880187988,138.587310791016,41.4668350219727,115.074554443359,45.9474754333496,129.070648193359,50.0212173461914,14.8836698532104
