PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
0.001872606,RBM8,RNA-binding protein 8A,A0A023T672,A0A023T672_MOUSE,,,,3,0,0,3,0,1,1,3,3,3,3,3,3,3,3,3,1.812735796,3.685853243,4.730601788,4.380828381,4.045146465,3.266722202,3.421032429,3.703343868
2.51E-05,Cask,Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK,A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE,";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,6.315576553,4.392596722,6.625750542,5.624111652,6.309533119,6.746953487,6.438370705,3.165344954
2.76E-05,Igkv6-13,Protein Igkv6-13,A0A075B5N7,A0A075B5N7_MOUSE,,,,1,3,0,2,2,0,2,3,3,3,3,3,3,3,3,3,11.60569763,21.69251823,8.761703491,26.37204742,12.68591785,11.10119343,13.51760483,24.14379501
4.73E-09,Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",2,2,1,3,2,1,2,3,3,3,3,3,3,3,3,3,17.38407898,14.02809238,8.012870789,117.9199219,17.24944305,8.110717773,8.346559525,17.70538521
7.08E-06,Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,2,2,3,6,3,2,2,3,6,6,6,6,6,6,6,6,16.57244682,15.21217632,14.07208538,144.7120667,16.17118454,12.11202335,12.76465893,20.40785217
2.21E-11,Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4;A0A0A6YWR2,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,;,;,;,2,4,3,5,3,2,2,2,5,5,5,5,5,5,5,5,15.58004761,22.54061317,22.37215805,186.257843,14.42045975,13.42564487,19.27105522,21.52310181
7.82E-16,Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",5,6,2,6,4,3,5,4,6,6,6,6,6,6,6,6,142.9354401,128.1713104,18.54151154,338.0415039,44.57537079,17.42275238,36.61764526,45.2996788
1.85E-45,Ighm,Ig mu chain C region (Fragment),A0A075B5P6;A0A075B6A0,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE,;,;,;,18,14,15,20,18,12,16,16,23,23,23,23,23,23,23,23,302.2826538,127.655983,103.1289291,1900.585327,223.3502502,117.8997726,104.9249191,133.8296204
0.002615291,Ighv5-17;,Protein Ighv5-17 (Fragment);Ig heavy chain V region MOPC 21 (Fragment),A0A075B5R1;P01783,A0A075B5R1_MOUSE;HVM16_MOUSE,"external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle;plasma membrane","phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation;","antigen binding,immunoglobulin receptor binding;antigen binding",0,0,0,2,1,0,0,0,2,2,2,2,2,2,2,2,4.870706081,5.179056644,3.813383102,6.130827427,3.033674717,3.374224186,3.052010298,2.599540234
2.65E-05,Ighv1-31;Ighv1-42;,Protein Ighv1-31;Protein Ighv1-42;Ig heavy chain V region AC38 205.12,A0A075B5V1;A0A075B5V6;P06330,A0A075B5V1_MOUSE;A0A075B5V6_MOUSE;HVM51_MOUSE,;;,;;,;;antigen binding,0,1,0,1,2,0,0,1,2,2,2,2,2,2,2,2,3.439137459,3.259625435,4.568921089,7.945832253,1.705589414,2.016535282,2.171663523,3.231502295
