PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
,,RBM8,,RNA-binding protein 8A,A0A023T672_MOUSE,4.34E-43,A0A023T672,3,4,4,3,5,5,5,5,63.36673737,26.39681244,72.90931702,46.56872177
";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",";nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome",Magohb;Magoh;Magohb,;RNA binding;RNA binding,Mago nashi protein;Protein mago nashi homolog;Protein mago nashi homolog 2,A0A023T778_MOUSE;MGN_MOUSE;MGN2_MOUSE,1.82E-18,A0A023T778;P61327;Q9CQL1,5,7,7,5,7,7,7,7,187.0379028,320.9343567,248.1172333,202.8690796
";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",Cask,";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK,A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE,1.21E-20,A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,6,4,6,6,7,7,7,7,121.1643753,70.67912292,75.48658752,77.45050049
";immunoglobulin production,immune response",;extracellular space,Igkv8-27,;,Protein Igkv8-27;Protein Igkv8-27 (Fragment),A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE,2.59E-29,A0A075B5N4;A0A0G2JF28,2,3,2,2,3,3,3,3,86.50935364,553.3496704,55.46112442,92.71918488
,,Igkv6-13,,Protein Igkv6-13,A0A075B5N7_MOUSE,7.76E-21,A0A075B5N7,3,3,3,3,3,3,3,3,98.94135284,145.0491486,27.36318588,83.17932129
";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",Igkc;,";antigen binding,immunoglobulin receptor binding",Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2_MOUSE;IGKC_MOUSE,8.38E-15,A0A075B5P2;P01837,4,4,4,4,4,4,4,4,84.18406677,879.6086426,49.95313263,126.4975586
,,Ighg2b,,Protein Ighg2b (Fragment),A0A075B5P3_MOUSE,2.08E-15,A0A075B5P3,3,4,3,4,5,5,5,5,98.45510864,578.3704834,90.03807068,220.1133881
;,;,Ighg1,;,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,3.15E-21,A0A075B5P4;A0A0A6YWR2,4,7,4,4,7,7,7,7,169.1212616,3641.818359,129.2142181,186.7359009
;;,";extracellular region,plasma membrane,integral component of membrane;",Ighg3;;,";antigen binding,immunoglobulin receptor binding;",Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,3.12E-42,A0A075B5P5;P03987;P03987-2,4,5,3,3,5,5,5,5,301.25177,1071.920288,134.8019409,203.6544189
,,Ighm,,Ig mu chain C region (Fragment),A0A075B5P6_MOUSE,1.60E-33,A0A075B5P6,18,25,20,19,9,9,9,9,1070.773193,10996.16406,733.3535156,979.7210083
