PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
RBM8;Rbm8a;Rbm8a;Rbm8a;Rbm8a,RNA-binding protein 8A;RNA-binding protein 8A;RNA-binding protein 8A;RNA-binding protein 8A;Isoform 2 of RNA-binding protein 8A,A0A023T672;A0A0G2JEA9;A0A0G2JFX7;Q9CWZ3;Q9CWZ3-2,A0A023T672_MOUSE;A0A0G2JEA9_MOUSE;A0A0G2JFX7_MOUSE;RBM8A_MOUSE;RBM8A_MOUSE,";;;nucleus,cytoplasm,nuclear speck,dendrite,exon-exon junction complex,neuronal cell body,catalytic step 2 spliceosome;",";;;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,RNA splicing,mRNA transport;",";;;RNA binding,mRNA binding;",0,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,10.084567070007324,4.069344520568848,5.824515342712402,17.70090675354004,8.738887786865234,16.855920791625977,5.320631980895996,Filtered
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",0,3,3,2,3,3,3,2,Filtered,3,3,2,3,3,3,2,Filtered,12.924721717834473,15.506539344787598,5.3139848709106445,53.9167594909668,7.567374229431152,16.453718185424805,2.8443000316619873,Filtered
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,0,4,4,3,4,4,4,2,Filtered,4,4,3,4,4,4,2,Filtered,18.021381378173828,13.541125297546387,12.807256698608398,110.56076049804688,26.38997459411621,35.813655853271484,7.207229137420654,Filtered
Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",0,2,2,1,2,2,2,2,Filtered,2,2,1,2,2,2,2,Filtered,42.98118209838867,23.70540428161621,5.852281093597412,102.94241333007812,10.665908813476562,19.505720138549805,8.588619232177734,Filtered
Ighm,Ig mu chain C region (Fragment),A0A075B5P6;A0A075B6A0,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE,;,;,;,0,17,17,14,18,17,17,15,Filtered,17,17,14,18,17,17,15,Filtered,123.70559692382812,78.07953643798828,45.30498123168945,607.8038940429688,94.86752319335938,68.596435546875,56.37158966064453,Filtered
Ighv1-31;Ighv1-42;,Protein Ighv1-31;Protein Ighv1-42;Ig heavy chain V region AC38 205.12,A0A075B5V1;A0A075B5V6;P06330,A0A075B5V1_MOUSE;A0A075B5V6_MOUSE;HVM51_MOUSE,;;,;;,;;antigen binding,0,1,1,1,2,2,2,Filtered,Filtered,1,1,1,2,2,2,Filtered,Filtered,1.4656726121902466,2.2298402786254883,3.76265025138855,31.10443115234375,7.957052707672119,7.233948707580566,Filtered,Filtered
Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,0,3,3,3,3,3,3,3,Filtered,3,3,3,3,3,3,3,Filtered,11.039997100830078,29.29159927368164,12.326698303222656,25.26578140258789,13.16421127319336,15.363101959228516,11.697760581970215,Filtered
Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WPE4;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WPE4_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;;elongin complex,";;;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;;protein binding,ubiquitin-protein transferase activity",0,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,74.31632232666016,18.077213287353516,73.66656494140625,72.29667663574219,83.94835662841797,90.1403579711914,68.63461303710938,Filtered
Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5;A0A087WRP7;P0CW02,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,";;external side of plasma membrane,anchored component of membrane",;;,;;,0,3,3,3,3,3,3,3,Filtered,3,3,3,3,3,3,3,Filtered,26.504661560058594,30.980409622192383,29.43773078918457,29.33541488647461,23.73531723022461,30.476276397705078,25.43401527404785,Filtered
Uchl5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Fragment);Ubiquitin carboxyl-terminal hydrolase isozyme L5;Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5,A0A087WP81;Q9WUP7;Q9WUP7-2,A0A087WP81_MOUSE;UCHL5_MOUSE;UCHL5_MOUSE,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,Ino80 complex,cytosolic proteasome complex;",";DNA repair,DNA recombination,transcription, DNA-templated,regulation of transcription, DNA-templated,ubiquitin-dependent protein catabolic process,negative regulation of endopeptidase activity,protein deubiquitination,lateral ventricle development,midbrain development,forebrain morphogenesis,regulation of proteasomal protein catabolic process;",";RNA binding,thiol-dependent ubiquitin-specific protease activity,endopeptidase inhibitor activity,proteasome binding;",0,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,15.708252906799316,16.712125778198242,11.364672660827637,17.7629451751709,11.46474838256836,14.375616073608398,5.496514797210693,Filtered
