Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,P16331,P16331,-1.8091996,1.8091996,1.12E-10,2.51E-08,14,P16331,Pah,Phenylalanine-4-hydroxylase,PH4H_MOUSE,32,-71.46508046,0.285349195,Injured,Non-injured,extracellular exosome,"phenylalanine 4-monooxygenase activity,iron ion binding","L-phenylalanine catabolic process,oxidation-reduction process"
Injured / Non-injured,P16332,P16332,-1.043411813,1.043411813,2.15E-10,2.51E-08,14,P16332,Mut,"Methylmalonyl-CoA mutase, mitochondrial",MUTA_MOUSE,23,-51.48212778,0.485178722,Injured,Non-injured,"mitochondrion,mitochondrial matrix","methylmalonyl-CoA mutase activity,cobalamin binding,metal ion binding,modified amino acid binding","post-embryonic development,homocysteine metabolic process"
Injured / Non-injured,P56959;Q8CFQ9,P56959;Q8CFQ9,1.368409338,1.368409338,9.26E-11,2.51E-08,14,P56959;Q8CFQ9,Fus,"RNA-binding protein FUS;Fusion, derived from t(1216) malignant liposarcoma (Human)",FUS_MOUSE;Q8CFQ9_MOUSE,8,158.1857431,2.581857431,Injured,Non-injured,"nucleus,nucleoplasm,cytoplasm,polysome,perikaryon,dendritic spine head,perinuclear region of cytoplasm;","DNA binding,transcription coactivator activity,RNA binding,estrogen receptor binding,myosin V binding,ionotropic glutamate receptor binding,identical protein binding,metal ion binding,retinoid X receptor binding,thyroid hormone receptor binding;","regulation of transcription, DNA-templated,cellular response to calcium ion;"
Injured / Non-injured,Q3THE2,Q3THE2,1.358249453,1.358249453,2.22E-10,2.51E-08,14,Q3THE2,Myl12b,Myosin regulatory light chain 12B,ML12B_MOUSE,12,156.37391,2.5637391,Injured,Non-injured,"stress fiber,brush border,myosin II complex,Z disc,apical part of cell,extracellular exosome,cell cortex region","calcium ion binding,myosin heavy chain binding","regulation of cell shape,platelet aggregation"
Injured / Non-injured,Q91WT7,Q91WT7,-2.347232521,2.347232521,1.75E-10,2.51E-08,14,Q91WT7,Akr1c14,3-alpha-hydroxysteroid dehydrogenase type 1,Q91WT7_MOUSE,19,-80.34773533,0.196522647,Injured,Non-injured,cellular_component,androsterone dehydrogenase activity,"hippocampus development,oxidation-reduction process"
Injured / Non-injured,Q99NB1,Q99NB1,-1.715545833,1.715545833,2.15E-10,2.51E-08,14,Q99NB1,Acss1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",ACS2L_MOUSE,30,-69.55126565,0.304487344,Injured,Non-injured,"mitochondrion,mitochondrial matrix","acetate-CoA ligase activity,ATP binding,AMP binding","acetyl-CoA biosynthetic process,acetate biosynthetic process,acetyl-CoA biosynthetic process from acetate,propionate biosynthetic process"
Injured / Non-injured,Q9JHU4,Q9JHU4,0.612793805,0.612793805,2.18E-10,2.51E-08,14,Q9JHU4,Dync1h1,Cytoplasmic dynein 1 heavy chain 1,DYHC1_MOUSE,173,52.92177014,1.529217701,Injured,Non-injured,"cytoplasm,centrosome,cytoplasmic dynein complex,microtubule,membrane,filopodium,extracellular matrix,extracellular exosome","RNA binding,protein binding,ATP binding,ATP-dependent microtubule motor activity, minus-end-directed,dynein light chain binding,dynein intermediate chain binding,dynein light intermediate chain binding","cilium movement,cytoplasmic microtubule organization,positive regulation of intracellular transport,cytoplasmic mRNA processing body assembly,stress granule assembly,establishment of spindle localization,cell division,regulation of mitotic spindle organization,minus-end-directed vesicle transport along microtubule,regulation of metaphase plate congression,Requires Ontology"
Injured / Non-injured,Q9QXN5,Q9QXN5,-1.89209877,1.89209877,2.97E-10,2.94E-08,14,Q9QXN5,Miox,Inositol oxygenase,MIOX_MOUSE,12,-73.0585159,0.269414841,Injured,Non-injured,"cytoplasm,inclusion body,extracellular exosome","aldo-keto reductase (NADP) activity,ferric iron binding,oxidoreductase activity,oxidoreductase activity, acting on NAD(P)H,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,inositol oxygenase activity","inositol catabolic process,oxidation-reduction process"
Injured / Non-injured,Q3U3J1,Q3U3J1,-1.141717994,1.141717994,8.52E-10,7.50E-08,14,Q3U3J1,Bckdha,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",Q3U3J1_MOUSE,13,-54.67804479,0.453219552,Injured,Non-injured,,,
Injured / Non-injured,P26039,P26039,0.8309594,0.8309594,1.33E-09,1.05E-07,14,P26039,Tln1,Talin-1,TLN1_MOUSE,118,77.88679256,1.778867926,Injured,Non-injured,"ruffle,cytoplasm,cytoskeleton,focal adhesion,cell surface,ruffle membrane,extracellular exosome","phosphatidylserine binding,integrin binding,structural constituent of cytoskeleton,protein binding,vinculin binding,LIM domain binding,phosphatidylinositol binding,cadherin binding,actin filament binding","cytoskeletal anchoring at plasma membrane,cell-substrate junction assembly,integrin-mediated signaling pathway,cortical actin cytoskeleton organization,integrin activation,platelet aggregation"
