PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",3.42E-23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22.81676674,22.50507736,12.97347641,32.77249908,8.185716629,15.72338009,122.7122574,19.27857971
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,1.03E-38,2,2,2,3,2,2,3,3,2,2,2,3,2,2,3,3,34.5382576,60.65476608,15.55488396,52.04527283,20.610569,25.42291451,146.5962067,36.85540771
Ighg1,"Ig gamma-1 chain C region secreted form (Fragment);Ig gamma-1 chain C region secreted form (Fragment);Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region, membrane-bound form",A0A075B5P4;A0A0A6YWR2;P01868;P01869,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE;IGHG1_MOUSE;IGH1M_MOUSE,";;;extracellular space,external side of plasma membrane,integral component of membrane,immunoglobulin complex, circulating,blood microparticle",";;;antibody-dependent cellular cytotoxicity,positive regulation of type IIa hypersensitivity,positive regulation of type I hypersensitivity,humoral immune response mediated by circulating immunoglobulin,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antibacterial humoral response,defense response to bacterium,innate immune response,positive regulation of phagocytosis,positive regulation of immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";;;antigen binding,immunoglobulin receptor binding",4.71E-07,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,14.58711052,15.63459492,27.40781784,15.19342327,8.270926476,10.55009842,225.5989075,12.93902874
Ighm,Ig mu chain C region (Fragment);Ig mu chain C region (Fragment);Ig mu chain C region;Isoform 2 of Ig mu chain C region,A0A075B5P6;A0A075B6A0;P01872;P01872-2,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,";;extracellular space,cytosol,plasma membrane,external side of plasma membrane,cell surface,membrane,integral component of membrane,B cell receptor complex,immunoglobulin complex, circulating,perinuclear region of cytoplasm,blood microparticle;",";;activation of MAPK activity,B cell affinity maturation,humoral immune response mediated by circulating immunoglobulin,regulation of immunoglobulin production,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antigen processing and presentation,regulation of cell morphogenesis,positive regulation of B cell proliferation,positive regulation of MAPK cascade,early endosome to late endosome transport,innate immune response,positive regulation of endocytosis,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of immune response,defense response to Gram-negative bacterium,B cell receptor signaling pathway,positive regulation of B cell activation;",";;antigen binding,transmembrane signaling receptor activity,protein binding,immunoglobulin receptor binding,identical protein binding;",4.37E-35,9,9,7,8,7,6,10,9,9,9,7,8,7,6,10,9,162.5662689,83.22156525,61.51104355,81.23561096,75.91020203,57.85317993,764.4539185,134.8621674
Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",6.54E-14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,85.76261139,134.9614868,96.79670715,155.1234436,104.5433044,152.7366638,115.3174591,96.78197479
Abhd14b,Protein ABHD14B (Fragment);Protein ABHD14B (Fragment);Protein ABHD14B (Fragment);Protein ABHD14B,A0A087WPF8;A0A087WQN8;A0A087WSR2;E9QN99,A0A087WPF8_MOUSE;A0A087WQN8_MOUSE;A0A087WSR2_MOUSE;E9QN99_MOUSE,;;;,;;;,;;;,9.51E-70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1098.092529,595.0640259,1070.088989,614.0361328,1103.235352,550.8960571,120.1925201,1086.117554
Dhx9,ATP-dependent RNA helicase A,A0A087WPL5;E9QNN1,A0A087WPL5_MOUSE;E9QNN1_MOUSE,;,;,;,1.90E-66,14,15,14,15,15,16,16,15,14,15,14,15,15,16,16,15,94.11728668,218.9438171,101.0649109,171.2730255,85.1044693,299.5429993,173.030777,97.2901001
2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,9.71E-23,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,2,25.35325623,18.09535408,20.07632828,25.85523033,15.50688076,15.80571556,Filtered,8.374052048
Tns1,Protein Tns1 (Fragment);Protein Tns1;Protein Tns1;Protein Tns1 (Fragment);Protein Tns1;Protein Tns1,A0A087WQ94;A0A087WQM0;A0A087WQS0;A0A087WRU0;A0A1D5RM59;E9Q0S6,A0A087WQ94_MOUSE;A0A087WQM0_MOUSE;A0A087WQS0_MOUSE;A0A087WRU0_MOUSE;A0A1D5RM59_MOUSE;E9Q0S6_MOUSE,";;;;;intracellular,focal adhesion,cell-substrate junction",";;;;;cell-substrate junction assembly,fibroblast migration,intracellular signal transduction",";;;;;RNA binding,actin binding",4.84E-51,13,13,13,13,13,13,12,13,13,13,13,13,13,13,12,13,45.33244324,79.76379395,44.42998505,88.66455841,53.49528885,86.05583191,31.82018471,38.19223785
Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,A0A087WQS2_MOUSE;BZW1_MOUSE,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",1.94E-52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,98.01590729,122.155426,128.6215973,178.3025055,102.6716461,148.1015625,89.60498047,43.55979156
Fn1,Fibronectin,A0A087WR50;P11276;Q3UHL6,A0A087WR50_MOUSE;FINC_MOUSE;Q3UHL6_MOUSE,";fibrinogen complex,proteinaceous extracellular matrix,basement membrane,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,extracellular exosome,blood microparticle;",";angiogenesis,regulation of protein phosphorylation,acute-phase response,cell-substrate junction assembly,cell adhesion,cell-matrix adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,interaction with symbiont,interaction with other organism via secreted substance involved in symbiotic interaction,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion;",";protease binding,receptor binding,integrin binding,protein binding,protein C-terminus binding,heparin binding,peptidase activator activity,enzyme binding,identical protein binding,chaperone binding,disordered domain specific binding;",1.02E-56,61,71,51,71,64,71,71,49,61,71,51,71,64,71,71,49,114.8971329,272.8143921,68.28456116,371.6919556,160.6792603,553.2891846,2290.051514,64.05387878
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",1.50E-50,7,7,7,7,7,7,5,7,7,7,7,7,7,7,5,7,115.2323608,54.27724075,123.8028259,56.93926239,120.5218735,20.41359329,23.72589493,152.4731445
Col6a3,Protein Col6a3,A0A087WS16;E9PWQ3;J3QQ16,A0A087WS16_MOUSE;E9PWQ3_MOUSE;J3QQ16_MOUSE,";proteinaceous extracellular matrix,collagen trimer,extracellular space,extracellular matrix,sarcolemma,extracellular exosome,extracellular vesicle;",;negative regulation of endopeptidase activity;,;serine-type endopeptidase inhibitor activity;,2.18E-50,32,32,28,32,30,31,32,22,32,32,28,32,30,31,32,22,83.5315094,138.6765289,85.20228577,111.6624603,74.71890259,134.3913879,417.3022461,31.62768173
Eef1b2;Eef1b,Elongation factor 1-beta,A0A087WS46;O70251,A0A087WS46_MOUSE;EF1B_MOUSE,";cytoplasm,eukaryotic translation elongation factor 1 complex,endoplasmic reticulum",";translational elongation,response to ethanol",";translation elongation factor activity,protein binding",3.14E-26,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,121.8401184,221.7108612,79.15894318,227.160675,111.9966507,251.0765991,199.1047668,81.65252686
Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68;Q60759,A0A0A0MQ68_MOUSE;GCDH_MOUSE,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",1.46E-54,12,12,12,12,12,11,12,12,12,12,12,12,12,11,12,12,480.6743774,292.8982544,545.829834,229.099823,452.7962646,181.8610535,204.0731812,573.4762573
