PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Magohb;Magohb;Magoh;Magohb,Mago nashi protein;Protein mago nashi homolog 2;Protein mago nashi homolog;Protein mago nashi homolog 2,A0A023T778;G3UZW7;P61327;Q9CQL1,A0A023T778_MOUSE;G3UZW7_MOUSE;MGN_MOUSE;MGN2_MOUSE,";;nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome",";;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",;;RNA binding;RNA binding,9.853643710101755E-57,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,46.880916595458984,117.05477142333984,35.19432830810547,183.07012939453125,28.12534523010254,89.49356079101562,172.4061279296875,127.6683120727539
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",1.1008645522419028E-48,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,24.22355842590332,19.137638092041016,10.084145545959473,151.13043212890625,19.556461334228516,7.943388938903809,7.566860675811768,22.592575073242188
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,1.7572781786951442E-52,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,3,23.8062744140625,32.40217590332031,15.051169395446777,135.6856689453125,33.115360260009766,7.555202007293701,15.003907203674316,46.53636932373047
Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4;A0A0A6YWR2,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,;,;,;,2.594931080128195E-38,3,3,3,4,2,2,3,3,3,3,3,4,2,2,3,3,47.787330627441406,70.337158203125,126.99832916259766,1363.7872314453125,41.271331787109375,31.336864471435547,44.34910202026367,53.858943939208984
Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",8.66271255316696E-49,4,4,3,4,3,4,2,2,4,4,3,4,3,4,2,2,43.862579345703125,50.32746505737305,9.296195983886719,129.0629425048828,16.95831298828125,8.40408992767334,19.172922134399414,23.082706451416016
Ighm,Ig mu chain C region (Fragment);Ig mu chain C region (Fragment);Ig mu chain C region;Isoform 2 of Ig mu chain C region,A0A075B5P6;A0A075B6A0;P01872;P01872-2,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,";;extracellular space,cytosol,plasma membrane,external side of plasma membrane,cell surface,membrane,integral component of membrane,B cell receptor complex,immunoglobulin complex, circulating,perinuclear region of cytoplasm,blood microparticle;",";;activation of MAPK activity,B cell affinity maturation,humoral immune response mediated by circulating immunoglobulin,regulation of immunoglobulin production,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antigen processing and presentation,regulation of cell morphogenesis,positive regulation of B cell proliferation,positive regulation of MAPK cascade,early endosome to late endosome transport,innate immune response,positive regulation of endocytosis,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of immune response,defense response to Gram-negative bacterium,B cell receptor signaling pathway,positive regulation of B cell activation;",";;antigen binding,transmembrane signaling receptor activity,protein binding,immunoglobulin receptor binding,identical protein binding;",4.0611892781517375E-65,17,16,16,18,16,17,17,17,17,16,16,18,16,17,17,17,578.787841796875,235.62490844726562,199.20382690429688,2860.18359375,386.50628662109375,219.64317321777344,169.69265747070312,231.42274475097656
Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,9.20334310998325E-49,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31.366069793701172,34.671539306640625,20.21710777282715,39.82308578491211,19.963720321655273,19.801050186157227,25.396682739257812,34.48582458496094
Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",2.099180240165785E-54,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,45.90006637573242,67.27515411376953,38.2420654296875,47.5216064453125,60.677276611328125,39.225040435791016,85.00291442871094,61.11753845214844
Ktn1,Kinectin,A0A087WNW3;A0A087WP14;A0A087WP48;A0A087WP85;A0A087WPW5;A0A087WPX0;A0A087WQ25;A0A087WQD0;A0A087WQF8;A0A087WQG4;A0A087WQI3;A0A087WQQ5;A0A087WRS1;A0A087WS04;A0A087WS23;A0A087WS29;F8VQC7,A0A087WNW3_MOUSE;A0A087WP14_MOUSE;A0A087WP48_MOUSE;A0A087WP85_MOUSE;A0A087WPW5_MOUSE;A0A087WPX0_MOUSE;A0A087WQ25_MOUSE;A0A087WQD0_MOUSE;A0A087WQF8_MOUSE;A0A087WQG4_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;A0A087WS04_MOUSE;A0A087WS23_MOUSE;A0A087WS29_MOUSE;F8VQC7_MOUSE,;;;;;;;;;;;;;;;;,;;;;;;;;;;;;;;;;,;;;;;;;;;;;;;;;;,2.3451732770087436E-16,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,26.614572525024414,2.9713082313537598,12.453210830688477,30.366668701171875,16.401464462280273,10.527420997619629,5.264497756958008,4.883110523223877
Bzw1,Basic leucine zipper and W2 domain-containing protein 1 (Fragment);Basic leucine zipper and W2 domain-containing protein 1;Basic leucine zipper and W2 domain-containing protein 1,A0A087WPF9;A0A087WQS2;Q9CQC6,A0A087WPF9_MOUSE;A0A087WQS2_MOUSE;BZW1_MOUSE,";;cytoplasm,membrane",";;transcription, DNA-templated,regulation of transcription, DNA-templated",";;RNA binding,cadherin binding",9.224120236220352E-37,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36.573272705078125,107.23760986328125,40.617431640625,66.71737670898438,59.10420227050781,24.139354705810547,103.15113830566406,85.69307708740234
