Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,P50171;P50171-2,P50171;P50171-2,-1.40379365,1.40379365,9.03E-14,1.17E-11,16,P50171;P50171-2,Hsd17b8,Estradiol 17-beta-dehydrogenase 8;Isoform Long of Estradiol 17-beta-dehydrogenase 8,DHB8_MOUSE,9,-62.20659654,0.377934035,Injured,Non-injured,"mitochondrion,mitochondrial envelope,mitochondrial matrix,plasma membrane,membrane;","3-hydroxyacyl-CoA dehydrogenase activity,estradiol 17-beta-dehydrogenase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,testosterone dehydrogenase (NAD+) activity,NADH binding;","fatty acid biosynthetic process,estrogen biosynthetic process,androgen metabolic process,estrogen metabolic process,protein heterotetramerization,oxidation-reduction process;"
Injured / Non-injured,Q9QXD1,Q9QXD1,-2.358712008,2.358712008,1.82E-13,1.18E-11,16,Q9QXD1,Acox2,Peroxisomal acyl-coenzyme A oxidase 2,ACOX2_MOUSE,10,-80.50348741,0.194965126,Injured,Non-injured,"mitochondrion,peroxisome,intracellular membrane-bounded organelle","acyl-CoA dehydrogenase activity,acyl-CoA oxidase activity,receptor binding,3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity,protein homodimerization activity,flavin adenine dinucleotide binding,FAD binding","positive regulation of cell death,fatty acid beta-oxidation using acyl-CoA dehydrogenase,fatty acid beta-oxidation using acyl-CoA oxidase,positive regulation of response to oxidative stress"
Injured / Non-injured,P54071,P54071,-1.437204667,1.437204667,3.49E-13,1.51E-11,16,P54071,Idh2,"Isocitrate dehydrogenase [NADP], mitochondrial",IDHP_MOUSE,25,-63.07178757,0.369282124,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,peroxisome,cytosol,extracellular exosome","magnesium ion binding,isocitrate dehydrogenase activity,isocitrate dehydrogenase (NADP+) activity,NAD binding","glyoxylate cycle,tricarboxylic acid cycle,isocitrate metabolic process,2-oxoglutarate metabolic process,NADP biosynthetic process,negative regulation of glial cell proliferation,negative regulation of glial cell migration,negative regulation of matrix metallopeptidase secretion"
Injured / Non-injured,Q99NB1,Q99NB1,-2.217008084,2.217008084,6.84E-13,2.22E-11,16,Q99NB1,Acss1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",ACS2L_MOUSE,23,-78.49130476,0.215086952,Injured,Non-injured,"mitochondrion,mitochondrial matrix","acetate-CoA ligase activity,ATP binding,AMP binding","acetyl-CoA biosynthetic process,acetate biosynthetic process,acetyl-CoA biosynthetic process from acetate,propionate biosynthetic process"
Injured / Non-injured,O09174,O09174,-2.130630642,2.130630642,1.11E-12,2.48E-11,16,O09174,Amacr,Alpha-methylacyl-CoA racemase,AMACR_MOUSE,15,-77.1641981,0.228358019,Injured,Non-injured,"cytoplasm,mitochondrion,peroxisome,plasma membrane,intracellular membrane-bounded organelle","receptor binding,alpha-methylacyl-CoA racemase activity","fatty acid metabolic process,bile acid biosynthetic process,bile acid metabolic process,isoprenoid catabolic process"
Injured / Non-injured,Q9D2R0,Q9D2R0,-2.3062357,2.3062357,1.18E-12,2.48E-11,16,Q9D2R0,Aacs,Acetoacetyl-CoA synthetase,AACS_MOUSE,8,-79.78126979,0.202187302,Injured,Non-injured,cytosol,"ATP binding,acetoacetate-CoA ligase activity,butyrate-CoA ligase activity","liver development,fatty acid metabolic process,response to nutrient,response to purine-containing compound,positive regulation of insulin secretion,response to oleic acid,response to drug,response to starvation,response to ethanol,white fat cell differentiation,adipose tissue development,cellular response to glucose stimulus,cellular response to testosterone stimulus,cellular response to cholesterol"
Injured / Non-injured,Q9DBT9,Q9DBT9,-1.70444326,1.70444326,1.33E-12,2.48E-11,16,Q9DBT9,Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial",M2GD_MOUSE,16,-69.31603682,0.306839632,Injured,Non-injured,"mitochondrion,mitochondrial matrix","RNA binding,dimethylglycine dehydrogenase activity","amino-acid betaine catabolic process,choline catabolic process,oxidation-reduction process"
Injured / Non-injured,Q922B1,Q922B1,-1.997556983,1.997556983,3.89E-12,6.32E-11,16,Q922B1,Macrod1,O-acetyl-ADP-ribose deacetylase MACROD1,MACD1_MOUSE,3,-74.95762988,0.250423701,Injured,Non-injured,"nucleus,nucleoplasm,mitochondrion","hydrolase activity, acting on glycosyl bonds,deacetylase activity","cellular response to DNA damage stimulus,purine nucleoside metabolic process,protein de-ADP-ribosylation"
Injured / Non-injured,A0A0R4J0P1;Q9D7B6,A0A0R4J0P1;Q9D7B6,-1.628422243,1.628422243,8.63E-12,7.52E-11,16,A0A0R4J0P1;Q9D7B6,Acad8,"Acyl-Coenzyme A dehydrogenase family, member 8;Isobutyryl-CoA dehydrogenase, mitochondrial",A0A0R4J0P1_MOUSE;ACAD8_MOUSE,17,-67.65582641,0.323441736,Injured,Non-injured,;mitochondrion,";acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",";valine catabolic process,lipid metabolic process,oxidation-reduction process"
Injured / Non-injured,D3Z7X0,D3Z7X0,-1.835764377,1.835764377,5.89E-12,7.52E-11,16,D3Z7X0,Acad12,MCG142036,D3Z7X0_MOUSE,7,-71.98569468,0.280143053,Injured,Non-injured,mitochondrion,"acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",fatty acid beta-oxidation using acyl-CoA dehydrogenase
