Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,P54071,P54071,-1.452999568,1.452999568,6.67E-14,6.10E-12,16,P54071,Idh2,"Isocitrate dehydrogenase [NADP], mitochondrial",IDHP_MOUSE,25,-63.47387959,0.365261204,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,peroxisome,cytosol,extracellular exosome","magnesium ion binding,isocitrate dehydrogenase activity,isocitrate dehydrogenase (NADP+) activity,NAD binding","glyoxylate cycle,tricarboxylic acid cycle,isocitrate metabolic process,2-oxoglutarate metabolic process,NADP biosynthetic process,negative regulation of glial cell proliferation,negative regulation of glial cell migration,negative regulation of matrix metallopeptidase secretion"
Injured / Non-injured,Q3U3J1,Q3U3J1,-1.837438623,1.837438623,8.13E-14,6.10E-12,16,Q3U3J1,Bckdha,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",Q3U3J1_MOUSE,8,-72.01818639,0.279818136,Injured,Non-injured,,,
Injured / Non-injured,P15864,P15864,0.924431911,0.924431911,2.42E-13,1.21E-11,16,P15864,Hist1h1c,Histone H1.2,H12_MOUSE,2,89.79367455,1.897936746,Injured,Non-injured,"nucleosome,nucleus,nuclear euchromatin,transcriptionally active chromatin","DNA binding,RNA binding,protein binding,chromatin DNA binding","negative regulation of transcription from RNA polymerase II promoter,nucleosome assembly,regulation of transcription from RNA polymerase II promoter,nucleosome positioning,histone H3-K4 trimethylation,histone H3-K27 trimethylation"
Injured / Non-injured,P40936,P40936,-2.082675245,2.082675245,1.56E-12,3.00E-11,16,P40936,Inmt,Indolethylamine N-methyltransferase,INMT_MOUSE,12,-76.39237597,0.23607624,Injured,Non-injured,cytosol,"thioether S-methyltransferase activity,amine N-methyltransferase activity,dimethyl selenide methyltransferase activity,Requires Ontology","selenium compound metabolic process,amine metabolic process,response to toxic substance,methylation"
Injured / Non-injured,P50171;P50171-2,P50171;P50171-2,-1.416795323,1.416795323,1.54E-12,3.00E-11,16,P50171;P50171-2,Hsd17b8,Estradiol 17-beta-dehydrogenase 8;Isoform Long of Estradiol 17-beta-dehydrogenase 8,DHB8_MOUSE,10,-62.54566333,0.374543367,Injured,Non-injured,"mitochondrion,mitochondrial envelope,mitochondrial matrix,plasma membrane,membrane;","3-hydroxyacyl-CoA dehydrogenase activity,estradiol 17-beta-dehydrogenase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,testosterone dehydrogenase (NAD+) activity,NADH binding;","fatty acid biosynthetic process,estrogen biosynthetic process,androgen metabolic process,estrogen metabolic process,protein heterotetramerization,oxidation-reduction process;"
Injured / Non-injured,P58281;P58281-2,P58281;P58281-2,-1.236670723,1.236670723,1.60E-12,3.00E-11,16,P58281;P58281-2,Opa1,"Dynamin-like 120 kDa protein, mitochondrial;Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial",OPA1_MOUSE,18,-57.56492076,0.424350792,Injured,Non-injured,"nucleoplasm,mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,mitochondrial intermembrane space,cytosol,membrane,integral component of membrane,mitochondrial crista,dendrite;","GTPase activity,protein binding,GTP binding,microtubule binding,phosphatidic acid binding,cardiolipin binding;","mitochondrial genome maintenance,mitochondrial fission,neural tube closure,dynamin family protein polymerization involved in mitochondrial fission,apoptotic process,mitochondrion organization,inner mitochondrial membrane organization,visual perception,mitochondrial fusion,GTP metabolic process,protein oligomerization,negative regulation of release of cytochrome c from mitochondria,cellular senescence,Requires Ontology,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,negative regulation of intrinsic apoptotic signaling pathway;"
Injured / Non-injured,Q3ULD5,Q3ULD5,-1.461244481,1.461244481,1.26E-12,3.00E-11,16,Q3ULD5,Mccc2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCB_MOUSE,25,-63.68202877,0.363179712,Injured,Non-injured,"mitochondrion,mitochondrial matrix,methylcrotonoyl-CoA carboxylase complex","ATP binding,methylcrotonoyl-CoA carboxylase activity","leucine catabolic process,coenzyme A metabolic process"
Injured / Non-injured,Q80XN0,Q80XN0,-2.189842269,2.189842269,9.25E-13,3.00E-11,16,Q80XN0,Bdh1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",BDH_MOUSE,16,-78.08246084,0.219175392,Injured,Non-injured,"nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,matrix side of mitochondrial inner membrane",3-hydroxybutyrate dehydrogenase activity,oxidation-reduction process
Injured / Non-injured,Q9DBT9,Q9DBT9,-1.626666876,1.626666876,2.77E-12,4.61E-11,16,Q9DBT9,Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial",M2GD_MOUSE,19,-67.6164484,0.323835516,Injured,Non-injured,"mitochondrion,mitochondrial matrix","RNA binding,dimethylglycine dehydrogenase activity","amino-acid betaine catabolic process,choline catabolic process,oxidation-reduction process"
Injured / Non-injured,Q91VT4,Q91VT4,-1.579369912,1.579369912,3.57E-12,5.36E-11,16,Q91VT4,Cbr4,Carbonyl reductase family member 4,CBR4_MOUSE,7,-66.53719966,0.334628003,Injured,Non-injured,"mitochondrion,mitochondrial matrix,oxidoreductase complex","NAD(P)H dehydrogenase (quinone) activity,NADPH dehydrogenase (quinone) activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,quinone binding,NADPH binding","fatty acid biosynthetic process,daunorubicin metabolic process,doxorubicin metabolic process,protein homotetramerization,protein heterotetramerization,oxidation-reduction process"
