PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity
,,RBM8,,RNA-binding protein 8A,A0A023T672_MOUSE,1.21E-42,A0A023T672,2,2,3,2,3,3,3,3,11.27260113,17.83255386,20.71350288,14.23232841
";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",";nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome",Magohb;Magoh;Magohb,;RNA binding;RNA binding,Mago nashi protein;Protein mago nashi homolog;Protein mago nashi homolog 2,A0A023T778_MOUSE;MGN_MOUSE;MGN2_MOUSE,2.42E-17,A0A023T778;P61327;Q9CQL1,4,5,5,3,5,5,5,5,90.63661957,76.42184448,53.49135971,146.1364746
";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",Cask,";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK,A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE,2.81E-26,A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,7,8,7,8,7,7,7,7,116.4011612,90.72597504,103.8527222,63.35288239
";immunoglobulin production,immune response;;",;extracellular space;;,Igkv8-27;Igkv8-27;Igkv8-30;Igkv8-21,;;;,Protein Igkv8-27;Protein Igkv8-27 (Fragment);Protein Igkv8-30 (Fragment);Protein Igkv8-21 (Fragment),A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE;A0A140T8M3_MOUSE;A0A140T8P7_MOUSE,7.37E-56,A0A075B5N4;A0A0G2JF28;A0A140T8M3;A0A140T8P7,2,2,2,2,2,2,2,2,54.43769836,13.72892952,27.13803291,29.23783875
,,Igkv6-13,,Protein Igkv6-13,A0A075B5N7_MOUSE,1.29E-22,A0A075B5N7,2,1,3,0,3,3,3,3,284.4104004,15.74840736,151.7274323,171.4812164
";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",Igkc;,";antigen binding,immunoglobulin receptor binding",Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2_MOUSE;IGKC_MOUSE,7.13E-38,A0A075B5P2;P01837,4,3,4,3,4,4,4,4,109.4036179,37.61584854,81.30262756,40.41426849
,,Ighg2b,,Protein Ighg2b (Fragment),A0A075B5P3_MOUSE,4.33E-15,A0A075B5P3,4,2,3,2,4,4,4,4,64.87307739,29.56708527,113.9068298,24.31321907
;,;,Ighg1,;,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,4.20E-05,A0A075B5P4;A0A0A6YWR2,3,4,3,4,5,5,5,5,121.5779572,281.9856567,97.99607086,73.89859772
;;,";extracellular region,plasma membrane,integral component of membrane;",Ighg3;;,";antigen binding,immunoglobulin receptor binding;",Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,4.74E-27,A0A075B5P5;P03987;P03987-2,4,2,3,2,4,4,4,4,457.8763123,85.28783417,145.4284821,186.0618591
,,Ighm,,Ig mu chain C region (Fragment),A0A075B5P6_MOUSE,2.04E-27,A0A075B5P6,22,17,20,17,8,8,8,8,2215.249268,698.453064,1535.53418,775.3303833
