"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"1","rbm8","RNA-binding protein 8A","A0A023T672","A0A023T672_MOUSE","","","",0.000473098,"1","1","1","2","1","3","1","1","1","1","1","2","0","3","0","1","3.79978323","8.188428879","8.933682442","3.341875792","NaN","7.717067242","NaN","2.362363815"
"2","magohb;magoh;magohb","Mago nashi protein;Protein mago nashi homolog;Protein mago nashi homolog 2","A0A023T778;P61327;Q9CQL1","A0A023T778_MOUSE;MGN_MOUSE;MGN2_MOUSE",";nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome",";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",";RNA binding;RNA binding",4.47e-35,"2","3","1","4","1","5","3","2","2","3","1","4","1","5","3","2","13.89699364","13.43446732","13.52273464","31.75396156","15.66993713","36.64899445","19.0286293","40.16742325"
"3","cask","Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK","A0A067XG53;O70589;O70589-3;O70589-4;O70589-5","A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE",";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",1.96e-19,"2","4","2","4","3","4","2","5","2","4","2","4","3","4","2","5","12.71663475","15.48651218","21.60518646","12.36347961","14.48194122","9.605545998","14.18257236","7.648048401"
"4","igkv8-27","Protein Igkv8-27;Protein Igkv8-27 (Fragment)","A0A075B5N4;A0A0G2JF28","A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE",";extracellular space",";immunoglobulin production,immune response",";",2.99e-23,"Filtered","1","1","2","Filtered","1","3","1","Filtered","1","1","2","Filtered","1","3","1","Filtered","18.65107536","11.38400078","26.26126862","Filtered","8.870038986","103.6264038","8.867310524"
"5","igkv6-13","Protein Igkv6-13","A0A075B5N7","A0A075B5N7_MOUSE","","","",4.78e-05,"1","2","1","2","Filtered","1","1","2","1","2","1","2","Filtered","1","1","2","13.73318672","9.456536293","5.442703247","18.13251877","Filtered","12.52677345","35.78695679","14.68658161"
"6","igkc;","Protein Igkc (Fragment);Ig kappa chain C region","A0A075B5P2;P01837","A0A075B5P2_MOUSE;IGKC_MOUSE",";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",2.87e-62,"2","3","2","3","1","3","4","2","2","3","2","3","1","3","4","2","26.35824585","20.29296303","11.32363892","29.88329315","10.23887157","12.59932232","123.2148132","16.0880146"
"7","ighg2b","Protein Ighg2b (Fragment)","A0A075B5P3","A0A075B5P3_MOUSE","","","",1.49e-24,"3","3","2","4","2","3","4","2","3","3","2","4","2","3","4","2","25.65958786","43.81298065","13.20089722","48.44652557","19.38630867","19.66027832","118.875946","30.60356522"
"8","ighg1","Ig gamma-1 chain C region secreted form (Fragment)","A0A075B5P4;A0A0A6YWR2","A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE",";",";",";",1.01e-18,"2","2","3","3","3","4","7","2","2","2","3","3","3","4","7","2","22.36310577","31.49716949","45.71471405","20.99057007","13.67476749","29.1937294","455.2511902","10.75683212"
"9","ighg3;;","Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region","A0A075B5P5;P03987;P03987-2","A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE",";extracellular region,plasma membrane,integral component of membrane;",";;",";antigen binding,immunoglobulin receptor binding;",3.47e-05,"3","3","Filtered","3","Filtered","Filtered","4","Filtered","3","3","Filtered","3","Filtered","Filtered","4","Filtered","29.55511093","44.31413269","Filtered","16.85585403","Filtered","Filtered","50.25106049","Filtered"
"10","ighm","Ig mu chain C region (Fragment)","A0A075B5P6;A0A075B6A0","A0A075B5P6_MOUSE;A0A075B6A0_MOUSE",";",";",";",6.63e-55,"15","13","10","16","11","11","21","14","15","13","10","16","11","11","21","14","227.3965607","94.44450378","69.91751862","104.9132996","92.60261536","73.74649048","1028.762695","158.6244812"
