Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-Injured,Q91WT7,Q91WT7,-2.352334358,2.352334358,2.42E-11,1.46E-08,16,Q91WT7,Akr1c14,3-alpha-hydroxysteroid dehydrogenase type 1,Q91WT7_MOUSE,18,-80.41710936,0.195828906,Injured,Non-Injured,cellular_component,androsterone dehydrogenase activity,"hippocampus development,oxidation-reduction process"
Injured / Non-Injured,Q9DC50,Q9DC50,-2.27524072,2.27524072,1.06E-10,3.19E-08,16,Q9DC50,Crot,Peroxisomal carnitine O-octanoyltransferase,OCTC_MOUSE,29,-79.34218918,0.206578108,Injured,Non-Injured,"mitochondrion,peroxisome,intracellular membrane-bounded organelle","receptor binding,carnitine O-octanoyltransferase activity","generation of precursor metabolites and energy,fatty acid metabolic process,fatty acid beta-oxidation,carnitine metabolic process,fatty acid transport,coenzyme A metabolic process,medium-chain fatty acid metabolic process"
Injured / Non-Injured,P40936,P40936,-2.167238419,2.167238419,2.82E-10,5.68E-08,16,P40936,Inmt,Indolethylamine N-methyltransferase,INMT_MOUSE,12,-77.73635707,0.222636429,Injured,Non-Injured,cytosol,"thioether S-methyltransferase activity,amine N-methyltransferase activity,dimethyl selenide methyltransferase activity,Requires Ontology","selenium compound metabolic process,amine metabolic process,response to toxic substance,methylation"
Injured / Non-Injured,A0A0R4J050;Q99JW2,A0A0R4J050;Q99JW2,-2.40746912,2.40746912,4.26E-10,6.43E-08,16,A0A0R4J050;Q99JW2,Acy1,Aminoacylase-1,A0A0R4J050_MOUSE;ACY1_MOUSE,18,-81.15137902,0.18848621,Injured,Non-Injured,";cytoplasm,extracellular exosome",";aminoacylase activity,metallopeptidase activity,identical protein binding,metal ion binding",";proteolysis,cellular amino acid metabolic process"
Injured / Non-Injured,P08249,P08249,-0.740591626,0.740591626,6.21E-10,7.50E-08,16,P08249,Mdh2,"Malate dehydrogenase, mitochondrial",MDHM_MOUSE,21,-40.15061309,0.598493869,Injured,Non-Injured,"nucleus,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,membrane,myelin sheath,extracellular exosome","RNA binding,malate dehydrogenase activity,L-malate dehydrogenase activity,protein homodimerization activity,protein self-association,malate dehydrogenase (NADP+) activity","carbohydrate metabolic process,tricarboxylic acid cycle,oxaloacetate metabolic process,malate metabolic process,internal protein amino acid acetylation,NADH metabolic process,aerobic respiration"
Injured / Non-Injured,Q3UNX5;Q3UNX5-2,Q3UNX5;Q3UNX5-2,-2.092950936,2.092950936,9.75E-10,9.15E-08,16,Q3UNX5;Q3UNX5-2,Acsm3,"Acyl-coenzyme A synthetase ACSM3, mitochondrial;Isoform 2 of Acyl-coenzyme A synthetase ACSM3, mitochondrial",ACSM3_MOUSE,25,-76.55992544,0.234400746,Injured,Non-Injured,"mitochondrion,mitochondrial matrix;","acyl-CoA ligase activity,fatty-acyl-CoA synthase activity,ATP binding,fatty acid ligase activity,metal ion binding,butyrate-CoA ligase activity;","fatty acid biosynthetic process,fatty acid beta-oxidation,acyl-CoA metabolic process;"
Injured / Non-Injured,Q9QXN5,Q9QXN5,-2.385756825,2.385756825,1.06E-09,9.15E-08,16,Q9QXN5,Miox,Inositol oxygenase,MIOX_MOUSE,9,-80.86556542,0.191344346,Injured,Non-Injured,"cytoplasm,inclusion body,extracellular exosome","aldo-keto reductase (NADP) activity,ferric iron binding,oxidoreductase activity,oxidoreductase activity, acting on NAD(P)H,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,inositol oxygenase activity","inositol catabolic process,oxidation-reduction process"
Injured / Non-Injured,Q8K023;Q8K023-2,Q8K023;Q8K023-2,-2.192620876,2.192620876,2.58E-09,1.95E-07,16,Q8K023;Q8K023-2,Akr1c18,Aldo-keto reductase family 1 member C18;Isoform 2 of Aldo-keto reductase family 1 member C18,AKC1H_MOUSE,7,-78.12463303,0.21875367,Injured,Non-Injured,"intracellular,nucleus,cytoplasm,cytosol,extracellular exosome;","retinal dehydrogenase activity,alditol:NADP+ 1-oxidoreductase activity,retinol dehydrogenase activity,oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor,phenanthrene 9,10-monooxygenase activity,dihydrotestosterone 17-beta-dehydrogenase activity,geranylgeranyl reductase activity,ketoreductase activity,17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity,15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity,androsterone dehydrogenase activity,ketosteroid monooxygenase activity,delta4-3-oxosteroid 5beta-reductase activity;","protein import into nucleus, translocation,progesterone catabolic process,G-protein coupled receptor signaling pathway,female pregnancy,parturition,positive regulation of cell proliferation,positive regulation of cell death,farnesol catabolic process,cellular response to reactive oxygen species,progesterone metabolic process,retinal metabolic process,daunorubicin metabolic process,doxorubicin metabolic process,regulation of retinoic acid receptor signaling pathway,positive regulation of protein kinase B signaling,oxidation-reduction process,testosterone biosynthetic process,cellular response to cadmium ion,cellular response to calcium ion,cellular response to follicle-stimulating hormone stimulus,cellular response to prostaglandin stimulus,cellular response to corticosteroid stimulus,cellular response to testosterone stimulus,cellular response to jasmonic acid stimulus,cellular response to transforming growth factor beta stimulus,cellular response to prostaglandin D stimulus,cellular response to gonadotropin-releasing hormone,negative regulation of retinoic acid biosynthetic process,cellular response to forskolin,cellular response to prolactin,regulation of testosterone biosynthetic process,positive regulation of endothelial cell apoptotic process,positive regulation of reactive oxygen species metabolic process;"
Injured / Non-Injured,Q9DBE0,Q9DBE0,-2.333004129,2.333004129,3.40E-09,2.28E-07,16,Q9DBE0,Csad,Cysteine sulfinic acid decarboxylase,CSAD_MOUSE,16,-80.15295852,0.198470415,Injured,Non-Injured,cellular_component,"sulfinoalanine decarboxylase activity,carboxy-lyase activity,pyridoxal phosphate binding","L-cysteine catabolic process to taurine,taurine metabolic process,taurine biosynthetic process"
Injured / Non-Injured,P12658,P12658,-2.470122034,2.470122034,5.34E-09,3.23E-07,16,P12658,Calb1,Calbindin,CALB1_MOUSE,17,-81.95241172,0.180475883,Injured,Non-Injured,"intracellular,nucleus,cytoplasm,cytosol,axon,dendrite,neuron projection,neuronal cell body,terminal bouton,dendritic spine,cell body,synapse,extracellular exosome","vitamin D binding,calcium ion binding,zinc ion binding,calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration","short-term memory,long-term memory,locomotory behavior,retina layer formation,metanephric part of ureteric bud development,regulation of cytosolic calcium ion concentration,retina development in camera-type eye,cellular response to organic substance,metanephric collecting duct development,metanephric distal convoluted tubule development,metanephric connecting tubule development,regulation of presynaptic cytosolic calcium ion concentration,regulation of postsynaptic cytosolic calcium ion concentration,regulation of long-term synaptic potentiation"
