PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
4.61E-06,RBM8;Rbm8a2;Rbm8a;Rbm8a,RNA-binding protein 8A;RNA-binding protein 8A;RNA-binding protein 8A;Isoform 2 of RNA-binding protein 8A,A0A023T672;A0A0N4SUH6;Q9CWZ3;Q9CWZ3-2,A0A023T672_MOUSE;A0A0N4SUH6_MOUSE;RBM8A_MOUSE;RBM8A_MOUSE,";cellular_component,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;nucleus,cytoplasm,nuclear speck,dendrite,exon-exon junction complex,neuronal cell body,catalytic step 2 spliceosome;",";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,biological_process,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,RNA splicing,mRNA transport;",";molecular_function,mRNA binding;RNA binding,mRNA binding;",2,2,0,1,2,2,1,0,2,2,2,2,2,2,2,2,16.07499695,16.40189552,4.49795866,13.95914745,5.191642284,7.633038044,5.452858448,1.084441066
7.12E-08,Igkv6-13,Protein Igkv6-13,A0A075B5N7,A0A075B5N7_MOUSE,,,,1,1,0,1,1,2,0,0,2,2,2,2,2,2,2,2,5.661720753,5.547953129,2.257934809,8.857533455,5.999483585,7.883114815,1.052947879,1.143729806
1.26E-49,Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",2,2,2,3,2,3,2,0,3,3,3,3,3,3,3,3,10.02380276,10.6163578,5.288722038,47.78235626,9.620997429,16.21249008,7.611648083,2.028092623
3.62E-47,Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,3,4,4,4,4,3,4,0,4,4,4,4,4,4,4,4,16.04618835,17.85189629,9.417247772,80.87142181,16.48866272,18.29936218,6.014505863,1.839354992
2.79E-19,Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4;A0A0A6YWR2,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,;,;,;,2,3,3,5,3,4,4,0,5,5,5,5,5,5,5,5,10.22774124,12.9975996,13.83817482,172.4232635,9.214813232,19.11266518,8.308765411,7.550706387
3.55E-32,Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",2,4,2,4,3,3,2,0,4,4,4,4,4,4,4,4,34.10474777,59.12764359,7.7212677,113.966095,13.02029133,21.5648632,8.476868629,2.703732491
7.92E-65,Ighm,Ig mu chain C region (Fragment);Ig mu chain C region (Fragment);Ig mu chain C region;Isoform 2 of Ig mu chain C region,A0A075B5P6;A0A075B6A0;P01872;P01872-2,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,";;extracellular space,cytosol,plasma membrane,external side of plasma membrane,cell surface,membrane,integral component of membrane,B cell receptor complex,immunoglobulin complex, circulating,perinuclear region of cytoplasm,blood microparticle;",";;activation of MAPK activity,B cell affinity maturation,humoral immune response mediated by circulating immunoglobulin,regulation of immunoglobulin production,phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,immunoglobulin mediated immune response,antigen processing and presentation,regulation of cell morphogenesis,positive regulation of B cell proliferation,positive regulation of MAPK cascade,early endosome to late endosome transport,innate immune response,positive regulation of endocytosis,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of immune response,defense response to Gram-negative bacterium,B cell receptor signaling pathway,positive regulation of B cell activation;",";;antigen binding,transmembrane signaling receptor activity,protein binding,immunoglobulin receptor binding,identical protein binding;",18,15,16,19,17,18,17,0,19,19,19,19,19,19,19,19,115.5110855,58.03270721,44.55340576,597.298645,78.63790131,65.12934113,49.79679489,9.529448509
1.33E-22,Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,16.69360352,15.42382526,9.783806801,19.18086433,7.043330669,8.513762474,7.571112156,2.099729776
3.26E-36,Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",3,2,2,3,3,3,3,0,3,3,3,3,3,3,3,3,33.94831467,54.93984985,36.69317627,49.12295532,41.41940689,41.26713562,35.31452179,4.821927547
7.05E-06,Ktn1,Kinectin,A0A087WNW3;A0A087WP14;A0A087WP48;A0A087WP85;A0A087WPW5;A0A087WPX0;A0A087WQ25;A0A087WQD0;A0A087WQF8;A0A087WQG4;A0A087WQI3;A0A087WQQ5;A0A087WRS1;A0A087WS04;A0A087WS23;A0A087WS29;F8VQC7,A0A087WNW3_MOUSE;A0A087WP14_MOUSE;A0A087WP48_MOUSE;A0A087WP85_MOUSE;A0A087WPW5_MOUSE;A0A087WPX0_MOUSE;A0A087WQ25_MOUSE;A0A087WQD0_MOUSE;A0A087WQF8_MOUSE;A0A087WQG4_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;A0A087WS04_MOUSE;A0A087WS23_MOUSE;A0A087WS29_MOUSE;F8VQC7_MOUSE,;;;;;;;;;;;;;;;;,;;;;;;;;;;;;;;;;,;;;;;;;;;;;;;;;;,4,4,4,4,5,4,3,1,5,5,5,5,5,5,5,5,3.700309277,5.199036121,4.308375359,4.658238411,4.94806242,3.095943451,3.881468773,4.24684763
